word,count
이낙연,4339
대표,3134
경선,3121
민주당,2968
대선,2106
의원,2100
이재명,1956
정세균,1906
연기,1883
주자,1169
서울,914
지사,905
윤석열,856
뉴스,836
기자,751
일정,746
국무총리,711
후보,691
총리,620
이광재,613
의총,567
정책,502
논의,499
열리다,494
대권,487
송영길,475
토론회,474
장관,448
조사,446
국민,443
추미애,436
청년,434
지도부,427
지지,420
결정,402
출마,401
최재형,388
주장,381
포럼,376
총장,368
총회,358
정치,350
경기,350
지지율,347
참석,345
선언,343
요구,338
박용진,326
소집,319
양승조,317
비서관,316
최고,314
여권,313
갈등,305
남북,301
결론,301
당무,294
원칙,279
공동,277
여의도,271
이날,268
공항,265
파일,265
위원,264
도심,257
연기론,256
연대,251
통상,250
관련,247
홍준표,247
대통령,246
충남,245
포인트,241
국회,237
지나다,236
다음,236
조국,233
경제,230
기록,222
마리나,222
국제,221
세종,221
김두관,216
당헌,215
나서다,209
출판,206
여론,204
복지,202
인사,200
논란,200
의견,199
기념회,198
왼쪽,192
공개,192
하락,190
한국,186
경기도지사,185
사진,185
밝히다,183
오후,180
외교,180
차기,177
개최,175
시작,175
뉴시스,174
재명,173
입장,169
오전,168
합의,168
모임,167
충돌,167
출범,165
보이다,165
구미,164
가운데,163
협력,157
위원회,157
적합,157
전국,157
당내,156
지키다,156
내홍,155
박성민,152
센터,150
친문,148
대변인,148
경북,146
제안,145
연판장,144
이준석,143
대안,142
유지,139
필요,139
계파,136
간담회,136
앞두다,135
확정,135
시장,135
대응,135
가능,133
주제,131
이행,130
정부,129
미루다,129
촬영,128
기념,128
모색,127
반대,127
격화,127
국회의원,127
당규,126
버스,125
최고위,124
오르다,123
메타,123
그룹,123
검찰,121
집단,120
법무부,119
캠프,119
선출,118
컨벤션,118
선거,118
따르다,117
흥행,116
발탁,116
여당,116
자리,115
주최,115
포토,114
예정,113
반발,113
중구,113
민주,113
결단,113
해결,111
대한민국,111
여부,110
결과,110
민정,109
신설,108
격차,107
상승,107
시기,106
하우스,106
정면,106
야권,105
감사원장,105
클럽,105
지역,104
유승민,103
최문순,103
축사,103
주거,103
최종,102
발언,101
재단,100
압박,100
토론,98
지방,97
비전,96
현행,96
전면전,95
상공,95
중심,95
임명,95
나누다,95
연기파,95
국가,95
회의소,95
대학,93
찬성,92
알리다,92
연합뉴스,92
방문,92
내리다,91
진행,91
요구서,90
여야,90
종합,88
교수,88
상황,88
상당,88
찬반,87
비판,87
코로나,87
신뢰,86
최성,85
균형발전,85
최근,85
강조,84
직속,84
개헌,84
공감,83
공식,83
라운지,82
문화,82
사유,81
회의,81
경쟁,81
만나다,80
올리다,79
둘러싸다,79
나라,79
이인영,78
청와대,78
전남,78
제출,77
임종석,77
행동,77
선두,77
수렴,77
의결,77
컨퍼런스,76
모이다,75
약속,75
도지사,74
제시,73
연합,73
구도,73
기사,73
유력,73
격론,72
도전,72
교류,71
충청,71
정권,71
현직,70
도시,70
환경,70
전하다,70
이후,70
복당,70
부동산,69
정하다,69
촉구,69
의장,68
지지층,68
양보,68
기업,67
아산,67
대결,67
지난해,67
떨어지다,67
참석자,67
무소속,67
깃발,66
종시,66
주말,66
위서,65
불가,65
양상,65
어렵다,65
공약,64
잠룡,64
협의회,64
대화,64
조선일보,63
안철수,61
투데이,60
인사말,60
준비,60
이유,60
내용,60
범위,60
고수,59
기조연설,59
통일부,59
책임,58
질서,58
내년,58
광주,58
회견,57
선호,57
출범식,57
동양,57
발표,57
대상,56
위기,56
포함,56
특징,56
연구자,56
조직,56
대전환,55
강국,55
사퇴,55
치르다,55
호남,55
행보,55
산업,55
전혜숙,54
정보,54
우려,54
경기도,54
본격,54
돌리다,53
예고,53
광화문,53
공생,53
세대,52
대한,52
진입,52
미래,52
대학생,52
거치다,52
노무현,52
모습,52
거론,52
구축,52
전날,52
리더스,51
사당,51
유튜브,51
인터뷰,51
참여,51
전선,51
반영,51
특별,51
나타나다,50
원장,50
압도,50
검토,49
집계,49
동의,49
의사,49
격돌,49
중요,49
목소리,48
앞서다,48
지명,48
단체,48
질문,48
리얼미터,48
금지,48
정세,48
등판,47
관심,47
맞서다,47
홍기원,47
주목,47
승리,47
국문학,47
이어지다,47
방식,47
본부,47
비이,47
고려,47
커지다,46
당시,46
신문,46
판단,46
제페토,46
충청남도,46
위원장,46
강원,45
균계,45
진영,45
사설,45
기념관,45
지난주,45
강하다,45
고심,45
이사장,45
대신,45
아시아,45
연성,45
기자단,44
정치인,44
상승세,44
전망,44
강세,44
내전,44
중앙,44
초청,44
영향,43
시절,43
완화,43
대구,43
분노,43
제공,43
얘기,43
대비,43
서명,43
안중근,43
고조,42
언론,42
일부,42
소통,42
계획,42
특강,42
분석,42
영남,41
언급,41
지내다,41
차지,41
권한,41
민심,41
지원,40
일자리,40
재난,40
대전,40
내일,40
변경,40
국토,40
소속,40
여성,40
급변,40
새롭다,40
시대,40
단장,40
입당,40
무게,39
능동,39
방안,39
행사,39
폴리,39
동문,39
해석,39
리더십,39
부녀,39
마치다,39
달리다,39
취록,39
벌이다,39
이루다,39
부산,39
정리,39
획단,39
바꾸다,38
교섭,38
부끄럽다,38
평가,38
규정,38
차관,38
오세훈,38
부정,38
제기,38
이슈,38
세력,38
활용,38
치닫다,38
노력,38
미국,38
구성,37
세계,37
맞추다,37
대립,37
상대,37
신경전,37
지원금,37
출사표,37
강훈식,37
확산,37
올라오다,37
전자,37
교체,36
가상,36
상징,36
정무,36
악수,36
활동,36
사항,36
시사,36
폐지,36
파격,35
벌어지다,35
쪼개다,35
추진,35
회의장,35
청주,35
서울대,35
기술원,35
사이,35
김동연,35
진단,35
범여,35
주요,35
주한,35
라디오,35
공방,34
오영훈,34
빠르다,34
효과,34
야당,34
선택,34
보수,34
보도,34
출신,34
창출,34
심포지엄,34
악재,33
성매매,33
데일리안,33
불발,33
기획,33
내부,33
강남,33
향하다,32
개혁,32
검증,32
방침,32
시험대,32
박완주,32
프레스센터,32
한미,32
염태영,32
관계,32
연속,32
보류,32
사용,32
선수촌,32
경남,32
역할,31
충북,31
수준,31
김종민,31
박병석,31
주도,31
해당,31
통과,31
형성,31
훼손,31
적극,31
데일리,31
이름,31
차별,31
주변,30
고민,30
고려대,30
견제,30
이틀,30
키우다,30
리서치,30
머니,30
선언식,30
마련,30
수도,29
당원,29
구미시,29
이야기,29
막판,29
연구,29
강원도지사,29
선관위,29
모양새,29
탐욕,29
바람,29
차원,29
박수,29
전략,29
저격수,29
의혹,29
공정,29
방향,29
의뢰,29
응답,29
변화,29
문재인,28
분야,28
급등,28
상임,28
저작,28
이해찬,28
관계자,28
유보,28
흔들다,28
종부,28
안건,28
축하,28
모으다,28
논쟁,28
살펴보다,28
확인,28
조정,27
공직자,27
예상,27
창업,27
하루,27
영상,27
처음,27
과제,27
선거일,27
설치,27
원희룡,27
강화,27
국정,27
추격,27
소폭,27
방송,27
통합,27
회장,27
고도,27
김한규,27
기존,27
부상,27
변수,27
별도,27
김명수,26
퇴직,26
강성,26
라운드,26
꼽히다,26
불리다,26
중원,26
권력,26
민형배,26
홈페이지,26
카드,26
치열,26
기념사진,26
채널,26
의회,26
시각,26
참조,26
확장,26
페이스북,25
완료,25
이미지,25
이달,25
운영,25
개정,25
공작,25
양자,25
심상정,25
자릿수,25
제외,25
처리,25
선발,25
박탈감,25
조율,25
진보,25
기본,25
가짜,24
정의당,24
느끼다,24
다르다,24
김근식,24
지속,24
우세,24
오디션,24
돌풍,24
편입,24
정상,24
역풍,24
일보,24
의지,24
과정,24
최상수,24
작년,24
법무,23
수원,23
면역,23
최저치,23
실시,23
거부,23
핵심,23
앵커,23
떠오르다,23
자유,23
좁히다,23
결국,23
유리,23
급락,23
황교안,23
영등포구,22
겨냥,22
강당,22
공략,22
전문,22
연구소,22
인물,22
세상,22
돌입,22
표결,22
등장,22
당초,22
