word,count
지나다,519
열리다,470
밝히다,404
따르다,279
나서다,244
보이다,204
지키다,167
앞두다,154
만나다,150
새롭다,137
미루다,134
오르다,124
향하다,123
발가벗다,104
달리다,101
나누다,98
어렵다,93
숨기다,85
내리다,85
떨어지다,84
맞서다,78
둘러싸다,75
올리다,71
피하다,70
남기다,67
벌이다,66
알리다,66
앞서다,64
나타나다,63
커지다,62
이기다,59
바꾸다,58
키우다,58
치르다,53
전하다,52
답하다,52
미치다,52
정하다,51
벌어지다,50
다르다,48
불리다,47
바라다,46
보내다,45
돌리다,44
이어지다,42
올라오다,42
모르다,39
이루다,39
끝나다,38
강하다,38
모이다,36
쪼개다,36
맞추다,36
내몰리다,34
빠르다,33
막다르다,33
달구다,33
바뀌다,32
빠지다,32
이끌다,32
거세다,32
거치다,31
손잡다,31
흔들다,31
꼽히다,30
높이다,30
치닫다,29
뜨겁다,29
돌아오다,29
모으다,29
들어가다,29
따지다,28
드러나다,28
번지다,27
기울이다,27
선보이다,27
담기다,26
떠오르다,26
부리다,24
부치다,24
내놓다,24
펼치다,24
없애다,24
떠나다,24
내세우다,23
늦추다,23
마치다,22
좁히다,22
덧붙이다,22
받아들이다,21
심하다,21
뒤집다,21
세우다,20
흔들리다,20
