word,count
경선,3246
지사,3049
경기,2001
대선,1987
연기,1932
의원,1370
대표,1142
국민,1084
뉴스,1079
기자,1057
주자,1048
조사,885
후보,850
정책,806
일정,762
동물,743
영결식,713
파일,697
총장,624
대권,587
원칙,573
정치,567
국회,566
포럼,538
참석,531
센터,530
소방령,516
지지,510
토론회,495
관련,486
지지율,484
이날,479
오전,471
반려,455
논의,446
의총,446
대장,404
결정,402
화재,379
입장,376
여권,373
주장,372
출마,372
여론,370
대통령,370
구조,361
지원,357
개선,340
매매,339
위원장,338
갈등,338
의회,334
제도,333
논란,332
사진,328
반대,324
공동,323
지도부,320
공명,318
개식,318
민주,309
시민,300
연기론,298
검찰,297
선언,297
경제,295
전국,288
차기,287
마련,286
결론,284
출범,283
현장,271
청장,265
노동,264
가족,254
예정,253
결과,251
가운데,250
국무총리,248
존중,248
장관,247
찬성,246
부동산,239
특별,237
모임,235
불법,233
시장,231
지원금,229
가능,228
출범식,227
여성,227
요구,226
재명,226
오후,225
총리,225
재난,225
다음,225
고인,223
정부,218
체육관,217
지역,215
친문,214
생명,214
소방관,214
소득,213
엄수,212
차별,208
하락,208
종합,206
총회,206
위원회,204
국가,204
신뢰,204
강조,202
주택,201
국회의원,201
당헌,201
포인트,201
공개,200
평화,199
당내,197
개최,190
의혹,189
보훈,189
신고,188
수술실,186
진행,186
광장,185
필요,183
적합,182
참여,181
공정,178
유가족,178
기본,177
기록,177
당무,176
복지,176
보호,173
야권,172
중요,169
공무원,168
내홍,168
유력,167
비판,167
피해,165
추진,165
상황,165
인사,164
구도,163
합의,162
소집,161
선두,160
최고,160
동료,160
여부,160
질문,159
충돌,159
의견,158
지급,156
금지,156
도청,154
희생,152
계파,151
연대,150
흥행,149
정면,148
확정,148
거행,148
결단,147
대상,146
호텔,143
금지법,142
순직,142
상승,141
유지,140
선거,139
교육,139
발굴,139
최종,138
공식,138
사업,136
압박,135
여당,133
공공,133
양보,133
보유,133
경쟁,132
발언,131
방안,131
도민,130
자리,129
위원,128
포토,128
계급,128
운영,127
반발,126
법률,126
소방서,124
발기인,124
특진,124
훈장,122
노동자,121
대변인,121
시대,120
이슈,120
식용,120
민선,120
도지사,118
당규,117
지지자,117
토론,116
격화,116
협력,114
근정,114
조직,113
녹조,113
보상,112
정권,112
격차,111
도전,111
소방,111
최근,111
발표,110
설치,109
방향,109
모색,108
단체,108
논쟁,107
원장,107
방문,107
차원,106
배달,106
범위,106
현행,106
인권,106
간담회,105
대결,105
연판장,104
꼼수,104
선출,103
제공,102
청년,102
주요,102
전면전,101
금융,101
내용,101
촉구,101
협약,101
여야,101
심정,101
이야기,100
검토,100
선호,100
단체장,100
선별,99
추서,98
대응,98
취소,98
이유,95
인터뷰,95
청소년,94
상위,94
시기,93
최고위,93
인간,93
안장,93
적극,92
영향,91
승진,91
본격,91
야당,90
노력,90
영상,89
세금,89
도입,89
수도,89
사금융,89
검증,88
기관,88
언급,88
승리,88
기조연설,87
재단,87
찬반,87
부의장,87
사찰,86
캠프,86
해결,85
공론,85
도정,84
빈소,83
내년,83
중심,83
정신,83
법무부,83
위로,82
입법,82
불가,82
실시,82
신문,82
안전,82
의뢰,81
위기,81
가짜,81
시작,80
개혁,80
스톱,80
집단,80
중앙,79
발표회,79
동의,79
장례,79
약식,79
정치인,78
이후,78
고수,78
반영,77
연구원,76
예산,76
지지층,75
자격,74
양자,74
왼쪽,74
판매,73
연합,73
세상,73
우려,73
준비,72
요청,72
확대,72
산업,72
전수,72
환경,72
유족,72
희망,72
연기파,72
핵심,71
감사원장,71
행보,71
사퇴,70
의장,70
전망,70
기념,70
건설,69
본부,69
강화,69
법안,69
의사,69
지방,69
공사,68
공직자,68
진화,68
특징,68
업체,67
발생,67
제안,67
대책,67
양상,66
약속,66
관심,66
토크,66
먹거리,66
기재,66
구제,65
사유,65
국립,65
공방,65
콘서트,65
직위,65
변경,65
해제,64
보편,64
평가,64
지부,64
정보,64
사항,64
진압,64
부각,64
눈물,64
분석,63
실태,63
개인,63
상당,63
촬영,63
라디오,63
말씀,63
과제,63
전선,63
바탕,63
업무,62
절차,62
서비스,62
카드,62
출신,62
공작,62
수용,62
행정,61
공원,61
조달청,61
회의,61
앵커,61
협의,60
시사,60
코너,60
격론,60
통과,60
유리,60
리서치,60
상승세,60
관계자,59
거리,59
내일,59
교체,59
의무,59
결국,59
공론화,59
성공,59
분야,59
헌화,59
수준,58
분향,58
판단,58
고려,58
진영,58
면접,58
상대,58
장애,58
기업,57
돌파,57
사고,57
연구,57
거론,57
모습,57
지부장,57
전날,57
행동,57
유해,57
청문회,57
얘기,57
정리,57
주목,57
훼손,56
고위,56
작업,56
대화,55
압도,55
사이,55
약장수,55
자동차,55
소속,55
세대,55
세력,55
복당,55
일부,55
소방경,55
의료,55
전체,54
리더십,54
인사말,54
부분,54
상황실,54
개정안,54
규모,54
대비,53
내부,53
동취,53
권리,53
시설,53
보도,53
시행,53
상태,52
제출,52
간접비,52
개헌,52
조언,52
올해,52
수당,52
확산,52
위서,51
잠룡,51
계층,51
평등,51
하루,51
강세,51
지자체,51
기대,51
과정,51
온라인,50
기사,50
초대,50
목소리,50
전달,50
나라,50
고조,50
창출,50
현안,50
교수,50
제기,50
해소,49
조정,49
금속,49
