word,count
이재명,7160
경기도,2246
경기도지사,1882
민주당,1697
윤석열,1511
이낙연,992
정세균,902
김동식,742
서울,608
추미애,459
광주,443
송영길,443
박용진,393
이준석,358
최재형,356
이광재,333
여의도,310
경남,309
쿠팡,297
기본소득,225
물류,196
연합뉴스,167
페이스북,160
코로나,151
홍준표,140
뉴시스,138
김경수,136
수원,130
글래드,126
이룸,121
양승조,116
최문순,116
유승민,111
한국,108
대전,105
현충원,104
쌍용,99
대한민국,92
전태일,86
김부선,86
리얼미터,84
하태경,82
원희룡,81
충남,80
문경희,78
인천,77
데일리,73
김두관,72
도내,71
투데이,71
부산,67
강원,64
문재인,61
김성수,59
테마주,56
노무현,55
홍남기,55
김종인,53
제주,50
백혜련,50
국립암센터,47
기아,46
충청,44
오리콤,44
오세훈,44
흥원,43
안철수,42
덕평,41
대구,41
아시아,41
성남,40
조정식,37
수원시,37
용인,36
경상남도,35
김동연,34
장현국,34
영등포구,34
세종,34
이규민,33
민형배,32
미얀마,32
강훈식,31
강원도지사,31
팔달구,31
의정부,31
김남국,31
김현권,30
황석영,30
박남춘,29
안민석,29
김병욱,28
카스,27
파주시,26
중구,26
홍영표,26
김규식,26
창원시,25
정성호,25
장성철,25
김판수,24
포커스,24
엠브레인,23
키워드,23
코리아,23
전북,22
김영운,22
신종,22
황교안,22
최종태,21
임종성,21
의창구,21
소병훈,20
최은숙,20
오영환,20
