,neg_words,count,documents
0,화재,379,"['데일리안 오늘뉴스 종합 최대 우량주 최재형 결심 임박 대선지형 들썩 쿠팡 물류센터 화재현장서 실종 소방관 유해 발견', '이재명 경기도지사 쿠팡 화재 현장서 순직한 김동식 소방령 추모 재난 막을 대책 마련해야', 'job현장에선 쿠팡화재 현장에서 순직한 고 김동식 소방령과 이재명 지사의 3가지 메시지']"
1,의회,334,"['국민의힘 경기도당 김덕수 부위원장 의회 민주주의를 부정하는 민주당 착각 말고 반성하라', '인터뷰 김명원 경기도의회 건설교통위원장 기본소득 기본주택 기본대출 부천에서 실현', '경기도의회 장현국 의장 고 김동식 소방령 영결식 참석.고인의 영면 기원']"
2,불법,233,"['금일 건설 부동산 주요 기사 철거참사 감리자 공무원 유착 의혹 감리자 실태조사 필요 .건설사 불법하도급 삼진아웃제 무등록업자 하도급도 적용', '경기도 신고 한 번으로 불법 사금융 피해 상담 처벌 피해구제까지 원스톱 신고센터 운영', '한번 신고로 불법 사금융 피해 상담 처벌 구제까지 경기도 원스톱 신고센터 운영']"
3,재난,225,"['2021년 6월 18일 시도지사 주요 일정 오세훈 서울시장 재난현장 의로운 시민 표창 수여 박형준 부산시장 제5차 부산시해수청bpa 고위정책협의회', '핫이슈 키워드 5차 재난지원금 윤석열 x 파일 이재명계 vs 반이재명계 경쟁률 14 1 대 1 이상직 국회의원 수당', '양승조 충남지사 재난지원금 재난 입은 사람에게 두텁게 줘야']"
4,비판,167,"['슬기로운 해독뉴스 199 조국흑서 권경애 변호사 책 무법의 시간 조국 사태 전말 상세 비판 국민의 힘 대변인 토론배틀 경쟁률 141대 1 무례한 미국 언론의 한국 골퍼 인터뷰 박', '슬기로운 해독뉴스 199 조국흑서 권경애 변호사 책 무법의 시간 조국 사태 전말 상세 비판 국민의 힘 대변인 토론배틀 경쟁률 141대 1 추미애 전', '정웅교의 정치분석 이준석 대표 국민호응도 높지만 미숙한 리더십과 정치평론가적 비판 발언으로 윤석열 전 총장 1차 위기 초래']"
5,피해,165,"['경기도 신고 한 번으로 불법 사금융 피해 상담 처벌 피해구제까지 원스톱 신고센터 운영', '신고 한 번으로 불법 사금융 피해 상담 처벌 피해구제까지', '불법 사금융 피해 신고 한 번으로 피해구제까지']"
6,미루다,134,"['천지일보 이슈종합 윤석열 x파일 대권 경쟁 경선연기 결정 미뤄 대체공휴일법 소위 통과 백신 수급 충분 새 거리두기 27일 발표 확진자 600명대 급증', '천지일보 이슈종합 윤석열 x파일 대권 경쟁 경선연기 결정 미뤄 대체공휴일법 소위 통과 백신 수급 충분 새 거리두기 27일 발표', '영끌 인터뷰 전재수 경선 일정 미루면 후보들 경쟁력 키울 시간 확보돼']"
7,어렵다,93,"['뉴스퀘스트의 꼭알 뉴스 정치 사회 송영길 대선 경선일정 25일 결정동의 없으면 변경 어려워', '수술실 cctv 법안 통과 또다시 불발.이달 국회 통과 사실상 어려워', '송영길 대선 경선 일정 25일 결정 주자들 동의 없으면 변경 어려워']"
8,승리,88,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '이재명 경선 연기론에 노무현도 원칙없는 승리보다 원칙있는 패배가 낫다고 말해', '대구 찾은 정세균 경선 연기 재차 강조 승리 고민한다면 늦더라도 제대로 해야']"
9,떨어지다,84,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '이재명 경선 연기 내게 유리하지만 당 신뢰 떨어져 당헌 당규 원칙 재차 강조', '그을음 10 떨어진 농가까지 날아와모내기 논 곳곳에 떨어지기도']"
10,위기,81,"['천지일보 이슈종합 쿠팡 덕평물류센터 전소 위기 코로나19 백신 하반기 접종계획 한일관계 해법 멀어지는 야권 통합 경선연기 개헌 찬반 대립', '정웅교의 정치분석 이준석 대표 국민호응도 높지만 미숙한 리더십과 정치평론가적 비판 발언으로 윤석열 전 총장 1차 위기 초래', '2021년 6월 21일 시도지사 주요일정오세훈 서울시장 코로나 위기 극복 위한 마스크 기부전달식 권영진 대구시장 간부회의']"
11,가짜,81,"['정세균 이낙연 이광재 비 이재명계 시동 통큰 양보하길 여긴 가짜약 아닌 진짜약', '이재명 가짜약 팔던 시대 아냐 발언에 정세균 정치인은 말의 품격 중요', '가짜약 팔 텐가 vs 정권재창출 우선경선 연기 여부 두고 파열']"
12,눈물,64,"['대장님 지켜드리지 못해 죄송합니다 김동식 소방령눈물 의 영결식포착', '동식이 형 안녕 쿠팡 화재 순직 김동식 구조대장 눈물 의 영결식', '홀로 남겨둘 수밖에 없어 죄송하다 김동식 소방령 눈물 의 영결식']"
13,장애,58,"['사진 경찰 앞 장애인 활동가 장애인에게 교육은 생명입니다', '평생 모은 재산 1억 장애청소년에 쾌척한 80대 할머니', '이재명 경기도지사 전국장애인부모연대와 간담회 진행']"
14,훼손,56,"['잠룡 정면 충돌.이재명이 통 큰 양보해야vs신뢰 훼손은 소탐대실', '경선연기 두고 격돌 통큰 결단 vs 원칙훼손 송영길의 결론은?', '통큰 결단 해야 vs 원칙 훼손 안 돼 경선 연기 두쪽 난']"
