from,to,depth,documents
"이재명
in news","이재명
in news",0,"['소종섭 윤석열 대변인 사퇴 및 x파일.타격 입은 것은 분명해 김찬휘 이재명 지사 대선 경선 연기 요구 받아들이지 않을 것', '박용진 이재명 지사와 양자 대결 구도로 경선 흥행 이끌 것', '이재명 경선 연기 수용해야 최지사 sns통해 결단 촉구']"
"이재명
in news",이재명,1,"['헤드라인 판도라 상자 vs 빈 박스 윤석열의 x파일.이재명 vs 이재명 경선 논의 앞둔 폭풍전야', '2021년 6월 22일 시장 도지사 주요 일정 오세훈 서울시장 국민의힘 당 대표 및 지도부 방문 이재명 경기지사 개 식용 및 반려동물 매매 관련 제도개선 토론회', '대선으로 가는 길 자중지란 민주당 이재명vs반 이재명 연대 경선연기 갈등 격화']"
"이재명
in news",경선,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '송영길 대선경선 일정 9월 선출 결정 유력경선 일정 당무위 의결로 최종 확정']"
"이재명
in news",지사,1,"['2021년 6월 22일 시장 도지사 주요 일정 오세훈 서울시장 국민의힘 당 대표 및 지도부 방문 이재명 경기지사 개 식용 및 반려동물 매매 관련 제도개선 토론회', '2021년 6월 18일 시도지사 주요 일정 오세훈 서울시장 재난현장 의로운 시민 표창 수여 박형준 부산시장 제5차 부산시해수청bpa 고위정책협의회', '소종섭 윤석열 대변인 사퇴 및 x파일.타격 입은 것은 분명해 김찬휘 이재명 지사 대선 경선 연기 요구 받아들이지 않을 것']"
"이재명
in news",경기도,1,"['경기도 계약만료로 해고된 경비노동자 경기도 모니터링단 도움으로 4개월 만에 복직노동이 존중받는 공정한 세상 실현', '경기도 이천 화재현장서 순직한 고 김동식 소방령 21일 경기도청장 거행녹조근정훈장 추서', '경기 의정 유상호 경기도의원 연천 경기도 3차 공공기관 이전 고배많이 아쉽다']"
"이재명
in news",경기,1,"['2021년 6월 22일 시장 도지사 주요 일정 오세훈 서울시장 국민의힘 당 대표 및 지도부 방문 이재명 경기지사 개 식용 및 반려동물 매매 관련 제도개선 토론회', '서울국제관광박람회에 경기관광 홍보관 운영.청정계곡 경기바다 테마골목 등 홍보', '경기 의정 유상호 경기도의원 균형발전 위해 경기북도 신설 바람직']"
"이재명
in news",대선,1,"['차기 대선 경제분야 국정과제 여론조사 단독 차기 대선 1순위는 경제발전과 일자리확대 2순위 서민주거안정', '더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '대선 출마 양승조 충남지사 민주당 대선후보 적합도 충청권 지지율 4위']"
"이재명
in news",연기,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '천지일보 이슈종합 윤석열 x파일 대권 경쟁 경선연기 결정 미뤄 대체공휴일법 소위 통과 백신 수급 충분 새 거리두기 27일 발표 확진자 600명대 급증', '경선 연기 놓고 이재명 연대 결성 움직임 이재명도 5년 전엔 연기 주장']"
"이재명
in news",경기도지사,1,"['이재명 경기도지사 동물 생명 존중없이 사람 생명존중 없다.반려동물 매매관련 제도 개선 국회토론회 개최', '이재명 경기도지사 쿠팡 화재 현장서 순직한 김동식 소방령 추모 재난 막을 대책 마련해야', '이재명 경기도지사 여성가종 정책 도정에 적극 반영 피력.경기도 여성가족포럼에서']"
"이재명
in news",민주당,1,"['더불어민주당 대선 경선 연기하나. 격론 끝에 25일 결론 의원총회에서 비이재명계 경선 연기 요구 이어졌지만 송영길 대표 상당한 사유 있나 부정적 의견', '사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '사 사건건 추미애 대권 도전? 전재수 대선 누구 잡으러 나오는 것 아냐 최형두 민주당 큰 득 본 적 없어']"
