,pos_words,count,documents
0,지지,510,"['범여권 차기 대선주자 4위 등극 에 친노 유인태 저런 지지도가 민주당의 아스킬레스건', '뉴스핌 여론조사 세대별 지지 쏠림.20 50대 윤석열 vs 30 40대 이재명', '이재명 세 번째 지지 모임 출범성공포럼민주평화광장 이어 공명포럼 공식 출범']"
1,개선,340,"['2021년 6월 22일 시장 도지사 주요 일정 오세훈 서울시장 국민의힘 당 대표 및 지도부 방문 이재명 경기지사 개 식용 및 반려동물 매매 관련 제도개선 토론회', '이재명 경기도지사 동물 생명 존중없이 사람 생명존중 없다.반려동물 매매관련 제도 개선 국회토론회 개최', '경기도 개식용 금지 및 반려동물 매매 제도개선 공론화 22일 국회 토론회정책 방향 모색']"
2,존중,248,"['이재명 경기도지사 동물 생명 존중없이 사람 생명존중 없다.반려동물 매매관련 제도 개선 국회토론회 개최', '경기도 계약만료로 해고된 경비노동자 경기도 모니터링단 도움으로 4개월 만에 복직노동이 존중받는 공정한 세상 실현', '개 식용 반려동물 매매 생명존중 차원서 제도 개선 이뤄져야']"
3,소득,213,"['이재명 세금 더 내는 상위소득자도 국민 모든 국민 차별 없는 개인별 지역화폐 지급 필요', '유승민 중부담 중복지 안 변했다 고 소득 재산에 아주 높은 누진세 부과', '매립지 사용 종료 한자리 모였지만 입장차 소득없이 끝난 4자 첫 회동']"
4,신뢰,204,"['이재명 부동산 정책 신뢰 해법은 백지신탁제.시늉 했다가 치워버리는 정치 안 통해', '이재명 경선 연기 내게 유리하지만 당 신뢰 떨어져 당헌 당규 원칙 재차 강조', '이규민 경선연기 주장에 신뢰 잃으면 모든 것 잃어원칙과 명분 버리지 말길']"
5,최고,160,"['시사스페셜 김재원 국민의힘 최고위원 공수처 윤 전 총장 기소 못해 결정 못하고 넘길 것', '시사스페셜 김재원 국민의힘 최고위원 이재명 지사가 후보 되면 tk에서 20 날아갈 것', '시사스페셜 김재원 국민의힘 최고위원 안 대표 대선 주인공 원해 다자구도 배제 못해']"
6,흥행,149,"['사 사건건 김형준 한여름에 관심 떨어지는 경선에서 승리하면 실리 있을까 이택수 민주당 국민의힘에 지지율 역전. 9월 경선은 흥행 못할 수도', '박용진 여당 대선 경선의 유일한 흥행 카드 박용진 이재명 양강 대결', '윤석열 삐걱대는 사이 치고 올라오는 야권 주자들 대선 레이스 흥행']"
7,대상,146,"['고소득층은 재난지원금 대상서 제외? 전국민 vs. 소득하위 70 맞서', '이재명계 반발 경선 연기 의총 대상 아냐정세균 정권재창출 고민해야', '한국머크 경기도내 기술계 고등학교 및 대학 대상 머크전공수업 실시']"
8,새롭다,137,"['이재명 진화하는 체납 수법만큼 새로운 징수기법 총동원규칙 어기는 사람이 이익 보지 않도록 하는 것이 공정사회의 최소 조건', '민선 7기 경기도 명예수당과 복지 기념사업 등 새로운 보훈 정책 선보여', '이재명 지지 모임 공명포럼 출범.젊은이 희망 가질 수 있는 새로운 나라']"
9,이룸,121,"['경기도 개식용 및 반려동물 매매 제도개선 공론화 22일 국회토론회 경기도 개식용 및 반려동물 매매 제도개선 국회토론회 포스터.사진 경기도 스마트에프엔배민구 기자 이재명 경기도지사가 추진하는 개식용 및 반려동물 매매 제도개선 정책 방향을 모색해보는 국회토론회가 오는 22일 오전 10시 여의도 이룸센터에서 열린다', '이재명 국민의힘 부동산 조사 꼼수에 꼼수.제1야당 자격있나 이재명 경선연기 내겐 유리당 신뢰는 하락 더불어민주당 대권주자인 이재명 경기도지사가 22일 서울 영등포구 이룸센터에서 열린 개식용 및 반려동물 매매 관련 제도개선 국회 토론회 에 참석해 취재진의 질문에 답하고 있다. 2021.6.22 뉴스1 이재명', '이재명 국회토론회서 사회적 합의로 새 시대에 맞는 동물권 보호 법률 정책 마련해야 22일 오전 서울 여의도 이룸센터 이룸홀에서 열린 개 식용 및 반려동물 매매 제도개선 국회토론회 에서 이재명 경기도지사가 환영사를 전하고 있다.사진 경기도 북부청 프레스뉴스 김대일 기자 이재명 경기도지사가 22일 동물의 생명을 존중하지 않는']"
10,적극,92,"['이재명 민관학이 공동 발굴한 경기도 여성가족 정책 적극 수용해 도정에 반영할 것', '이재명 경기도지사 여성가종 정책 도정에 적극 반영 피력.경기도 여성가족포럼에서', '이재명 민 관 학이 공동 발굴한 경기도 여성가족정책 도정에 적극 반영']"
11,안전,82,"['obs 뉴스 오늘2 물류센터 확충만 급급화마 키운 안전불감증', '쿠팡물류센터 화재 닷새째불씨 제거 총력 2차 안전진단 예정', '민주노총 쿠팡지회 화재 노동자 안전 안일한 태도 드러났다']"
12,희망,72,"['금일 건설 부동산 주요 기사 공급방안 vs 희망고문 대선주자들 부동산 공약 경쟁치열.내년 4월 광화문광장 개장 속 2023년엔 월대 복원', '이재명 지지 모임 공명포럼 출범.젊은이 희망 가질 수 있는 새로운 나라', '이재명 지지 공명포럼 출범 젊은이 희망 갖는 새나라 만들자']"
13,상승세,60,"['이재명 관련주 이낙연 관련주 에이텍 남선알미늄 모두 상승세로에이텍 1 상승 이어 남선알미늄 2 상승', '이재명 관련주 이낙연 관련주 에이텍 남선알미늄 모두 상승세로 특히 에이텍 2 상승', '이재명 관련주 카스 형지엘리트 이스타코 상승세 경선연기 입장 발표']"
14,성공,59,"['이재명 세 번째 지지 모임 출범성공포럼민주평화광장 이어 공명포럼 공식 출범', '이재명 지지모임 성공포럼 민주평화광장 이어 공명포럼 공식 출범', '기본대출은 현대 금융이론에도 부합 성공 가능성 높다']"
15,이기다,59,"['박용진 빨리 링에지금 이재명 못이기면 두달 뒤 어떻게 이기나', '박용진 지금 이재명 못 이기는데 두달 뒤라고 이기겠나', '남도일보 북스영웅의 부활.영화와 역사로 보는 윤석열 vs 이재명.누가 이길까']"
16,강세,51,"['이주의 주식시장은? 쌍방울 하림 이스타 항공 인수 무산에 폭락. 윤석열 이재명 최재형 정치테마주 강세보여 카카오 신고가 경신 대한 전선 반등', '마감종합 최재형 김동연 테마주 초강세 델타 변이 이슈에 씨젠 등 진단 키트 관련주 강세 국내 모더나 mrna 생산 가능성에 서린바이오 급등', '24일 오늘의 상한가 총정리 한세엠케이 덕성우 화신 대원전선우 인팩 솔고바이오 네오오토 ne능률 네오리진 클라우드에어 주가 강세']"
17,기대,51,"['경기도 공공 대형공사 간접비 절감 나서 불합리한 관행 차단 공기단축 및 예산 효율화 기대', '지역경제 경기도 공공 대형공사 간접비 절감 나선다 공기단축 및 예산 효율화 기대', '경기도 공공 대형공사 간접비 절감 나서기 공기단축 및 예산 효율화 기대']"
18,품격,46,"['경선연기 놓고 분열 이재명 그런 식으로 약팔 수 없다 정세균 말 품격 중요', '주파수on 정세균 약장수 발언 이재명 정조준.정치인의 말은 품격이 중요', '이재명 가짜약 팔던 시대 아냐 발언에 정세균 정치인은 말의 품격 중요']"
