word,count
이재명 경기 지사,1184
국민의 힘,449
반려 동물 매매,331
이재명 경기도 지사,233
기자 이재명 경기도지사,224
광주 시민 체육관,216
김동식 구조 대장,196
동물 매매 제도,183
매매 제도 개선,183
장의 위원장,176
김동식 소방령 영결식,172
대선 경선 연기,169
공명 포럼 출범식,152
민주 평화 광장,149
여성 가족 정책,138
물류 센터 화재,125
지사를 비롯,123
여의도 글래드 호텔,122
경기도 여성 가족,120
청장으로 엄수,119
쿠팡 물류 센터,117
대선 경선 일정,112
녹조 근정 훈장,111
생명을 존중,106
민주당 경선 연기,106
체육관에서 경기도,97
소방령의 영결식,95
여의도 이룸 센터,93
구조 대장 영결식,92
고 김동식 소방령,90
동물 매매 관련,88
발기인으로 참여,87
대선 후보 적합,86
반이 재명,85
경선 연기 논의,82
이재명 경선 연기,82
이낙연 정세균 이광재,82
소방서 구조 대장,78
매매 관련 제도,78
경선 연기 여부,78
광주 소방서 구조,77
대선 출마 선언,77
관련 제도 개선,76
제도 개선 국회,76
개선 국회 토론회,75
불법 사금융 피해,74
민주당 대선 경선,74
차기 대선 주자,73
훈장을 추서,73
경선 연기 의총,72
경기도 광주 시민,72
경선 일정 확정,71
동물 생명 존중,71
오전 광주 시민,69
대선 후보 경선,69
오전 경기도 광주,69
경기 광주 소방서,68
방향을 모색,67
서울 여의도 글래드,66
연기를 주장,64
모임 공명 포럼,60
가족 정책 발굴,59
정책 발굴 포럼,59
여론 조사 결과,59
개선 정책 방향,59
제도 개선 정책,59
민주당 대권 주자,59
현충원에 안장,58
공명 포럼 출범,57
부동산 전수 조사,57
발굴 포럼 종합,56
포럼 종합 발표회,56
국립 대전 현충원,55
쌍용 차 협력,55
호텔에서 이재명,55
인간의 생명,55
합의를 바탕,54
경기도 청장 거행,54
동물의 생명,54
의원 동료 소방관,53
공 동취 재단,53
대선 주자 선호,53
토론회에 참석,53
차 협력 업체,52
경선 연기 놓다,52
차기 대선 후보,52
영결식 경기도 청장,51
법률 정책 마련,51
경선 연기 갈등,51
사진 공 동취,51
피해 신고 센터,51
시 도 의원,50
정책을 마련,50
사금융 피해 신고,50
유력 대선 주자,50
국회의원 시 도,49
도 의원 동료,49
이슈로 부각,49
노동 인권 토크,49
경기 지사 지지자,49
센터 화재 현장,49
반려 동물 판매,48
민주당 경선 일정,48
지사를 지지,48
보호 법률 정책,48
인권 토크 콘서트,48
이재명 차별 금지법,47
사회관 계망 서비스,46
마루 공원 장례식장,46
경선 일정 연기,46
경선 연기 불가,45
기자 서울 뉴스,45
소방령의 숭고,45
경선 연기 내홍,45
고인의 빈소,44
유력 대권 주자,44
의회 인사 청문회,44
여권 대선 주자,44
제도 개선 공론화,44
이재명 경기도지사 문경희,44
경선 연기 반대,43
경기도 의회 부의장,43
문경희 경기도 의회,43
소방령 영결식 경기도,43
당무 위 소집,43
소방경에서 소방령,43
의원 총회 소집,42
국민 재난 지원금,42
시대에 맞다,42
도정에 반영,42
장례식장에 고인,42
대장의 영결식,42
절차를 지원,42
