word,count
경선,2946
대선,2411
연기,1800
의원,1793
국무총리,1750
대표,1410
총리,1336
주자,1282
기자,1219
뉴스,1156
지사,821
출마,785
선언,705
후보,695
대권,663
일정,658
의총,512
국민,495
정책,476
토론회,463
논의,461
국회,382
지도부,376
다음,369
결정,368
부동산,363
참석,363
조사,346
여권,336
주장,333
지지,315
당무,300
정치,298
대통령,296
요구,295
원칙,294
장관,289
당헌,287
사진,286
지지율,277
갈등,271
경제,263
공항,260
포토,257
경기,250
결론,245
총회,244
간담회,244
공동,242
연기론,241
인사,238
파일,232
도심,228
소집,223
출판,218
총장,217
발표,217
기념회,210
회견,205
관련,203
이날,198
발언,197
오전,188
연합,186
왼쪽,185
오후,182
사다리,180
여론,179
초청,173
공식,173
주거,162
반대,160
입장,160
방문,157
재명,156
균형,154
충돌,154
협회,154
내홍,154
필요,151
개최,149
의견,147
촬영,143
기념,142
논란,141
차기,141
최고,140
도전,139
감사원장,138
가능,137
공급,136
여당,135
센터,133
연대,133
확정,131
선거,131
시기,129
적합,128
가운데,128
격화,128
당규,128
당내,128
대안,126
머니,126
위원회,125
모임,124
해결,124
계파,123
야권,123
기록,123
컨벤션,121
최고위,120
친문,119
압박,118
청년,117
캠프,116
연판장,116
국회의원,116
통관,115
저작,114
결단,114
지역,114
유지,113
혁신,112
시장,111
주택,111
법무부,111
자리,111
흥행,109
규제,108
민주,108
위원장,107
공개,106
검증,106
선출,103
연기파,103
정면,103
경쟁,101
무단,101
기사,101
모색,101
강조,100
여부,100
본부,100
발대식,99
완화,98
여야,98
반발,98
포인트,96
예정,95
전재,95
공공,95
주제,95
인사말,93
질문,92
기자단,92
전주,91
안정,88
라디오,88
시각,87
금지,87
전면전,87
대변인,86
공약,86
하락,85
중요,84
상승,84
라운지,82
집단,82
개헌,82
호텔,81
토론,81
최종,80
종부,80
배포,79
종합,79
상황,79
의결,79
비판,77
진행,77
위원,74
양보,73
찬반,73
답변,72
대결,72
현행,72
잠룡,72
신뢰,71
도지사,70
시작,70
내용,70
중심,70
정권,69
노총,69
검찰,69
최근,68
상당,68
사유,67
지지층,67
찬성,67
불가,67
선두,65
위서,64
양상,64
상대,63
격론,63
취재,63
위기,63
세대,62
중앙,59
미래,58
슬로건,58
보수,57
준비,57
사항,57
구도,57
주말,57
창출,57
거론,56
누리,56
인터뷰,55
행동,55
지지자,54
스퀘어,54
승리,54
정의당,54
회의,54
의장,53
고수,53
행보,53
출사표,53
시민,53
결과,52
국가,52
정부,52
본격,52
전선,52
세상,52
격차,51
요구서,51
등판,50
취재진,50
집값,50
원장,50
우려,49
세제,49
진입,48
촉구,48
주목,48
수렴,48
격돌,48
비이,47
창업,47
개정,47
의사,46
대화,46
거부,46
리더십,46
이유,46
사설,45
범위,45
얘기,45
선언식,44
의회,44
예고,44
사퇴,44
시대,44
진영,44
출범,44
나라,44
정치인,44
성공,43
방식,43
사태,43
이후,43
내전,43
고심,43
시청,43
위배,42
제공,42
관심,42
재단,42
권한,42
상인,42
제출,42
악수,41
제안,41
고조,41
세력,41
임대,40
추진,40
유력,40
소득,40
영상,40
브리핑,40
품격,39
시사,39
판단,39
방송,39
도덕,39
재난,39
호남,39
임기,38
공작,38
신경전,37
대응,37
포럼,37
공방,37
기업,37
참석자,37
고려,36
확산,36
가짜,36
축사,36
집계,36
분석,36
민심,36
구성,35
지원금,35
전망,35
폭탄,35
분양,35
전날,35
언론,35
유리,35
반사체,35
역할,35
대책,35
무게,35
대립,34
변경,34
목소리,34
수준,34
내년,34
제기,34
훼손,33
하루,33
시험대,33
회복,33
무소속,33
개혁,33
획단,33
당론,33
절차,32
시계,32
비전,32
주요,32
교수,32
의혹,32
불발,32
선호,32
절충안,32
야당,32
내부,32
양자,31
사이,31
마련,31
권력,31
약장수,31
견제,31
상승세,31
개인,31
상위,31
모습,30
출연,30
행사,30
추격,30
평가,30
고민,30
내일,30
대비,30
철저,30
관계자,30
탐욕,30
효과,29
가격,29
규정,29
앵커,29
아침,29
예상,29
유불리,29
선택,29
서명,29
기념사진,29
전국,29
적극,29
확인,28
설명,28
차지,28
일부,28
포함,28
범여,28
방안,28
해석,28
조직,28
겨냥,28
검토,28
치열,27
보류,27
축하,27
논쟁,27
만호,27
소속,27
당원,27
싸움,27
막판,27
악재,27
신문,27
이야기,27
지적,27
계속,27
양도세,27
입당,27
약속,26
등장,26
고도,26
급락,26
출범식,26
소폭,26
처음,26
선관위,26
영향,26
참여,26
구조,26
별도,25
평등,25
동의,25
지방,25
통합,25
리서치,25
인물,25
당시,25
형성,25
기본,25
정리,25
의뢰,25
주변,24
특징,24
국정,24
칼럼,24
그룹,24
집중,24
질의,24
기존,23
공세,23
극복,23
구축,23
과거,23
지원,23
보도,23
주최,23
유보,23
우세,23
민중,23
언급,23
변수,23
돌풍,22
접전,22
이달,22
확대,22
홈페이지,22
출발,22
민생,22
모양새,22
복당,21
능력,21
카드,21
반박,21
무시,21
합의,21
전략,21
조정,21
결국,21
지난주,21
가상,21
방향,21
방침,20
기획,20
