word,count
정세균,4380
민주당,1955
이낙연,1778
이재명,1690
서울,1098
윤석열,743
이광재,676
추미애,487
여의도,400
송영길,393
박용진,384
최재형,377
양승조,363
대구,359
한국,256
충남,239
뉴시스,224
마리나,221
김두관,213
전북,198
대한민국,180
연합뉴스,167
유승민,161
홍준표,152
최문순,151
포항,149
코로나,138
경기도지사,120
안철수,118
중구,115
경북,113
하우스,110
한국노총,109
클럽,106
마포구,104
서문시장,96
이준석,94
투데이,94
프레스센터,85
아시아,83
데일리안,80
김동명,76
강원,67
심상정,67
광주,63
그랜드,57
프론트,56
오세훈,55
상암동,53
충청,49
강원도지사,48
김현태,45
전주시,42
김동연,42
수성구,41
최상수,40
충청남도,39
노컷뉴스,39
조승래,38
이병화,37
영주,37
공정식,37
원희룡,34
김종민,34
황보선,33
경기도,32
리얼미터,31
박병석,30
데일리,28
이원영,23
메이,22
