word,count
경선 연기,1486
대선 주자,758
경선 일정,548
대선 출마,534
이낙연 정세균,498
민주당 대선,419
대권 주자,370
서울 여의도,362
대선 경선,344
다음 뉴스,321
대선 후보,321
민주당 대표,291
이광재 의원,272
의원 총회,241
대표 정세균,238
경기 지사,231
이재명 경기,228
도심 공항,217
경선 연기론,210
출판 기념회,208
기자 회견,205
기자 더불다,205
출마 선언,204
당무 위,202
부동산 정책,201
박용진 의원,191
양승조 충남,191
민주당 경선,185
민주당 대권,179
정세균 이광재,179
국회 사진,172
초청 토론회,157
기자 협회,153
연합 뉴스,151
당 대표,147
여론 조사,147
서울 마리나,147
균형 사다리,144
협회 초청,143
여의도 서울,142
한국 기자,139
서울 뉴스,136
여권 대선,134
공동 토론회,132
경제 대통령,131
충남 지사,130
기념 촬영,129
대권 도전,121
민주당 의원,121
이재명 경기도지사,120
당헌 당규,116
최재형 감사원장,114
컨벤션 센터,114
기자 대선,112
법무부 장관,111
국무총리 이광재,111
오전 서울,109
연기 논의,108
마리나 클럽,106
클럽 하우스,106
규제 혁신,104
서울 마포구,103
마리나 컨벤션,101
지지 모임,101
오후 서울,100
정책 발표,100
김두관 의원,99
여의도 국회,99
혁신 간담회,98
서울 뉴시스,96
경선 시기,96
무단 전재,95
기자 간담회,93
송영길 대표,90
대안 모색,90
공식 선언,89
사진 기자단,89
서울 중구,85
경선 연기파,85
중구 프레스센터,83
정세균 이낙연,82
정면 충돌,82
차기 대선,82
당 지도부,81
기사 저작,81
모두 발언,81
모색 주제,80
기자 정세균,80
연기 의총,80
주제 공동,79
아시아 투데이,79
배포 금지,78
후보 경선,78
일정 확정,78
본부 발대식,74
일정 연기,73
뉴스 무단,72
여의도 마리나,72
정세균 경선,68
한국 노총,68
지사 정세균,67
강원 지사,66
최문순 강원,66
이재명 이낙연,66
안철수 국민,65
이재명 지사,64
후보 적합,64
위 소집,63
송 대표,63
연기 여부,61
총리 서울,61
뉴시스 국회,60
후보 선출,59
송영길 경선,59
연기 불가,58
포토 정세균,58
의원 최문순,58
서울 연합뉴스,57
금지 연합,57
그랜드 호텔,57
최고 위원,56
당무 위원회,56
기자 대권,56
의총 소집,56
이낙연 더불다,56
검찰 총장,55
민주당 이낙연,55
마포구 프론트,55
누리 꿈,55
총회 소집,54
꿈 스퀘어,54
대표 왼쪽,53
여의도 한국,53
정책 연대,53
서울 시장,53
상암동 누리,53
오세훈 서울,52
집단 행동,52
총리 이광재,52
뉴스 핌,52
소집 요구,51
사다리 전북,51
대한민국 경제,51
추미애 대선,51
이낙연 이광재,51
발표 기자,49
반 이재명,48
비이 재명,47
경선 흥행,47
최문순 강원도지사,47
사다리 대구,46
청년 창업,46
정세균 캠프,46
국무총리 김두관,45
경북 포항,45
총리 대구,45
마포구 상암동,45
연기 주장,45
연기 놓다,45
연기 갈등,45
김현태 기자,45
홍준표 의원,44
모임 균형,44
최고 위서,44
대구 본부,44
정세균 서울,44
민주당 지도부,44
한국노총 위원장,43
토론회 참석,43
사진 취재,43
전북 본부,43
연합뉴스 김현태,43
소집 요구서,43
김두관 박용진,42
파일 논란,42
이재명 경선,41
선거 여론,41
대구 수성구,41
이재명 연대,40
핌 최상수,40
수성구 그랜드,40
취 재단,40
최상수 기자,40
사진 취,40
연기 내홍,40
전북 전주시,40
정세균 포토,39
대구 서문시장,39
중앙 선거,39
양승조 충청남도,39
포항 시청,39
대통령 선거,39
최종 결정,39
충청남도 도지사,38
공공 임대,38
당헌 개정,38
영주 기자,37
부동산 세제,37
집값 안정,37
의원 박용진,37
출마 선언식,37
류 영주,37
공정식 기자,37
차기 대권,37
데일리안 류,37
이병화 기자,37
대구 뉴스,37
투데이 이병화,37
심상정 정의당,37
의원 양승조,36
계파 갈등,36
대표 김두관,36
정의당 의원,35
지사 출판,35
재난 지원금,35
오후 대구,35
김동명 한국노총,35
기자단 더불다,35
공급 폭탄,34
총리 이낙연,34
정책 토론회,34
당헌 위배,34
대구 경북,34
개정 사항,33
논의 거부,33
인사 나누다,32
기 획단,32
이광재 김두관,32
갈등 격화,32
공공 분양,32
홍준표 무소속,32
지사 이광재,32
대선 승리,31
의원 정세균,31
이광재 이재명,30
의견 수렴,30
양승조 출판,30
내홍 격화,30
대구 중구,30
임대 주택,29
주자 빅,29
중구 서문시장,29
범위 밖,29
무소속 의원,29
경제 뉴스,29
오전 대구,29
안철수 대표,29
국무총리 이낙연,28
기자 여권,28
출마 공식,28
뉴스 머니,28
당 안철수,28
주거 사다리,28
대변인 사퇴,28
민주 경선,28
이광재 서울,27
관련 토론회,27
포인트 오르다,27
논의 의총,27
힘 의원,27
위 의결,27
의총 요구,26
정세균 대선,26
의총 열다,26
총리 전주,26
지도부 경선,26
윤석열 이재명,26
위원 회의,26
최종 결론,26
양승조 지사,26
분양 주택,26
대구 연합뉴스,26
대권 적합,26
코로나 사태,26
매 추미애,26
취재진 질문,25
한국노총 방문,25
충남 도지사,25
각각 집계,25
일정 결정,25
연기 연판장,25
김종민 의원,25
윤석열 지지율,25
정치 공작,25
연기 결론,25
연기 결정,25
연기 논란,25
연기 반대,25
관련 기자,24
여야 대선,24
공식 출마,24
이낙연 의원,24
이광재 더불다,24
시기 논의,23
캠프 대변인,23
최고 위원회,23
연기 찬성,23
주자 정세균,23
의총 개최,23
이낙연 민주당,23
경선 룰,23
경선 갈등,23
완화 반대,22
국회 의장,22
경기도지사 이낙연,22
기자 여당,22
먼저 대선,22
메이 호텔,22
국무총리 왼쪽,22
지사 이낙연,22
대권 후보,22
현행 유지,22
전주시 전북,22
총리 지지,22
금지 머니,21
공개 최고,21
대구 찾다,21
지역 기자,21
대통령 후보,21
정세균 지지,21
총리 대선,21
연기론 내홍,21
박용진 민주당,21
양자 대결,21
간담회 참석,20
주자 이낙연,20
조승래 의원,20
경선 원칙,20
석 기자,20
당무 위서,20
국무총리 유승민,20
박용진 국회의원,20
라디오 황보선,20
김동명 한국,20
김두관 이광재,20
대한민국 미래,20
내년 대선,20
서문시장 상인,20
