word,count
출마를 선언,294
민주당 대선 주자,255
이재명 경기 지사,224
국민의 힘,178
민주당 대권 주자,168
이낙연 정세균 이광재,160
기자 협회 초청,143
여의도 서울 마리나,142
협회 초청 토론회,141
한국 기자 협회,139
대선 경선 연기,135
서울 여의도 서울,130
토론회에 참석,129
여권 대선 주자,119
양승조 충남 지사,110
대선 경선 일정,108
마리나 클럽 하우스,106
서울 마리나 클럽,105
대선 출마 선언,105
경선 연기 논의,102
마리나 컨벤션 센터,101
기자 대선 출마,100
서울 여의도 국회,99
연기를 주장,99
규제 혁신 간담회,98
민주당 경선 연기,90
국회 사진 기자단,89
국민의 당,88
부동산 정책 발표,86
서울 중구 프레스센터,83
민주당 대선 후보,83
국무총리 이광재 의원,82
오후 서울 중구,81
경선 연기 의총,80
대안 모색 주제,80
모색 주제 공동,78
정책을 발표,77
출마를 공식,75
경선 일정 확정,75
도전을 선언,74
서울 여의도 마리나,72
연합 뉴스 무단,72
주제 공동 토론회,71
민주당 대선 경선,69
통관에서 기자,68
최문순 강원 지사,66
여의도 마리나 컨벤션,66
뉴스 무단 전재,66
경선 일정 연기,64
당무 위 소집,63
대선 후보 경선,63
대선 후보 적합,62
서울 뉴시스 국회,60
뉴시스 국회 사진,60
민주당 대표 정세균,58
배포 금지 연합,57
회견을 갖다,57
금지 연합 뉴스,57
오전 서울 여의도,56
서울 마포구 프론트,55
반이 재명,55
누리 꿈 스퀘어,54
노총을 방문,54
의원 총회 소집,54
여의도 한국 노총,53
서울 여의도 한국,53
상암동 누리 꿈,53
서울 뉴스 핌,51
균형 사다리 전북,51
오세훈 서울 시장,50
대한민국 경제 대통령,50
정세균 경선 연기,50
기자 대권 도전,50
경선 연기 여부,49
총리 이광재 의원,48
이재명 이낙연 정세균,48
발표 기자 회견,47
회견을 열다,47
오전 서울 마포구,46
균형 사다리 대구,46
민주당 경선 일정,46
정책 발표 기자,46
서울 마포구 상암동,45
마포구 상암동 누리,45
경선 연기 갈등,45
지지 모임 균형,44
모임 균형 사다리,44
김현태 기자 더불다,44
사다리 대구 본부,44
국회 사진 취재,43
소집을 요구,43
이광재 의원 최문순,43
연합뉴스 김현태 기자,43
경선 연기 놓다,43
사다리 전북 본부,42
수성구 그랜드 호텔,40
사진 취 재단,40
국회 사진 취,40
경선 연기 내홍,40
핌 최상수 기자,40
대구 수성구 그랜드,40
뉴스 핌 최상수,40
서문시장을 찾다,39
중앙 선거 여론,39
의원 최문순 강원,38
경선 연기 불가,38
양승조 충청남도 도지사,38
차기 대선 후보,38
투데이 이병화 기자,37
아시아 투데이 이병화,37
데일리안 류 영주,37
류 영주 기자,37
연기를 요구,36
의원 박용진 의원,36
김동명 한국노총 위원장,35
이재명 경선 연기,35
사진 기자단 더불다,35
대구 본부 발대식,35
심상정 정의당 의원,35
경선 연기 주장,34
의원 양승조 충남,34
김두관 의원 박용진,34
서울 마리나 컨벤션,34
정세균 이낙연 이광재,33
지사의 출판,33
지사 출판 기념회,33
전북 본부 발대식,32
의총서 경선,32
경북 포항 시청,31
질문에 답,30
발대식에 참석,30
당헌 개정 사항,29
홍준표 무소속 의원,29
통관에서 부동산,29
오전 대구 중구,29
추미애 대선 출마,29
대구 중구 서문시장,29
초청 토론회 참석,29
성공을 꿈꾸다,29
차기 대선 주자,29
인사를 나누다,28
후보 경선 일정,28
선거 여론 조사,28
공공 임대 주택,28
당 안철수 대표,28
송영길 경선 연기,28
경제 뉴스 머니,27
당무 위 의결,27
의총 소집 요구,26
충남 지사 정세균,26
대구 연합뉴스 김현태,26
대선 주자 빅,26
대선 출마 공식,26
간담회에서 인사말,26
양승조 출판 기념회,26
최고 위원 회의,25
경선 연기 결론,25
경선 연기 결정,25
경선 연기 연판장,25
공정식 기자 대선,25
여당의 대선,25
양승조 충남 도지사,25
질문에 답변,25
오후 대구 수성구,24
공공 분양 주택,24
충남 지사 이광재,24
경선을 연기,24
국무총리를 지지,24
강원 지사 정세균,24
총리 서울 뉴스,24
대선 경선 연기론,24
김두관 박용진 의원,23
민주당 경선 연기론,23
경선 연기 논란,23
정세균 이광재 서울,23
관련 기자 회견,23
박용진 의원 양승조,22
경선 일정 결정,22
경선 시기 논의,22
의총서 논의,22
전북 전주시 전북,22
이광재 김두관 의원,22
이재명 경기도지사 이낙연,22
토론회를 열다,21
경선 연기론 내홍,21
기자 여권 대선,21
여권의 대선,21
배포 금지 머니,21
대선 후보 선출,20
박용진 민주당 의원,20
의원 최문순 강원도지사,20
지사 이광재 의원,20
