word,count
정세균,4380
경선,2946
대선,2411
민주당,1955
연기,1800
의원,1793
이낙연,1778
국무총리,1750
이재명,1690
대표,1410
총리,1336
주자,1282
기자,1219
뉴스,1156
서울,1098
지사,821
출마,785
윤석열,743
선언,705
후보,695
이광재,676
대권,663
일정,658
의총,512
국민,495
추미애,487
열리다,477
정책,476
토론회,463
논의,461
여의도,400
송영길,393
박용진,384
국회,382
최재형,377
지도부,376
다음,369
결정,368
참석,363
양승조,363
부동산,363
대구,359
조사,346
여권,336
주장,333
지지,315
당무,300
정치,298
대통령,296
요구,295
원칙,294
장관,289
당헌,287
사진,286
지지율,277
갈등,271
경제,263
공항,260
포토,257
한국,256
경기,250
결론,245
총회,244
간담회,244
공동,242
연기론,241
충남,239
인사,238
파일,232
도심,228
뉴시스,224
소집,223
마리나,221
출판,218
총장,217
발표,217
김두관,213
기념회,210
회견,205
나서다,205
관련,203
전북,198
이날,198
발언,197
오전,188
연합,186
왼쪽,185
오후,182
대한민국,180
사다리,180
여론,179
초청,173
공식,173
연합뉴스,167
지나다,165
주거,162
유승민,161
입장,160
반대,160
방문,157
재명,156
충돌,154
균형,154
협회,154
내홍,154
홍준표,152
필요,151
최문순,151
개최,149
포항,149
의견,147
촬영,143
기념,142
논란,141
차기,141
최고,140
도전,139
코로나,138
감사원장,138
가능,137
공급,136
밝히다,136
여당,135
센터,133
강하다,133
연대,133
확정,131
선거,131
시기,129
격화,128
적합,128
가운데,128
당내,128
당규,128
대안,126
머니,126
위원회,125
모임,124
해결,124
기록,123
야권,123
계파,123
컨벤션,121
앞두다,121
보이다,120
경기도지사,120
최고위,120
친문,119
압박,118
안철수,118
청년,117
연판장,116
캠프,116
국회의원,116
통관,115
미루다,115
중구,115
저작,114
지역,114
결단,114
경북,113
유지,113
혁신,112
시장,111
주택,111
자리,111
법무부,111
하우스,110
흥행,109
한국노총,109
오르다,109
규제,108
민주,108
위원장,107
공개,106
검증,106
클럽,106
마포구,104
선출,103
연기파,103
정면,103
기사,101
무단,101
경쟁,101
모색,101
강조,100
여부,100
본부,100
발대식,99
반발,98
여야,98
완화,98
포인트,96
서문시장,96
공공,95
전재,95
주제,95
예정,95
이준석,94
투데이,94
알리다,93
인사말,93
질문,92
나누다,92
기자단,92
전주,91
안정,88
라디오,88
만나다,87
금지,87
시각,87
전면전,87
공약,86
대변인,86
프레스센터,85
하락,85
상승,84
중요,84
아시아,83
집단,82
개헌,82
라운지,82
호텔,81
토론,81
종부,80
최종,80
데일리안,80
배포,79
의결,79
종합,79
상황,79
진행,77
비판,77
김동명,76
따르다,75
위원,74
양보,73
모이다,73
찬반,73
현행,72
대결,72
잠룡,72
답변,72
신뢰,71
내용,70
중심,70
시작,70
도지사,70
지키다,69
정권,69
노총,69
검찰,69
상당,68
최근,68
찬성,67
사유,67
지지층,67
강원,67
심상정,67
불가,67
선두,65
둘러싸다,65
앞서다,65
양상,64
위서,64
취재,63
위기,63
상대,63
광주,63
격론,63
세대,62
정하다,62
내리다,61
어렵다,61
중앙,59
미래,58
슬로건,58
창출,57
보수,57
그랜드,57
준비,57
구도,57
주말,57
사항,57
거론,56
누리,56
프론트,56
오세훈,55
행동,55
전하다,55
인터뷰,55
정의당,54
스퀘어,54
승리,54
회의,54
지지자,54
향하다,54
고수,53
출사표,53
행보,53
상암동,53
의장,53
시민,53
본격,52
나타나다,52
전선,52
국가,52
세상,52
결과,52
정부,52
격차,51
요구서,51
등판,50
집값,50
원장,50
취재진,50
충청,49
세제,49
우려,49
진입,48
수렴,48
주목,48
촉구,48
강원도지사,48
격돌,48
창업,47
비이,47
개정,47
대화,46
이유,46
의사,46
거부,46
리더십,46
범위,45
김현태,45
얘기,45
달리다,45
사설,45
나라,44
예고,44
시대,44
벌이다,44
진영,44
선언식,44
정치인,44
출범,44
의회,44
사퇴,44
방식,43
고심,43
시청,43
이후,43
사태,43
내전,43
성공,43
전주시,42
관심,42
재단,42
위배,42
권한,42
거치다,42
제출,42
김동연,42
상인,42
제공,42
세력,41
수성구,41
악수,41
고조,41
모르다,41
제안,41
최상수,40
영상,40
유력,40
임대,40
브리핑,40
소득,40
추진,40
방송,39
노컷뉴스,39
충청남도,39
도덕,39
올리다,39
호남,39
돌리다,39
바꾸다,39
판단,39
맞서다,39
시사,39
재난,39
품격,39
조승래,38
흔들다,38
임기,38
공작,38
기업,37
포럼,37
대응,37
이병화,37
공정식,37
공방,37
영주,37
신경전,37
참석자,37
치르다,36
확산,36
민심,36
축사,36
고려,36
분석,36
집계,36
가짜,36
대책,35
무게,35
유리,35
폭탄,35
구성,35
역할,35
언론,35
반사체,35
전날,35
분양,35
전망,35
