word,count
출마,49
선언,36
대선,25
총장,16
검찰,12
의원,9
기자,8
회견,7
검증,6
언론,6
참석,6
국민,6
노동자,6
지사,6
민주,5
조국,5
공식,5
주자,5
정부,4
지도부,4
정치,4
기사,4
요약,4
보도,4
부족,4
등장,3
대회,3
외교,3
머니,3
모니터,3
영상,3
여론,3
신문,3
선거,3
대통령,3
비판,3
사퇴,3
노총,3
수준,3
다음,3
마음,3
전국,3
자세,3
질문,3
공정,3
집회,3
관련,3
공개,3
방송,2
변호사,2
발언,2
해명,2
사외,2
부대,2
평가,2
형수,2
캠프,2
참여,2
불가,2
회사,2
메시지,2
비교,2
후보,2
의혹,2
상장,2
사태,2
의사,2
우연,2
욕설,2
이사,2
이후,2
일대,2
임기,2
예고,2
자주국방,2
아빠,2
정권,2
조사,2
주목,2
강조,2
중앙일보,2
지지,2
수사,2
후원금,2
단독,2
나라,2
관동군,2
답변,2
논란,2
당일,2
고개,2
교수,2
경기,2
덩치,2
내리막,2
관계,2
기념관,2
균형,2
개혁,2
전위,1
접대부,1
정경,1
교체,1
정보,1
그동안,1
정상인,1
정책,1
교도,1
극우,1
응답,1
제목,1
은행,1
제보자,1
제시,1
제안,1
제외,1
관상,1
윤현,1
조산,1
조직,1
주관,1
전화,1
국회,1
인단,1
전날,1
인용,1
인정,1
인증,1
이야기,1
인터뷰,1
국정,1
일부,1
일정,1
일체,1
일침,1
군대,1
국내,1
입당,1
입장,1
구체,1
구성원,1
자초,1
관계자,1
장모,1
적합,1
구독,1
장교,1
라가,1
주의자,1
관건,1
투표용지,1
트윗,1
특징,1
파악,1
편대,1
견제,1
폐지,1
폭락,1
폭탄,1
표실,1
필요,1
하락,1
하루,1
거짓말,1
핵심,1
행사,1
허풍쟁이,1
헌법,1
갤러리,1
확대,1
확보,1
회견장,1
개정안,1
개그,1
후원,1
투표,1
통신,1
토사물,1
차별,1
유일,1
지도,1
과거,1
공직,1
공연장,1
지지율,1
지탱,1
공감,1
질의,1
집계,1
차기,1
계승자,1
태극기,1
경제,1
철학,1
청원,1
촌극,1
경선,1
총파업,1
최고,1
출신,1
출처,1
결과,1
콘텐츠,1
유포,1
운집,1
유력,1
불참,1
도구,1
본인,1
부끄러움,1
부실,1
부인,1
부적,1
대표,1
분량,1
분석,1
대장,1
불공정,1
대권,1
변이,1
비전,1
비주류,1
당초,1
사고,1
사령관,1
사전,1
당내,1
사활,1
삭제,1
삼각,1
상승세,1
도서,1
법치,1
상황,1
무죄,1
동의,1
망가,1
매듭,1
맹탕,1
동영상,1
돌파,1
면제,1
돈트,1
모집,1
목표,1
무대,1
문재,1
방역,1
미디어,1
미래,1
미안,1
민생,1
돈키호테,1
반성,1
독립투사,1
발표,1
방문,1
독려,1
방식,1
담집,1
새벽,1
원맨쇼,1
영부인,1
야욕,1
약자,1
양산,1
얘기,1
억강부약,1
언동,1
얼척,1
엉터리,1
내년,1
여야,1
연합,1
깃발,1
야구,1
예금주,1
오물,1
오하,1
기본,1
외면,1
요란,1
요소,1
금지법,1
근거,1
라이,1
원고,1
야구장,1
알고리즘,1
선거법,1
수록,1
선관위,1
느낌,1
선언문,1
세간,1
세계,1
세상,1
셀프,1
소수자,1
소식통,1
속도,1
수레,1
뉴스,1
안정,1
스킬,1
시민,1
시발점,1
시작,1
노동,1
실제,1
쓰레기,1
내용,1
아쉬움,1
안경,1
안전,1
가십성,1
