,neg_words,count,documents
0,부족,4,"['기자들이 던진 질문에는 차별금지법 노동 안전 등 소수자와 약자의 입장은 없었다 모니터보고서 받아쓰거나 요약하거나 윤석열출마 선언 보도 검증 부족https 윤석열 대선 출마 기자회견', '3월윤석열전 총장이 검찰총장직을 사퇴하면서 가십성 정보에 가까운 보도가 연이어 등장했습니다. 헤럴드경제는 은 왕이 될 상 이란 인공지능 관상 평가를 보도했다가 기사를 삭제하는 촌극을 빚었습니다. 윤석열 20대대선 윤석열출마 윤석열캠프 대선 출마받아쓰거나 요약하거나 윤석열 출마 선언 보도 검증 부족 미디어오늘윤석열 전 검찰총장은 6월 29일 기자회견을 열고 제20대 대통령 선거 출마를 선언했습니다. 문재인 정부에 대한 비판과 함께 정권교체라는 목표를 제시한 윤 전 총장은 회견문 발표 후 20개 남짓 질문을 받아 답변.mediatoday.co.kr312 4', '윤석열출마 선언을 대하는 조선의 자세 둘 중 하나였다http민주언론시민연합윤석열 출마 선언을 대하는 조선의 자세 둘 중 하나였다민언련 신문 방송 모니터 보고서 받아쓰거나 요약하거나. 검증 부족ohmynews.com']"
1,비판,3,"['윤석열의 무정책 무비전으로 일관한출마 선언문과 수준 이하 질의응답 스킬을 보면서 그동안 안철수를 너무 혹독하게 비판했나 미안할 지경.', '윤석열전 검찰총장이 문재인 정부를 강하게 비판하며출마 선언을 한 데 대해서 이재명 지사는 저도 영상으로 봤는데 미래에 관한 이야기를 했으면 어땠을까 한다 며 과거 얘기를 안 할 수는 없겠지만 그렇게까지 많이 하시나 하는 아쉬움이 있었다 이게 이재명식 억강부약이냐? 40', '3월윤석열전 총장이 검찰총장직을 사퇴하면서 가십성 정보에 가까운 보도가 연이어 등장했습니다. 헤럴드경제는 은 왕이 될 상 이란 인공지능 관상 평가를 보도했다가 기사를 삭제하는 촌극을 빚었습니다. 윤석열 20대대선 윤석열출마 윤석열캠프 대선 출마받아쓰거나 요약하거나 윤석열 출마 선언 보도 검증 부족 미디어오늘윤석열 전 검찰총장은 6월 29일 기자회견을 열고 제20대 대통령 선거 출마를 선언했습니다. 문재인 정부에 대한 비판과 함께 정권교체라는 목표를 제시한 윤 전 총장은 회견문 발표 후 20개 남짓 질문을 받아 답변.mediatoday.co.kr312 4']"
2,욕설,2,"['기사 제목이 저게 나원참 세상에 지금 우리가 문재인 대통령님과 김정숙 영부인을 갖고 세계 최고의 정부를 겪고 있는 지금 다음 대선 출마자들 지금 저 기사를 정상인이라면 국민들께 보시고 날도 더우니 웃으라 하는 개그도 아니고 저게 뭡니까? 어휴 쪽팔리네요형수 욕설 vs 쥴리.셀프 검증 자초한 이재명 윤석열내년 대선 출마를 공식 선언한 이재명 경기지사는 1일 형수 욕설 논란에 대해 모두 다 팩트라고 인정했다. 앞서 윤석열 전 검찰총장의 부인 김건희 씨는 직접 쥴리가 아니다 라고 해명했다. 여야 대선주자 1위 모두 세간의 논란과 의혹을 본인 입으로 공개 해명하면서 스스로 검증의 무대로 끌어올렸다는 분석이 나온다. 이 지사는 1일 민주당 프레스데이 행news.v.daum.net2220', '민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331']"
3,거짓말,1,"['돈은 거짓말 안 해ㅡ 고개 숙인 테마주윤석열 이재명 대선 출마 선언 후 줄줄이 내리막 출처 머니s 네이버 뉴스http42 24', '민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331']"
4,부끄러움,1,"['대선 출마 선언 하는 허졉하고 요란한 빈수레윤석열이나 .중앙일보에 줄리가 뭐냐는식의 발끈하는 듯이 인터뷰한 부끄러움 모르는처 김건희나.장모 최은순이나. 삔뻔힌고 얼척없는 구성원은 첨 봄.shit.은 기자회견으로 허접한 허풍쟁이 맹탕을 인증한 꼴.', '민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331']"
5,삭제,1,"['3월윤석열전 총장이 검찰총장직을 사퇴하면서 가십성 정보에 가까운 보도가 연이어 등장했습니다. 헤럴드경제는 은 왕이 될 상 이란 인공지능 관상 평가를 보도했다가 기사를 삭제하는 촌극을 빚었습니다. 윤석열 20대대선 윤석열출마 윤석열캠프 대선 출마받아쓰거나 요약하거나 윤석열 출마 선언 보도 검증 부족 미디어오늘윤석열 전 검찰총장은 6월 29일 기자회견을 열고 제20대 대통령 선거 출마를 선언했습니다. 문재인 정부에 대한 비판과 함께 정권교체라는 목표를 제시한 윤 전 총장은 회견문 발표 후 20개 남짓 질문을 받아 답변.mediatoday.co.kr312 4', '민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331']"
6,쓰레기,1,"['윤석열출마 선언 이후 민주당은 쓰레기들을 내세워 토사물들을 쏟아내고 근거 없는 찌라시를 유포한 것 밖에 없는데 지지율이 올라갔다. 국민 수준이 낮은 때문인지 여론조사가 엉터리인지 도무지 알 길이 없다. 선관위가 주관한 투표에도 이상한 투표용지가 끼어드는 판에 여론조산들 온전할까마는.18', '민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331']"
7,아쉬움,1,"['윤석열전 검찰총장이 문재인 정부를 강하게 비판하며출마 선언을 한 데 대해서 이재명 지사는 저도 영상으로 봤는데 미래에 관한 이야기를 했으면 어땠을까 한다 며 과거 얘기를 안 할 수는 없겠지만 그렇게까지 많이 하시나 하는 아쉬움이 있었다 이게 이재명식 억강부약이냐? 40', '민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331']"
8,엉터리,1,"['윤석열출마 선언 이후 민주당은 쓰레기들을 내세워 토사물들을 쏟아내고 근거 없는 찌라시를 유포한 것 밖에 없는데 지지율이 올라갔다. 국민 수준이 낮은 때문인지 여론조사가 엉터리인지 도무지 알 길이 없다. 선관위가 주관한 투표에도 이상한 투표용지가 끼어드는 판에 여론조산들 온전할까마는.18', '민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331']"
9,두렵다,1,"['윤석열넌 안되겠다. 넌 정치에 대해 너무 몰라 이재명과 비교불가다.비교불가이재명 대선 출마 공식 선언나라 위해 더 큰 도구 달라민주당 유력 대선주자인 이재명 경기도지사가 영상을 통한 비대면 방식으로 대선 출마를 공식 선언했습니다. 이 지사는 오늘 새벽 14분을 조금 넘는 분량의 출마 선언 동영상을 공개하고 대한민국 헌법 1조를 읽으며 두렵고 엄숙한 마음으로 20대 대통령 선거 출마를 선언한다 고 밝혔습니다.news.sbs.co.kr', '민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331']"
