from,to,depth,documents
"윤석열+출마
in twitter","윤석열+출마
in twitter",0,"['기자들이 던진 질문에는 차별금지법 노동 안전 등 소수자와 약자의 입장은 없었다 모니터보고서 받아쓰거나 요약하거나 윤석열출마 선언 보도 검증 부족https 윤석열 대선 출마 기자회견', '돈은 거짓말 안 해ㅡ 고개 숙인 테마주윤석열 이재명 대선 출마 선언 후 줄줄이 내리막 출처 머니s 네이버 뉴스http42 24', '윤석열이 왜 29일에출마선언 했는지 알겠다 30일에 했음 정경심 교수 무죄에 대해서 말 안 할 수 없으니까243225']"
"윤석열+출마
in twitter",윤석열,1,"['기자들이 던진 질문에는 차별금지법 노동 안전 등 소수자와 약자의 입장은 없었다 모니터보고서 받아쓰거나 요약하거나 윤석열출마 선언 보도 검증 부족https 윤석열 대선 출마 기자회견', '윤석열의 무정책 무비전으로 일관한출마 선언문과 수준 이하 질의응답 스킬을 보면서 그동안 안철수를 너무 혹독하게 비판했나 미안할 지경.', '돈은 거짓말 안 해ㅡ 고개 숙인 테마주윤석열 이재명 대선 출마 선언 후 줄줄이 내리막 출처 머니s 네이버 뉴스http42 24']"
"윤석열+출마
in twitter",출마,1,"['기자들이 던진 질문에는 차별금지법 노동 안전 등 소수자와 약자의 입장은 없었다 모니터보고서 받아쓰거나 요약하거나 윤석열출마 선언 보도 검증 부족https 윤석열 대선 출마 기자회견', '윤석열의 무정책 무비전으로 일관한출마 선언문과 수준 이하 질의응답 스킬을 보면서 그동안 안철수를 너무 혹독하게 비판했나 미안할 지경.', '돈은 거짓말 안 해ㅡ 고개 숙인 테마주윤석열 이재명 대선 출마 선언 후 줄줄이 내리막 출처 머니s 네이버 뉴스http42 24']"
"윤석열+출마
in twitter",선언,1,"['기자들이 던진 질문에는 차별금지법 노동 안전 등 소수자와 약자의 입장은 없었다 모니터보고서 받아쓰거나 요약하거나 윤석열출마 선언 보도 검증 부족https 윤석열 대선 출마 기자회견', '돈은 거짓말 안 해ㅡ 고개 숙인 테마주윤석열 이재명 대선 출마 선언 후 줄줄이 내리막 출처 머니s 네이버 뉴스http42 24', '윤석열이 왜 29일에출마선언 했는지 알겠다 30일에 했음 정경심 교수 무죄에 대해서 말 안 할 수 없으니까243225']"
"윤석열+출마
in twitter",대선,1,"['기자들이 던진 질문에는 차별금지법 노동 안전 등 소수자와 약자의 입장은 없었다 모니터보고서 받아쓰거나 요약하거나 윤석열출마 선언 보도 검증 부족https 윤석열 대선 출마 기자회견', '돈은 거짓말 안 해ㅡ 고개 숙인 테마주윤석열 이재명 대선 출마 선언 후 줄줄이 내리막 출처 머니s 네이버 뉴스http42 24', '열린 공감tv. 눈이 안 좋아 군대 면제받은윤석열이. 대선 출마기자회견장에서 안경도 쓰지 않고 원고를 줄줄 잘도 읽더군요.']"
"윤석열+출마
in twitter",이재명,1,"['돈은 거짓말 안 해ㅡ 고개 숙인 테마주윤석열 이재명 대선 출마 선언 후 줄줄이 내리막 출처 머니s 네이버 뉴스http42 24', '윤석열과 이재명은출마후 테마주 하락. 이낙연은하루 만에 후원금 8억 모금.285331', '윤석열21 이재명 27 mtoday윤석열 21 출마 선언 후 1p 이재명 27 머니투데이 전국 지표조사nbs 6월5주차지지후보 바꿀 수 있다 48차기 대권 주자 적합도 조사에서 이재명 경기지사가 27 윤석열 전 검찰총장이 21의 지지.news.mt.co.kr']"
"윤석열+출마
in twitter",총장,1,"['윤석열 총장이 윤봉길 기념관에서 출마회견 한 건 생각할 수록 부적절 윤봉길의사는 관동군 사령관인 시라가와 대장에게 폭탄 던진 분이고 박정희 씨는 관동군 장교였음. 박정희정치의 맥을 잇는 힘당에 마음 둔 분이 어떻게 윤의사 앞에서 그런 선언을 독립투사에 오물 던지기죠16480638', '윤건영 더불어민주당 의원이 대선 출마를 선언한윤석열전 검찰총장을 두고 몸에 안 맞는 옷을 입고 있는 것 같다 고 평가했다.윤건영 윤석열 초6이 덩치 커졌다고 아빠 옷 입은 느낌 한일관계 발언 관련해선 일본 극우주의자 태극기부대 사고와 흡사 hani.co.kr22', '윤석열21 이재명 27 mtoday윤석열 21 출마 선언 후 1p 이재명 27 머니투데이 전국 지표조사nbs 6월5주차지지후보 바꿀 수 있다 48차기 대권 주자 적합도 조사에서 이재명 경기지사가 27 윤석열 전 검찰총장이 21의 지지.news.mt.co.kr']"
"윤석열+출마
in twitter",검찰,1,"['민주당 대선주자들 조국 사태가 아니라윤석열대선 위해 조국 수사한 사태 다 조국 죽이기 삼각편대의 알고리즘검찰이 언론에 흘려 양산한 조국관련 의혹기사 130만 건검찰 빛의 속도로 수사확대국힘당 검찰의 전위부대출마? 검찰개혁이 왜 필요한지 보여준 것3527', '윤건영 더불어민주당 의원이 대선 출마를 선언한윤석열전 검찰총장을 두고 몸에 안 맞는 옷을 입고 있는 것 같다 고 평가했다.윤건영 윤석열 초6이 덩치 커졌다고 아빠 옷 입은 느낌 한일관계 발언 관련해선 일본 극우주의자 태극기부대 사고와 흡사 hani.co.kr22', '윤석열21 이재명 27 mtoday윤석열 21 출마 선언 후 1p 이재명 27 머니투데이 전국 지표조사nbs 6월5주차지지후보 바꿀 수 있다 48차기 대권 주자 적합도 조사에서 이재명 경기지사가 27 윤석열 전 검찰총장이 21의 지지.news.mt.co.kr']"
"윤석열+출마
in twitter",의원,1,"['윤석열출마 선언하고 나서 테마주 폭락 이낙연의원 후원금 8억돌파 머니 돈트 라이', '윤건영 더불어민주당 의원이 대선 출마를 선언한윤석열전 검찰총장을 두고 몸에 안 맞는 옷을 입고 있는 것 같다 고 평가했다.윤건영 윤석열 초6이 덩치 커졌다고 아빠 옷 입은 느낌 한일관계 발언 관련해선 일본 극우주의자 태극기부대 사고와 흡사 hani.co.kr22', '윤 의원은 우리 사회를 지탱하던 기본이 무너진다는 느낌이 들었다 고 했습니다. 윤건영 윤석열윤석열 출마 선언에 윤건영 초6이 덩치 커졌다고 아빠 옷 입은 느낌윤석열 전 검찰총장의 출마 선언에 대해 말했다.mnews.joins.com']"
"윤석열+출마
in twitter",기자,1,"['기자들이 던진 질문에는 차별금지법 노동 안전 등 소수자와 약자의 입장은 없었다 모니터보고서 받아쓰거나 요약하거나 윤석열출마 선언 보도 검증 부족https 윤석열 대선 출마 기자회견', '열린 공감tv. 눈이 안 좋아 군대 면제받은윤석열이. 대선 출마기자회견장에서 안경도 쓰지 않고 원고를 줄줄 잘도 읽더군요.', '대선 출마 선언 하는 허졉하고 요란한 빈수레윤석열이나 .중앙일보에 줄리가 뭐냐는식의 발끈하는 듯이 인터뷰한 부끄러움 모르는처 김건희나.장모 최은순이나. 삔뻔힌고 얼척없는 구성원은 첨 봄.shit.은 기자회견으로 허접한 허풍쟁이 맹탕을 인증한 꼴.']"
