word,count
대표,543
의원,479
대통령,448
후보,320
경선,274
지지,258
복지,238
여성,220
대선,215
포럼,209
국민,128
캠프,127
나라,125
전국,121
뉴스,112
차기,104
조국,101
총리,100
정책,94
정치,94
기자,92
여니,92
선언,92
선거,82
정부,82
공감,78
지도부,75
주자,70
출범,68
응원,68
승리,65
사진,64
다음,64
결정,62
준비,60
언론,60
검찰,58
지지율,57
후원,55
문재,54
시작,53
지지자,53
마음,50
출마,50
비판,49
경제,49
필요,49
지사,47
총장,47
지역,47
조사,46
연기,45
설정,44
이날,44
일정,43
여론,42
최성,42
감사,41
새끼,41
광역,41
정치인,40
말씀,40
등록,40
변경,40
모임,39
입장,39
현직,38
최고,38
대변인,38
약속,38
조직,37
청년,36
출처,36
재명,35
예비,35
방문,35
보도,34
위원장,34
당원,34
회수,33
인용,33
원칙,33
정권,32
선거인단,32
본선,32
트윗,31
흥행,31
방송,31
계좌,31
관련,31
이유,31
장관,30
대권,30
가짜,30
오후,30
지도자,30
사랑,29
출신,29
오전,28
국무총리,28
대응,28
친문,27
문파,27
발언,26
최선,26
기사,26
처음,26
시민,26
참석,26
결과,26
농협,25
태도,25
본격,25
요구,24
역사,24
계승,23
공격,23
주장,23
책임,23
부탁,23
위원회,22
창립,22
당선,22
민주,21
