from,to,depth,documents
"이낙연
in twitter","이낙연
in twitter",0,"['이낙연전 대표님 의원실에서tv 영상 사용 승인을 해주셨네요. 후후 아주 기쁩니다. 채널 열면 다시 공지해드릴게요. 전라도상품 구매운동 유튜브는 당분간 휴방입니다.4881', '이낙연빅쇼 보고 있는데 전혜숙 최고의원 진국이다. 경북 출신으로 험지에서 김대중 노무현 문재인 대통령을 지지하고 지금은 대표님을 위해 뛰는 멋진 정치인90141', '광역 기초 여성의원 여성위원장 등 5만여명이낙연지지 선언 문재인 대통령도 그랬고대표님도 대통령 되는데 여성들이 엄청난 힘이 되어주니 든든하고 감사함1125']"
"이낙연
in twitter",이낙연,1,"['양자대결보니까 반드시 깨끗하고 유능하고 훌륭한이낙연의원님만이 정권대창출 할 수 있다. 이낙연 여니 차기는 이낙연 깨끗한 대통령 반드시 이낙연 20822 6', '어제의 화가 낙심이 오늘 이낙연빅쇼로 풀리고 힘을 얻었습니다 오늘 행사에 애써주신 많은 분들 정말정말 고맙습니다 차기는 이낙연 깨끗한 대통령 이낙연빅쇼 진행천재백총2018', '저 이제 할머니 아님 저 대표님이랑 춤추는 사이에여 이낙연 zepeto 이낙연의 약속 이낙연tv 무슨버스 신세계 나도신세대0071.1천 조회수74173']"
"이낙연
in twitter",대표,1,"['지금 이낙연대표님과 사진을 찍었습니다 제가 대표님께 무릎꾾고 감사합니다 라고 외쳤습니다 대표님 사랑합니다 349 1', '어흐흑이렇게 이낙연전 대표님을 뵐 수 있어서 감동이에요.전 대표님 실제로 뵈니 정말 중후하고 멋지시더라고요. 원래도 입덕 상태였지만 오늘 다시 재재재입덕했습니다.136234', '추미애 당대표때는 머하고? 이해찬이 당대표때는 머하고?이낙연이 당대표때는 머하고? 이제와 언론개혁 ?설정 변경보기']"
"이낙연
in twitter",의원,1,"['홍영표 의원님 감사합니다 이낙연의원님 지지선언 해주신거 역시 내 믿음을 한 번도 져버린적이 없었던 홍영표의원님113 16 5', '빨리 이낙연의원이 대선 경선에서 승리해서 당 체제도의원 체제로 빨리 전환되야 민주당도 정상화 될 수 있겠다는 생각이 든다. 계속 송영길 가지고는 감당 불능이다.19323 7', '2004년 3월 12일 노무현 대통령 탄핵안 가결. 당시 국회에서는 이낙연새천년민주당 의원과 김종호 자유민주연합 의원 단 두 사람만이 탄핵안에 반대표를 던졌다.19 22']"
"이낙연
in twitter",민주당,1,"['민주당 대선후보 9월 초 결정이낙연촉박한 일정에 역전카드 있나민주당 대선후보 9월 초 결정 이낙연 촉박한 일정에 역전카드 있나m.businesspost.co.kr149 16 2', '민주당 대선 경선기획단은 그냥 이재명 선거캠프아니냐? 이 양심도 없는 것들아이낙연캠프에서는 강력히 대처하셔야겠네요. 진짜 민주당 이번 대선 미쳐도 너무 미쳐돌아가네12980', '민주당에서 뭔 짓을 하든 이제 관심을 꺼야 할 듯 하고 천우신조로이낙연의원이 혹시 경선에서 이겨 민주당 대선후보 라도 되면 그때나 좀 희망을 가져 보려고 한다.1228']"
"이낙연
in twitter",대통령,1,"['김대중 대통령님 노무현 대통령님 문재인 대통령님 그 다음은 이낙연대통령 되시기를 응원합니다.182 8', '문재인 대통령을 지키겠다 고 말하는 대통령 후보는 이낙연밖에 없습니다 문재인 대통령을 지킬 수 있도록을 지지해주세요', '네 저도 최선을 다하겠습니다 그리고 민주당의 세분 대통령님의 뜻을 받듭니다 민주화운동을 폄하하는 전과4범 일베출신 범죄자가 감히 대통령을 꿈꾸는 세상은 막겠습니다 1727']"
"이낙연
in twitter",이재명,1,"['nbs전국 지표조사 대선후보 적합도 6 24 이재명 27 2 윤석열204이낙연7 이재명윤석열 오차범위 밖 민주당 지지층 이재명 491810', '이재명이 허상 1위 단독질주 해주는 바람에 전선이 이재명 대 반이재명으로 자연스레 만들어 졌음. 뚜까 맞는 건 쟤가 하게 하고 실속은이낙연이 챙기면 됨. ㅡㅡ3367', '이재명 트래픽을 줄이기는 쉽지 않으니 이재명 미필 불륜 전과4범 음주운전반드시 부정어와 노출하고 이낙연총리는 긍정어를 반드시 함께 써야 합니다.32 28']"
"이낙연
in twitter",후보,1,"['민주당 대선후보 9월 초 결정이낙연촉박한 일정에 역전카드 있나민주당 대선후보 9월 초 결정 이낙연 촉박한 일정에 역전카드 있나m.businesspost.co.kr149 16 2', '논리는 간단합니다. 양지회와 국민의힘당이 이낙연후보를 원하지 않는다면 다음 대선후보는 후보여야 합니다.11', '나는 이재명도이낙연도 추미애 포함 모든 후보를 다 좋아한다.하지만 최종 후보로 뽑히는 분을 최종으로 좋아할거다.난 민주당 지지자니까.맞죠 .여러분?']"
"이낙연
in twitter",경선,1,"['라스트 어템프트. 차기이낙연대통령 안 되면 우린 역사의 죄인이 됩니다 죽을 때까지 죄 짓는 겁니다. 경선연기해서 대면경선 대선 승리 해야 합니다.', '빨리 이낙연의원이 대선 경선에서 승리해서 당 체제도의원 체제로 빨리 전환되야 민주당도 정상화 될 수 있겠다는 생각이 든다. 계속 송영길 가지고는 감당 불능이다.19323 7', '민주당 대선 경선기획단은 그냥 이재명 선거캠프아니냐? 이 양심도 없는 것들아이낙연캠프에서는 강력히 대처하셔야겠네요. 진짜 민주당 이번 대선 미쳐도 너무 미쳐돌아가네12980']"
"이낙연
in twitter",지지,1,"['영표홍아이낙연지지선언 ㅠㅠ.ㅠ 어제빅쇼 힐링 되었고 영표홍아 여니 지지로 힘이 된다 신발끈 묶고 다시 뛰어 가자을 차기 대통령으로 여.러.분 함께 손잡고 같이 갑시다 127167', '민주당 지지하지 않는다 김대중 노무현 문재인 대통령이낙연지지할 뿐이다 절대 기권하지 않는다 역선택 할 것이다 송영길 감당할 수 있겠냐 독재자 송영길 탄핵하라 17 14', '이재명같은 사람을 맹목적으로 지지하면 괴물이 되지만 문재인이낙연같은 분들을 맹목적으로 지지하면 성군이 된다. 이거슨 진리여160230']"
