word,count
이낙연,1935
대표,543
의원,479
민주당,466
대통령,448
이재명,328
후보,320
경선,274
지지,258
복지,238
여성,220
대선,215
포럼,209
지키다,167
인천,149
국민,128
캠프,127
나라,125
전국,121
열리다,116
뉴스,112
문재인,110
윤석열,108
차기,104
조국,101
총리,100
정책,94
정치,94
여니,92
선언,92
기자,92
선거,82
정부,82
빅쇼,81
공감,78
정세균,77
지도부,75
주자,70
출범,68
응원,68
이기다,66
승리,65
사진,64
다음,64
서울,63
결정,62
준비,60
언론,60
밝히다,59
검찰,58
대한민국,58
지지율,57
올리다,55
후원,55
문재,54
시작,53
지지자,53
보이다,52
출마,50
마음,50
경제,49
비판,49
필요,49
모르다,48
지역,47
총장,47
지사,47
조사,46
연기,45
송영길,45
추미애,45
설정,44
이날,44
일정,43
최성해,43
여론,42
최성,42
만나다,41
노무현,41
감사,41
새끼,41
광역,41
변경,40
말씀,40
등록,40
정치인,40
입장,39
모임,39
홍영표,39
유튜브,38
약속,38
대변인,38
현직,38
최고,38
오영훈,37
조직,37
청년,36
출처,36
재명,35
네이버,35
방문,35
예비,35
위원장,34
당원,34
보도,34
회수,33
인용,33
원칙,33
본선,32
정권,32
선거인단,32
흥행,31
이유,31
방송,31
계좌,31
트윗,31
관련,31
향하다,30
가짜,30
지도자,30
대권,30
장관,30
오후,30
출신,29
사랑,29
대응,28
국무총리,28
나쁘다,28
오전,28
문파,27
한국,27
느끼다,27
친문,27
시민,26
전혜숙,26
발언,26
어렵다,26
기사,26
참석,26
결과,26
김대중,26
처음,26
최선,26
농협,25
알리다,25
태도,25
본격,25
요구,24
보내다,24
책임지다,24
역사,24
힘내다,24
바라다,23
주장,23
공격,23
계승,23
부탁,23
책임,23
당선,22
위원회,22
창립,22
고맙다,22
민주,21
