from,to,depth,documents
"이재명
in twitter","이재명
in twitter",0,"['이재명지사 출마 선언을 하면 후보자격 없음부터 확실하게 해줘라. 원칙을 좋아하는 민주당에서 원칙대로 음주운전 전과자는 후보에서 제외시키는 게 맞지 않냐?2826', '속보이재명 7월 1일 대선 출마 공식 선언6월 30일 예비후보 등록 6월 30일 더불어민주당 예비후보로 등록하며 7월 1일 오전 영상으로 출마 선언661 17', '나는 이재명도 이낙연도 추미애 포함 모든 후보를 다 좋아한다.하지만 최종 후보로 뽑히는 분을 최종으로 좋아할거다.난 민주당 지지자니까.맞죠 .여러분?']"
"이재명
in twitter",이재명,1,"['이재명안찍는건 알아. 누굴 찍겠냐 고?트윗 인용하기난다기호5번이낙연6월 26일복붙동참 나는 이재명을 찍지 않을 것입니다 경기도지사 음주운전 이재명 음주운전전과자 불륜남 도지사 10', '조정식 의원이 말하는 이재명경기지사의 최대 강점민평광 조정식 대표 이재명 지사의 최대 강점은 ? 이재명 조정식 shortsyoutube.com17 26', '이재명이 막판에 가면 문파가 지를 밀어줄거라 상상한다면 기꺼이 롯데월드타워 123층에서 밀어 줄 수 있어 뭔일이 있어도은 안되고 안찍는다는 거 이재명음주운전 국힘당찍는다7495']"
"이재명
in twitter",민주당,1,"['민주당 대선 경선기획단은 그냥이재명선거캠프아니냐? 이 양심도 없는 것들아 이낙연 캠프에서는 강력히 대처하셔야겠네요. 진짜 민주당 이번 대선 미쳐도 너무 미쳐돌아가네12980', '같은편 아니라고 민주당 권리당원 대다수가 이재명우리편으로 생각 안해 정의당 지지자들이 지지 많이 하던데 민주당 망신 시키면서 왜 비비적 대냐고?? 당원들이 싫다잖아.14', '이재명의 유일한 단점은 이제 민주당이 다.이 민주당 똥통을 깨끗이 비우고 똥파리도 박멸할 수 있도록 지지자들이 조직도 계파도 없는의 전국적 조직이 되자 가즈아1518']"
"이재명
in twitter",후보,1,"['문파똥파들이 이재명나오면 기권한다고 하면 뭐 그러려니 하겠다. 그런데 국민의힘 후보를 찍겠단다. 거기다가 국민의힘 후보 선거운동까지 하겠단다. 이놈들의 정체는 뭐냐30 41', '이재명지사 출마 선언을 하면 후보자격 없음부터 확실하게 해줘라. 원칙을 좋아하는 민주당에서 원칙대로 음주운전 전과자는 후보에서 제외시키는 게 맞지 않냐?2826', '속보이재명 7월 1일 대선 출마 공식 선언6월 30일 예비후보 등록 6월 30일 더불어민주당 예비후보로 등록하며 7월 1일 오전 영상으로 출마 선언661 17']"
"이재명
in twitter",경선,1,"['경선 일자가 확정되자 이재명지지자들은 벌써이 후보 확정된거처럼 민주당 경선 1위 누가 되던 지지하라고 강요하네요? 국힘당 찍을레?찍어야징 이건데 고작 저거 밖에 없나?16 13', '이의 있습니다 이재명은 음주운전 전과자로 2021년 4월에 개정된 민주당 당규10호 제6조8항5호에 의거 경선참여부적격 이재명음주운전경선참여안돼 폰떼기를막아주세요50 45', '이의 있습니다 이재명은 음주운전 전과자로 2021년 4월에 개정된 민주당 당규10호 제6조8항5호에 의거 경선참여부적격 이재명음주운전경선참여안돼 폰떼기를막아주세요7260']"
"이재명
in twitter",대선,1,"['민주당 대선 후보 중이재명만 윤석렬 대선 출정식 메시지에 침묵.상대 좋은 날에 비판 자제하는 예의와 진중함 배려일까? 검찰에 목덜미 잡힌 자의 비굴함일까? 아는 사람은 안다.25', '민주당 대선 경선기획단은 그냥이재명선거캠프아니냐? 이 양심도 없는 것들아 이낙연 캠프에서는 강력히 대처하셔야겠네요. 진짜 민주당 이번 대선 미쳐도 너무 미쳐돌아가네12980', '민주당 대선 경선기획단 이니 블루가 아닌 오렌쥐 찢개들 디 들어가 있네 이 정도면이재명캠프 아니냐 전과자들이 대선 기획 한다고 아주 범죄당이라 자랑하냐30 19']"
"이재명
in twitter",이낙연,1,"['내가 설문조사 해 본 여러 국민들정당 초월 은 민주당에서 이낙연 나오면 이낙연 찍을 거고이재명나오면 국힘당에서 나오는 아무나 찍을 거라고 함. 이게 실제 여론임18 447505', '이재명에 날 세운 이낙연 검찰개혁 의지 밝혀달라이재명에 날 세운 이낙연 검찰개혁 의지 밝혀달라 오형주 기자 정치hankyung.com3429', '민주당 당원님들 5번 이낙연외웁시다 민주당 예비경선 추미애 1번이재명3번 정세균 4번 이낙연 5번 출처 이데일리 네이버 뉴스http3927']"
"이재명
in twitter",대통령,1,"['경기도지사 음주운전 불륜남 도지사국격이 있지 일반인 평균에도 못 미치는 전과4범이 대통령 후보라니?? 전과자 대통령 mb를 안 겪어본 것도 아니고 12690', '경기도지사 음주운전 불륜남 도지사국격이 있지 일반인 평균에도 못 미치는 전과4범이 대통령 후보라니?? 전과자 대통령 mb를 안 겪어본 것도 아니고', '추미애 좋다. 능력 있다. 대통령감 맞다. 그런데 대통령 자리는 하나라서. 이런 행복한 고민을 하는 국민이 된 날이 올 줄이야. 행복하다.3464']"
"이재명
in twitter",국민,1,"['문파똥파들이 이재명나오면 기권한다고 하면 뭐 그러려니 하겠다. 그런데 국민의힘 후보를 찍겠단다. 거기다가 국민의힘 후보 선거운동까지 하겠단다. 이놈들의 정체는 뭐냐30 41', '이뷰 오락가락 하긴 해도. 홍영표의원님이 이낙연 지지선언을 하시니 우리 여니한테 안착하시겠다고 그나저나 미친이재명지지자들비판하는 국민들은 다 고발하고 다닐래? 악랄한 것들22 18', '내 경제수준이 80.001 이라도 대한민국 국민중 상위 20 안에 속한다면 재난지원금 필요 없는 윤택한 삶을 살고 있는 건데 그거 못받아서 화날일이 없죠 바보같은 이재명92139']"
"이재명
in twitter",윤석열,1,"['윤석열은 지지율 자체가 뻥 이라서 굳이 결과 안 봐도 뻔한데 궁금 하실 거 같아서 어쩔 수 없이 올려드림 6월 4주차 윤석열 떡 치는 부정 수치 80 이재명하고 별반 다를 게 없음', '우파도이재명을 좋아하고 좌파도 윤석열을 좋아하는 이런 나라는 tk의 끼리끼리 우리끼리 탐욕에서 586의 끼리끼리 우리끼리 탐욕에서 국민을 지켜줄 수 있다. 투표 1순위는 윤석열과', '김어준 윤석열이 아버지에게 인정받으려는 욕구가 강하다는데 아들이라면 패륜아들 아닌 다. 김어준은 패륜범을 좋아하네.이재명패륜동생 윤석열 패륜 아들 김건희 패륜 동거4160']"
