word,count
이재명,1543
민주당,441
후보,323
경선,306
대선,271
이낙연,258
대통령,216
국민,197
윤석열,192
지사,184
재명,141
송영길,133
음주운전,126
의원,121
경기도,119
나라,117
지지,109
검찰,108
대표,100
정치,99
추미애,91
선거,88
비판,87
자격,84
정부,80
대한민국,79
김부선,79
기본소득,77
새끼,77
지지자,75
지원금,75
출마,74
조국,74
뉴스,73
정책,72
재난,71
개혁,71
쌍욕,69
연기,68
모르다,67
경기,65
기자,63
경기도지사,63
선언,62
정세균,61
원칙,60
이유,60
청와대,56
여부,56
보이다,56
지지율,56
언론,55
문재인,52
지급,51
복지,51
홍남기,51
시작,50
대권,49
주자,48
교수,47
당규,47
장관,47
트윗,47
김어준,46
인용,46
주장,46
여성,45
파일,43
참여,43
소득,42
코로나,42
윤리,41
캠프,41
다음,41
밝히다,41
지키다,40
전과자,39
남기다,39
홍준표,38
필요,37
징계,37
관련,36
사진,35
도지사,35
따르다,34
당헌,34
기본,34
공개,34
이해찬,33
서울,33
어록,33
이명박,32
세금,32
결정,32
본인,31
경제,30
욕설,30
인간,30
보내다,30
정신,30
가능,30
국가,29
미치다,29
말씀,29
운동,29
상황,28
정치인,28
거짓말,28
어렵다,28
올리다,28
정권,27
민주,27
반대,27
이기다,27
당원,27
투표,26
수사,26
가짜,26
이야기,26
준비,26
지원,25
다니다,25
변호사,25
시장,25
요구,25
수준,24
얘기,24
형수,24
열리다,24
설정,23
공격,23
공정,23
똑같다,23
결과,23
총리,23
알리다,23
반문,22
변경,22
바라다,22
어쩌다,20
개인,20
이날,20
페이스북,20
