word,count
후보,253
경선,248
뉴스,189
총리,185
대선,175
의원,155
단일,153
대통령,138
국민,113
기자,113
대표,108
국무총리,107
연기,97
재난,96
지원금,94
경제,91
결정,88
주자,77
지도부,75
나라,75
출처,72
선언,70
지사,68
주장,68
사건,65
정치,61
수용,59
응원,59
출마,57
지지,55
지급,54
정세,52
인용,51
대권,49
트윗,49
균형,49
균전,48
지지율,47
사다리,47
정권,46
예비,46
해킹,46
국정원,46
발대식,46
연루,44
당무,43
한편,43
논의,43
체포,42
일정,42
여권,42
이날,41
본부,41
정책,39
당헌,39
장관,38
원칙,38
등록,36
제거,36
창출,35
비판,35
전직,35
재명,34
보편,33
입장,32
경기,32
세균,32
오후,32
반발,32
반대,32
정부,31
다음,30
당규,30
소득,29
캠프,29
연대,29
발표,27
시작,26
방문,26
선거,26
지원,25
승리,25
필요,24
가능,24
결과,22
