from,to,depth,documents
"정세균
in twitter","정세균
in twitter",0,"['이낙연v정세균 이낙연v이재명 이낙연v최문순 이걸 띄울려고 하는 게 아니라 부부젤라로 띄운다고 하니 정치가 머임', '이재명정세균이낙연 김두관 추미애 등 민주당 경선 후보군은 다채롭다. 그에 국민의힘에선 그 당에 있지도 않은 윤석렬 밖에 안 보인다. 정권교체 했으면 됐지 뭔 또 정권교체인가?', '이재명지사가 현재 지지율 1위인 것이 다행이다 지지율이 낮아 센발언을 하면 어찌되는지 많은 후보들이 보여주고 있지 않은 가? 박용진.정세균.이광재.이낙연 님들 이야기하는 거요']"
"정세균
in twitter",정세균,1,"['6월 20일 균형사다리 전북본부 발대식 동영상 짤.우리가 정세균이다 전북이여 일어나라 2천명 현장 감동 응원. 강한대한민국 경제대통령 정세균04113 조회수', '정세균소식 210628 후보 연대? 지금은 일러결선투표 자연스럽게 가능 http 여권 심장부서 세몰이.광주 전남 지지조직 출범페이스북 페이지tv 정세균', '단일화 미풍에 그치나이낙연 정세균 이광재 연대 바람직 https75출처 뉴스1 단일화 미풍에 그치나이낙연 정세균 이광재 연대 바람직news1.kr']"
"정세균
in twitter",이낙연,1,"['좋아요 이낙연 측 지도부 독단적 결정흥행없는 경선 책임져야 출처 뉴시스 네이버 뉴스http9월초 경선에 이낙연 정세균계 반발당무위 카드 만지작 출처 뉴시스 네이버 뉴스20', '이낙연v정세균 이낙연v이재명 이낙연v최문순 이걸 띄울려고 하는 게 아니라 부부젤라로 띄운다고 하니 정치가 머임', '단일화 미풍에 그치나이낙연 정세균 이광재 연대 바람직 https75출처 뉴스1 단일화 미풍에 그치나이낙연 정세균 이광재 연대 바람직news1.kr']"
"정세균
in twitter",이재명,1,"['이재명의 정치역정을 돌아보면 정동영이 이재명의 정치적 친아버지라면정세균은 이재명의 정치적 양아버지 격이었는데 이 웬일로 맞는 소리 하나 했다. 혹시나했는데 결국 역시나였구나.', '정세균페북 가보니 억지부리는 이재명 지지자들 웃겨 저거 다 김어준최배근 억지 주장에 세뇌되어 말도 안 되는 주장을 우기는 중임 재난지원금에 공정을 드리미는 사람도 보이고 .2116', '2021.06.25 김부선 계폭전 마지막 행적 김부선정세균향해 이재명 메일 보냈었는데 보고 받으셨나? 비서실장에게 보고 받은 적이 있으신가 오랫동안 궁금했다 박제https10']"
"정세균
in twitter",민주당,1,"['정세균도. 광팔기 끝났고. 추미애는 이재명 페이스메이커고. 뭐여? 지금 이판세. 민주당이 이자점과 순장조가 된겨? 이자점 죽는데 민주당이 같이 죽는겨? 왜??223 1', '1.김대중대통령 2.노무현 대통령 3.문재인데통령을 이을 4.정세균대통령 민주당 대선 경선후보 기호4번 기호4번후보를 응원 합니다 민주당', '이재명정세균이낙연 김두관 추미애 등 민주당 경선 후보군은 다채롭다. 그에 국민의힘에선 그 당에 있지도 않은 윤석렬 밖에 안 보인다. 정권교체 했으면 됐지 뭔 또 정권교체인가?']"
"정세균
in twitter",후보,1,"['이낙연정세균씨 당신들이 꺽어야 할 후보가 이재명 후보뿐인줄 아는데 곧 추미애 후보가 당신들을 넘어설거라는 건 생각도 못하나요? 당신들은 그래서 안되는 겁니다.', '나의 대선후보 순위 1. 추미애 2. 최강욱 3. 이낙연 4.정세균5. 이재명 6. 최문순 7. 김두관 물론 후보 선출까지 충분한 지켜보고 판단할 것임.', '이재명 이낙연정세균박용진 추미애 이광재 최문순트윗 인용하기 연합뉴스6월 25일 긴급 대선후보 경선 예정대로9월초 후보 선출http1001']"
"정세균
in twitter",경선,1,"['좋아요 이낙연 측 지도부 독단적 결정흥행없는 경선 책임져야 출처 뉴시스 네이버 뉴스http9월초 경선에 이낙연 정세균계 반발당무위 카드 만지작 출처 뉴시스 네이버 뉴스20', '정세균의 배신으로 경선 연기는 완전히 나가리 됨. 미련 버리고 경선에서 이길 생각만 하는 걸로.1632', '만장일치네 이낙연정세균은 그냥 출마 포기하고 후일 도모 하는 것이 트윗 인용하기mbc news mbc뉴스6월 25일속보 민주 경선 일정 180일 전 선출 당헌대로.만장일치 결정']"
"정세균
in twitter",이광재,1,"['정세균 이광재 단일화 논의 시동. 에휴. 관심없다 다만 삼성장학생 이광재 배후에서 누가 경제개혁주의자 이재명 낙마를 주도하는지 예의주시하며 관심갖을뿐https02550198', '단일화 미풍에 그치나이낙연 정세균 이광재 연대 바람직 https75출처 뉴스1 단일화 미풍에 그치나이낙연 정세균 이광재 연대 바람직news1.kr', '속보정세균 이광재 7월 5일까지 후보 단일화 sbs뉴스속보 정세균 이광재 7월 5일까지 후보 단일화 sbs 뉴스news.sbs.co.kr']"
"정세균
in twitter",뉴스,1,"['좋아요 이낙연 측 지도부 독단적 결정흥행없는 경선 책임져야 출처 뉴시스 네이버 뉴스http9월초 경선에 이낙연 정세균계 반발당무위 카드 만지작 출처 뉴시스 네이버 뉴스20', '속보 사모펀드 의혹 조국 조카 조범동 징역 4년 확정 sbs뉴스속보 사모펀드 의혹 조국 조카 조범동 징역 4년 확정 sbs 뉴스news.sbs.co.kr', '속보정세균 이광재 7월 5일까지 후보 단일화 sbs뉴스속보 정세균 이광재 7월 5일까지 후보 단일화 sbs 뉴스news.sbs.co.kr']"
"정세균
in twitter",총리,1,"['나오늘진로상담실갔다가.쌤한테 우리나라의 국무총리가 누구지? 나정세균총리.아닌가요 총리의 선택적복지에 대해 어떻게 생각하니? 나저.그런 걸갑자기물어보셔도전정치에 관심이 없는 걸요', '썩을 놈의 새끼. 너정세균는 총리 재임 시절에 총리실대테러 기관에서 나의 휴대폰을 해킹한 악랄한 범죄자다. 이번 주에 너를 고소한다.', '광주 여기저기 곳곳에정세균전 총리님 환영 고맙습니다 광주 파이팅 광주 6월 27일일 오후 4시 균형사다리 광주 전남본부 발대식김대중컨벤션센터 강한대한민국 경제대통령 정세균 우정포럼']"
