word,count
정세균,988
이낙연,421
이재명,369
민주당,258
후보,253
경선,248
이광재,232
뉴스,189
총리,185
대선,175
의원,155
단일,153
추미애,147
대통령,138
기자,113
국민,113
대표,108
국무총리,107
연기,97
재난,96
지원금,94
경제,91
결정,88
주자,77
지도부,75
나라,75
광주,74
출처,72
선언,70
지사,68
주장,68
네이버,67
대한민국,65
사건,65
서울,62
정치,61
윤석열,61
수용,59
응원,59
출마,57
지지,55
지급,54
정세,52
인용,51
균형,49
트윗,49
대권,49
균전,48
송영길,48
지지율,47
사다리,47
국정원,46
예비,46
발대식,46
해킹,46
정권,46
빨갛다,45
박용진,45
전남,45
마티즈,45
강하다,44
황교안,44
조선일보,44
연루,44
논의,43
당무,43
한편,43
체포,42
여권,42
일정,42
본부,41
이날,41
보이다,41
당헌,39
정책,39
장관,38
원칙,38
제거,36
등록,36
창출,35
비판,35
전직,35
재명,34
최문순,34
보편,33
세균,32
오후,32
경기,32
반대,32
반발,32
입장,32
양승조,32
정부,31
밝히다,31
페이스북,31
다음,30
당규,30
소득,29
화이팅,29
연대,29
캠프,29
코로나,27
발표,27
선거,26
방문,26
시작,26
뉴시스,26
보내다,26
지원,25
승리,25
연합뉴스,25
가능,24
필요,24
이기다,24
결과,22
김두관,21
