,neg_words,count,documents
0,어렵다,42,"['보수 정치평론가 장성철 윤석열x파일입수방어 어렵다 판단 출처 이효진의 . 블로그 김무성 따까리라 역시http12', '언론이 덮으면 다 되는데 뭘. 야권 인사 윤석열x파일입수.방어 어렵겠다https04721gif', '야권 인사 윤석열x파일입수방어 어렵겠다 출처 연합뉴스 네이버 뉴스http']"
1,힘들다,37,"['얼마 전윤석열전 검찰총장과 처 장모의 의혹이 정리된 일부의 문서화된 파일을 입수했다. 윤 전 총장에게 많은 기대를 걸었지만 국민의 선택을 받는 일은 무척 힘들겠구나.고심 끝에 내린 결론. 이준석 비단주머니도 소용 없어.몰랐더라면 좋았을 파일장성철 윤석열 파일 입수.국민 선택받기 무척 힘들 것서울 뉴시스 김지현 기자 정치평론가 장성철 공감과논쟁 정책센터 소장은 19일 페이스북을 통해 얼마 전 윤석열 전 검찰총장과 처 장모의 의혹이 정리된 일부의 문서화된 파일을 입수했다 며 윤 전 총장에게 많은 기대를 걸었지만 이런 의혹을 받는 분이 국민의 선택을 받는 일은 무척 힘들겠구나 라는 게 고심 끝에 내린 결론이라고 밝혔다. 장 소장은 news.v.daum.net17313315', '윤석열x파일 입수 윤 전 총장 명분 한 순간에 날라갈 것 다음 뉴스https04721언레기들이 띄어준 허상이 이제 제대로 알려지나요??? 그리고 공수처는소환 조사 안하나요???윤석열 x파일 입수 윤 전 총장 명분 한 순간에 날라갈 것한 정치 평론가가 윤석열 전 검찰총장의 측근을 둘러싼 의혹이 정리된 윤석열 파일을 입수했다 며 윤석열 전 검찰총장이 국민의 선택을 받는 일은 무척 힘들겠다는 글을 남겼다. 정치 평론가인 장성철 공감과선택 정책센터 소장은 19일 자신의 페이스북 포스팅을 통해 윤 전 총장과 처 장모의 의혹이 정리된 일부의 문서화된 파일을 입수했다 며 의혹이 사실news.v.daum.net', '이재명 나도 윤석열x파일 봤다.절대 피할 수 없어 이재명을 친문 똥파리들로 부터 구하기 위해 얼마나 많은 사람들이 고생을 했던가? 자신이 그런 일을 겪고서도 이런 말을 하는 거야? 너무나 뻔한 정치공작인데. 힘든 시절 잊으면 다시 힘들어져이재명 나도 윤석열 x파일 봤다.절대 피할 수 없어 이데일리 박지혜 기자 이재명 경기지사가 차기 대선주자로서 경쟁 구도에 놓인 윤석열 전 검찰총장의 이른바 x파일 에 대해 저도 요약된 것 비슷한 것을 보긴 봤다 고 밝혔다. 이 지사는 22일 오전 서울 여의도에서 열린 개 식용 및 반려동물 매매 관련 제도 개선 국회 토론회 에 참석한 뒤 이같이 말했다. 그는 윤 전 총장을 향해 정치 세계에 조금news.v.daum.net17 16']"
2,불법,37,"['ytn 시사캐리커쳐 아트만두의 인간대백과사전 극한출마 뉴있저 윤석열x파일 커지는 파문.불법 사찰httpskey2021062 219280279 1 5s mcd0101 return', '윤석열여당이x파일작성했다면 불법 사찰 미친 놈 검찰총장을 했던 놈이 증거도 없이 가정법을 전제로 불법 사찰 주장? 윤석렬 넘 유치해 못 봐주겠다.15 11', '윤석열x파일 불법 사찰 허위사실 유포 수사로 번지나?https04488?x trkmt소설 쓰는 기레기.그래도 밥은 먹고 사냐?']"
3,위기,19,"['잘 나가던윤석열첫 위기 서 x파일 거론 대변인 사퇴https00900048 11751?sid100 유승민 하태경 이준석이 입이 찢어지겠구만.', '정치선언 앞둔윤석열의 위기.대변인 사퇴 도 x파일 공격 다음 뉴스https19325?x trkmt 꼴깝떨더니 지대로 걸렸나베. 당연한 결과 지. 정치선언 앞둔 윤석열의 위기.대변인 사퇴 도 x파일 공격서울 뉴스1 박기범 기자 야권 유력 대권주자인 윤석열 전 검찰총장이 정치참여 선언을 앞두고 위기를 맞이한 모습이다. 전언정치 논란을 극복하기 위해 임명한 대변인은 혼선만 더한 채 사퇴했고 여권에서 거론하기 시작한 이른바 윤석열x파일을 두고 야권에서도 비판의 목소리가 나왔다. 국민의힘 주요 인사들의 견제도 계속되는 가운데 잠재적 경쟁자news.v.daum.net', '윤돼지 너도 대갈통 용량이 28 6 이잖아 3수 까지 하면 대충 붙는데 9수는 정말 대갈통 에 똥만 들었던지 최대 용량이 28 6 이라니까 대변인 사퇴에x파일까지. 정치참여 선언 앞둔윤석열 최대 위기 다음 뉴스 대변인 사퇴에 x파일까지. 정치참여 선언 앞둔 윤석열 최대 위기윤석열 전 검찰총장이 정치참여 선언 전 위기를 맞은 모습이다.사진 뉴스1 야권 유력 대권주자인 윤석열 전 검찰총장이 정치참여 선언을 앞두고 위기를 맞이한 모습이다. 전언정치 논란을 극복하기 위해 임명한 대변인은 혼선만 더한 채 사퇴했고 여권에서 거론하기 시작한 이른바 윤석열x파일을 두고 야권에서도 비판의 목소리가 나왔다. 국민의힘 주요 인사들news.v.daum.net']"
4,두렵다,15,"['황출새 추미애 꿩잡는 매가 두렵다.윤석열잡을 사람은 나x파일은 없어.황출새 추미애 꿩잡는 매가 두렵다. 윤석열 잡을 사람은 나 x파일은 없어.m.ytn.co.kr', '이준석윤석열x파일 파헤쳐 보기가 두려운 거야 기레기들24', '윤석열x파일운운하는 걸 보니이 두렵긴 두려운가보다.']"
5,충격,14,"['어제 내가 본윤석열x파일에서 가장 충격적인 부분은 이준석과의 관계. 의외로 나쁘지는 않다고 한다', '윤석열x 파일난 떳떳해 충격 추미애 검찰당 후보 곧 허상 보게 된다https출처윤석열 x 파일 난 떳떳해 충격 추미애 검찰당 후보 곧 허상 보게 된다 .뉴스썰입니다.검찰개혁사법개혁언론개혁을 적극 응원합니다.승리하는 그날까지.늘 함께 하겠습니다.자율적후원 계좌 기업 0 7818510801015 현용문의메일 fire1199958gmail.comyoutube.com', '윤석열x 파일난 떳떳해 충격 추미애 검찰당 후보 곧 허상 보게 된다 검찰개혁사법개혁언론개혁을 적극 응원합니다.https출처윤석열 x 파일 난 떳떳해 충격 추미애 검찰당 후보 곧 허상 보게 된다 .뉴스썰입니다.검찰개혁사법개혁언론개혁을 적극 응원합니다.승리하는 그날까지.늘 함께 하겠습니다.자율적후원 계좌 기업 0 7818510801015 현용문의메일 fire1199958gmail.comyoutube.com']"
6,괴롭다,12,"['장성철 공감과논쟁센터 소장이 19일윤석열전 검찰총장과 처가 의혹이 정리된 이른바 x파일 을 봤다 며 국민 선택 받는 일이 무척 힘들겠다 고 말했다.장성철 윤석열 x파일 보니 방어 어렵다.일찍 포기하는 게쿠키뉴스 정진용 기자 장성철 공감과논쟁센터 소장이 19일 윤석열 전 검찰총장과 처가 의혹이 정리된 이른바 윤석열 x파일 을 봤다 며 국민 선택 받는 일이 무척 힘들겠다 고 말했다. 장 소장은 이날 자신의 페이스북에 쓰기가 무척 괴로운 글 이라며 얼마 전 윤 총장과 처 장모 의혹이 정리된 일부의 문서화된 파일을 입수했다 고 말문을 열었다. 장news.v.daum.net', '윤석열끝났다 ㅡㅡ 안녕 ㅡㅡ장성철 윤석열 x파일 보니 방어 어렵다.일찍 포기하는 게쿠키뉴스 정진용 기자 장성철 공감과논쟁센터 소장이 19일 윤석열 전 검찰총장과 처가 의혹이 정리된 이른바 윤석열 x파일 을 봤다 며 국민 선택 받는 일이 무척 힘들겠다 고 말했다. 장 소장은 이날 자신의 페이스북에 쓰기가 무척 괴로운 글 이라며 얼마 전 윤 총장과 처 장모 의혹이 정리된 일부의 문서화된 파일을 입수했다 고 말문을 열었다. 장news.v.daum.net', '야권 인사 윤석열x파일입수방어 어렵겠다http3001?inputtw 장 소장은 이날 자신의 sns에 쓰기에 무척 괴로운 글이라며 얼마 전 윤 전 총장과 처 장모의 의혹이 정리된 일부의 문서화된 파일을 입수했다 고 적었다.야권 인사 윤석열 x파일 입수방어 어렵겠다 연합뉴스 서울 연합뉴스 류미나 기자 보수진영 정치평론가인 장성철 공감과 논쟁 정책센터 소장은 19일 윤석열 전 검찰총장과 처가 관련 의혹이 정.yna.co.kr']"
7,비판,12,"['정치선언 앞둔윤석열의 위기.대변인 사퇴 도 x파일 공격 다음 뉴스https19325?x trkmt 꼴깝떨더니 지대로 걸렸나베. 당연한 결과 지. 정치선언 앞둔 윤석열의 위기.대변인 사퇴 도 x파일 공격서울 뉴스1 박기범 기자 야권 유력 대권주자인 윤석열 전 검찰총장이 정치참여 선언을 앞두고 위기를 맞이한 모습이다. 전언정치 논란을 극복하기 위해 임명한 대변인은 혼선만 더한 채 사퇴했고 여권에서 거론하기 시작한 이른바 윤석열x파일을 두고 야권에서도 비판의 목소리가 나왔다. 국민의힘 주요 인사들의 견제도 계속되는 가운데 잠재적 경쟁자news.v.daum.net', '윤돼지 너도 대갈통 용량이 28 6 이잖아 3수 까지 하면 대충 붙는데 9수는 정말 대갈통 에 똥만 들었던지 최대 용량이 28 6 이라니까 대변인 사퇴에x파일까지. 정치참여 선언 앞둔윤석열 최대 위기 다음 뉴스 대변인 사퇴에 x파일까지. 정치참여 선언 앞둔 윤석열 최대 위기윤석열 전 검찰총장이 정치참여 선언 전 위기를 맞은 모습이다.사진 뉴스1 야권 유력 대권주자인 윤석열 전 검찰총장이 정치참여 선언을 앞두고 위기를 맞이한 모습이다. 전언정치 논란을 극복하기 위해 임명한 대변인은 혼선만 더한 채 사퇴했고 여권에서 거론하기 시작한 이른바 윤석열x파일을 두고 야권에서도 비판의 목소리가 나왔다. 국민의힘 주요 인사들news.v.daum.net', '무슨위기? 기사 조까치 쓴닺 정치선언 앞둔 윤석열의 위기.대변인 사퇴 도 x파일 공격서울 뉴스1 박기범 기자 야권 유력 대권주자인 윤석열 전 검찰총장이 정치참여 선언을 앞두고 위기를 맞이한 모습이다. 전언정치 논란을 극복하기 위해 임명한 대변인은 혼선만 더한 채 사퇴했고 여권에서 거론하기 시작한 이른바 윤석열x파일을 두고 야권에서도 비판의 목소리가 나왔다. 국민의힘 주요 인사들의 견제도 계속되는 가운데 잠재적 경쟁자news.v.daum.net']"
8,포기,12,"['윤석열은 대권 도전 포기해야 출처.대권 날로 먹으려 한다?x파일은 출마 봉쇄 여야 협공? 김무성 배후설?httpew.html?idxno1408', '장성철 공감과논쟁센터 소장이 19일윤석열전 검찰총장과 처가 의혹이 정리된 이른바 x파일 을 봤다 며 국민 선택 받는 일이 무척 힘들겠다 고 말했다.장성철 윤석열 x파일 보니 방어 어렵다.일찍 포기하는 게쿠키뉴스 정진용 기자 장성철 공감과논쟁센터 소장이 19일 윤석열 전 검찰총장과 처가 의혹이 정리된 이른바 윤석열 x파일 을 봤다 며 국민 선택 받는 일이 무척 힘들겠다 고 말했다. 장 소장은 이날 자신의 페이스북에 쓰기가 무척 괴로운 글 이라며 얼마 전 윤 총장과 처 장모 의혹이 정리된 일부의 문서화된 파일을 입수했다 고 말문을 열었다. 장news.v.daum.net', '윤석열끝났다 ㅡㅡ 안녕 ㅡㅡ장성철 윤석열 x파일 보니 방어 어렵다.일찍 포기하는 게쿠키뉴스 정진용 기자 장성철 공감과논쟁센터 소장이 19일 윤석열 전 검찰총장과 처가 의혹이 정리된 이른바 윤석열 x파일 을 봤다 며 국민 선택 받는 일이 무척 힘들겠다 고 말했다. 장 소장은 이날 자신의 페이스북에 쓰기가 무척 괴로운 글 이라며 얼마 전 윤 총장과 처 장모 의혹이 정리된 일부의 문서화된 파일을 입수했다 고 말문을 열었다. 장news.v.daum.net']"
9,범죄,10,"['윤석열은 이미 드러난 범죄 혐의로도 교도소에 말뚝 박아야겠던데 부록으로x파일까지 꺼낼 필요가 있을까? 아아아무튼 교도소에서 한동훈과 짱먹으면서 만수무강 해라.17 26', '윤석열x파일이라고 기래기들이 네이밍하고 있다. 이건 x파일이 아니고 윤석열 범죄리스트가 맞다고 본다.83116', '야권 인사 윤석열x파일입수방어 어렵겠다http3001?inputtw 보수 정치평론가 장성철 구체적 내용엔 함구 어떤 내용일까스스로 밝혀라 전직 검찰총장의 모든 범죄행위는 단죄되어야 한다 공수처 뭐하나수사하라야권 인사 윤석열 x파일 입수방어 어렵겠다 연합뉴스 서울 연합뉴스 류미나 기자 보수진영 정치평론가인 장성철 공감과 논쟁 정책센터 소장은 19일 윤석열 전 검찰총장과 처가 관련 의혹이 정.yna.co.kr']"
