from,to,depth,documents
"X-File
in xfile_twitter","X-File
in xfile_twitter",0,"['실체도 근거도 없는 걸 뭘. 윤석열 x파일단독 x파일에 낭비할 시간 없다 윤석열 반격 준비완료윤 전 총장 대선 출마 선언을 계기로 정면 돌파를 시도한다.mnews.joins.com', '송영길 난윤석열x파일없어 야당 내부서 정리했을 것 윤석열 x파일 논란에 송영길 대표가 꺼낸 의미심장한 말 아마 검찰총장 인사 검증 과정 중 야당 내에서 vop.co.kr24 33', '대변인 손절에 x파일 돌출 링 오르기 전부터 겹악재https20029001?inputtw윤석열전 검찰총장의 대권 행보가 링 위에 오르기 전부터 삐걱대는 형국입니다.5010']"
"X-File
in xfile_twitter",윤석열,1,"['정국 최대 관심사인 윤석열x파일 은 정말 존재하나정국 최대 관심사인 윤석열 x파일 은 정말 존재하나 윤석열 x파일? 있다면 벌써 보도됐을 것 monthly.chosun.com', '실체도 근거도 없는 걸 뭘. 윤석열 x파일단독 x파일에 낭비할 시간 없다 윤석열 반격 준비완료윤 전 총장 대선 출마 선언을 계기로 정면 돌파를 시도한다.mnews.joins.com', '송영길 난윤석열x파일없어 야당 내부서 정리했을 것 윤석열 x파일 논란에 송영길 대표가 꺼낸 의미심장한 말 아마 검찰총장 인사 검증 과정 중 야당 내에서 vop.co.kr24 33']"
"X-File
in xfile_twitter",파일,1,"['정국 최대 관심사인 윤석열x파일 은 정말 존재하나정국 최대 관심사인 윤석열 x파일 은 정말 존재하나 윤석열 x파일? 있다면 벌써 보도됐을 것 monthly.chosun.com', '이재명은윤석열x파일에 대해서 또 입처닥하겠지? 왜냐고? 주딩이 열었다간 이재명이 등장할 수 있거든?과 이재명은 암흑의 동지 같은 관계잖아? 윤석열x파일 이재명x파일1718', '윤석열x파일로 한 방에 훅 가는거 보면 우리 재명이 빠들은 무슨 생각이 드나? 아싸 지지율 1등 제꼈다? 지랄. 니 파일은 xxx라지파일이잖아. .6072']"
"X-File
in xfile_twitter",총장,1,"['이수진.x파일논란에 대한윤석열 검찰총장의 대응이 전형적인 윤총장 검찰스럽습니다. 첫마디로 정치공작 불법 사찰 운.https출처', '실체도 근거도 없는 걸 뭘. 윤석열 x파일단독 x파일에 낭비할 시간 없다 윤석열 반격 준비완료윤 전 총장 대선 출마 선언을 계기로 정면 돌파를 시도한다.mnews.joins.com', '송영길 난윤석열x파일없어 야당 내부서 정리했을 것 윤석열 x파일 논란에 송영길 대표가 꺼낸 의미심장한 말 아마 검찰총장 인사 검증 과정 중 야당 내에서 vop.co.kr24 33']"
"X-File
in xfile_twitter",정치,1,"['최고위 발언윤석열x파일논란 공작정치 신호탄안철수 윤석열 x파일 논란 공작정치 신호탄 국민의당 최고위원회youtube.com121 2213 2', '국힘 정치 평론가x파일에 드러난윤석열 처 장모 셋 합쳐 20 여 건 뒤가 뭐하니까 이랬다 저랬다 하루를 못 견디고 어찌 경거망동 조변석개 하듯 조중동 기더기들 사주들 어떻게 할까', '김재원 송영길 윤석열x 파일 공개해야허위면 형사책임 출처 이데일리 네이버 뉴스http앞으로 써먹을 일이 많은데 누가 어리석게도 누가 지금x파일을 공개하겠는가헛 정치했네요']"
"X-File
in xfile_twitter",검찰,1,"['이수진.x파일논란에 대한윤석열 검찰총장의 대응이 전형적인 윤총장 검찰스럽습니다. 첫마디로 정치공작 불법 사찰 운.https출처', '송영길 난윤석열x파일없어 야당 내부서 정리했을 것 윤석열 x파일 논란에 송영길 대표가 꺼낸 의미심장한 말 아마 검찰총장 인사 검증 과정 중 야당 내에서 vop.co.kr24 33', '대변인 손절에 x파일 돌출 링 오르기 전부터 겹악재https20029001?inputtw윤석열전 검찰총장의 대권 행보가 링 위에 오르기 전부터 삐걱대는 형국입니다.5010']"
"X-File
in xfile_twitter",의혹,1,"['윤석열x파일 폭풍전야.야권 인사 문건은 2개 조국 의혹 보다 더 심각 검찰이 조국상대로 조작한 의혹보다 무척 더 심각 제목은 이렇게 적어야지 기레기야206267', '두 가지 버전 있다 윤석열x파일에 뭐가 있길래https210549001?inputtw전 검찰총장 관련 의혹을 정리한 것이라는 이른바 이 정치권을 들쑤시고 있습니다.18', '윤석열x파일? 없으면 없다고 하라 누가 작성했다 고? 조국장관의 터무니없는 음해 의혹문건은 누가 만들었는지부터 밝혀라 없는죄도 만들어냈던의 검찰 아니던가?']"
"X-File
in xfile_twitter",장성철,1,"['장성철 x파일 파쇄하겠다 하나는 정부기관 하나는 여권 https2315 26001?inputtw윤석열 논란을 일으킨 장성철씨가 자신이 갖고 있는을 파쇄하겠다고 밝혔습니다.14', '김무성 배후설 일축 장성철 x파일입수 나와 무관https20062 3001?inputtw국민의힘 김무성 전 의원은 이른바 윤석열 의 배후설에 대해 자신과는 무관하다고 밝혔습니다.', '윤석열x파일이라고 누가 시작을 했지?? 쯧쯧쯧 장성철이 시작하고 국짐에서 판 키우고 그걸 공개하라고 하면 누가 공개해야 하는 거야? 대답이 너무 뻔하지 않아? 장 성 철75204']"
"X-File
in xfile_twitter",국민,1,"['윤석열의 악재는 누구에게 호재인가 윤석열 x파일 국민의힘 대권주자http곽우신 기자이슈 국민의힘 지킨다 태세지만. 다른 야권 주자들 검증의 링 오르라ohmynews.com', '정치신세계 생방송 많이 와주세요윤석열x파일논란 은근히 신나하는 국민의힘?https출처윤석열 x파일 논란 은근히 신나하는 국민의힘?youtube.com6070', '국민의짐과 조중동이윤석열x파일을 던지는 이유는 하나. 국민의힘 부동산 전수 조사 거부 이준석 병역 비리 이슈 제거용 인거죠.']"
"X-File
in xfile_twitter",뉴스,1,"['김재원 아군에 수류탄 던진 장성철 윤석열x파일 까보여라 은 답을 출처 뉴스1 네이버 뉴스http', '김재원 송영길 윤석열x 파일 공개해야허위면 형사책임 출처 이데일리 네이버 뉴스http앞으로 써먹을 일이 많은데 누가 어리석게도 누가 지금x파일을 공개하겠는가헛 정치했네요', '이언주 인사검증 때도 없던 윤석열x파일송영길 사과해야 출처 뉴스1 네이버 뉴스http']"
