word,count
윤석열,972
파일,921
총장,297
정치,237
검찰,231
의혹,202
장성철,168
국민,158
뉴스,137
이재명,129
야권,117
논란,114
입수,110
공작,109
대변인,104
소장,94
기자,87
공감,87
관련,86
대선,85
민주당,84
이준석,79
공개,76
장모,75
출처,72
밝히다,71
내용,70
정리,68
센터,65
서울,63
사퇴,63
대표,63
인사,59
방어,57
송영길,57
정책,56
평론가,55
사찰,53
논쟁,53
조국,50
대권,49
대응,46
문건,46
주자,46
수사,44
선언,44
검증,44
후보,43
추미애,42
보수,42
어렵다,42
의원,41
연합뉴스,40
선택,39
개혁,39
열리다,38
다음,38
불법,37
힘들다,37
네이버,37
유력,37
진영,36
시작,36
출마,34
지사,34
이날,33
안철수,33
장관,32
경선,32
언급,31
페이스북,29
악재,28
지지율,28
방송,28
김재원,27
인간,27
사건,27
이동훈,26
담기다,26
문서,26
지나다,26
터지다,26
알리다,25
주장,25
김무성,25
김부선,25
확인,24
공격,24
열흘,23
대통령,23
여권,23
조선일보,23
일부,23
언론,22
조사,22
인용,22
정부,22
보이다,22
기관,21
입당,21
야당,21
실체,20
존재,20
여당,20
진실,20
명분,20
손절,20
위기,19
정권,19
순간,19
제기,19
진행,19
괴문서,19
모르다,19
최재형,19
가족,18
채널,18
가운데,18
자체,18
검사,18
라디오,18
트윗,18
보도,17
주영진,17
지지,17
나서다,17
법무부,17
거론,17
출신,17
자료,17
작성,17
질문,17
최고,16
내부,16
작성자,16
끝나다,16
황보선,16
집권당,16
공정,16
앵커,16
개입,15
튜버,15
앞두다,15
두렵다,15
뉴시스,15
이유,15
버전,15
입장,15
메시지,15
이명박,14
유튜브,14
박근혜,14
날라가다,14
내리다,14
해명,14
필요,14
친문,14
충격,14
침묵,14
가능,14
브리핑,14
본인,14
취재,13
도전,13
연기,13
여야,13
전언,13
정면,13
위원,13
피하다,13
류미나,12
둘러싸다,12
경기,12
오르다,12
괴롭다,12
비판,12
고발,12
던지다,12
정보,12
김건희,12
발언,12
조작,12
준비,12
오후,12
문재인,12
포기,12
네거티브,12
돌파,12
바라다,12
수처,12
수준,12
허상,11
목소리,11
아군,11
기념관,11
비리,11
수류탄,11
시민,11
국가,11
측근,11
파기,11
공식,11
갈등,11
요약,11
사진,10
부인,10
임명,10
혼선,10
자율,10
단독,10
평가,10
본격,10
일가,10
대담,10
여부,10
오전,10
최초,10
이용,10
경고,10
요구,10
국회,10
남기다,10
역공,10
교체,10
출발,10
정청래,10
범죄,10
각종,10
폭풍전야,10
참석,9
선거,9
처음,9
철회,9
캠프,9
매체,9
후폭풍,9
떠오르다,9
난리,9
후원,9
떠돌다,9
기대,9
레기,9
새아침,9
엑스파일,9
관심,9
신호탄,9
하태경,9
모습,9
출새,9
커지다,9
여론,9
일정,9
우려,9
인터뷰,9
색히,9
상태,9
감사원장,9
일신상,8
드러나다,8
소속,8
남산,8
기사,8
이야기,8
이슈,8
들어가다,8
올리다,8
국면,8
저작,8
이상록,8
응원,8
음모,8
공원,8
고심,8
출연자,8
투데이,8
황교안,8
경제,8
압박,8
다르다,8
결정,8
주목,8
세력,8
보내다,8
엑스,8
주요,8
심정,7
설명,7
시사,7
프로그램,7
중구,7
방문,7
감옥,7
행보,7
이면,7
주가,7
책임,7
쓰레기,7
결론,7
머니,7
떠들다,7
김대중,7
따르다,7
정의,7
미완,7
저격,7
꺼내다,7
승리,7
거리끼다,7
발가벗다,7
불거지다,7
애초,7
계획,7
걱정,7
권력,7
만나다,7
포스팅,7
계좌,7
판단,7
유승민,6
목요일,6
새끼,6
구체,6
경위,6
조중동,6
중요,6
관계,6
이회영,6
속보,6
제목,6
정진용,6
버리다,6
우당,6
경쟁,6
위원장,6
이기다,6
소송,6
황희두,6
뒤집다,6
말문,6
상황,6
도덕,6
부동산,6
선생,6
판사,6
보좌관,6
쿠키,6
맞추다,6
저녁,6
논설위원,6
취재진,6
독립운동가,6
적극,6
모이다,6
등판,6
병역,6
폭로,6
별거,6
해당,6
사법,6
멧돼지,6
근거,6
최근,6
먹잇감,6
상대,6
어쩌다,6
긴급,6
아내,6
훼손,6
일시,6
낙마,6
정치인,6
웃기다,5
개관식,5
몰아가다,5
결과,5
결국,5
개인,5
미치다,5
새롭다,5
시기,5
닥치다,5
이동,5
민주,5
반복,5
배우,5
전수,5
보호,5
부분,5
부탁,5
색출,5
무대응,5
의심,5
의미,5
생산,5
운운,5
온라인,5
연루,5
시절,5
물건,5
증거,5
과정,5
김대업,5
교수,5
예장,5
연세대,5
여의도,5
그날,5
기업,5
나라,5
현용,5
모양,5
대신,5
콘텐츠,5
출연,5
등장,5
망라,5
처가,5
메일,5
이름,5
