word,count
모르다,407
보이다,387
힘내다,187
바라다,182
차리다,160
남기다,157
열리다,153
나가다,146
힘들다,143
보내다,130
느끼다,118
지키다,115
미치다,113
다르다,108
웃기다,105
고맙다,101
들어가다,100
망하다,99
당하다,96
이기다,95
돌리다,90
올리다,90
부르다,88
좋아하다,87
바꾸다,86
떨어지다,86
멋지다,86
알리다,85
생기다,83
나쁘다,82
다니다,81
배우다,80
죽이다,78
어쩌다,78
터지다,74
밝히다,74
계시다,69
무섭다,69
아프다,67
부끄럽다,66
따르다,65
기다리다,60
만나다,59
어렵다,59
오르다,59
끝나다,58
빠지다,58
흔들다,56
싸우다,56
떠나다,56
버리다,55
시키다,55
똑같다,54
욕하다,53
돌아가다,53
나서다,51
재밌다,51
이루다,49
어리다,47
키우다,47
새롭다,45
걸리다,45
챙기다,44
고치다,44
안타깝다,44
이끌다,43
내리다,43
세우다,43
모이다,42
지나다,42
원하다,42
가리다,41
외치다,41
해보다,40
사라지다,38
막히다,38
바뀌다,37
망치다,37
변하다,36
강하다,36
드러나다,36
생각나다,35
괜찮다,35
심하다,34
던지다,34
넘어가다,33
우습다,33
엄청나다,33
따지다,32
일어나다,32
아깝다,32
무너지다,31
떠들다,31
어지럽다,31
더럽다,30
없애다,30
바르다,30
도와주다,30
버티다,30
붙이다,30
들어오다,30
저지르다,29
모으다,29
지켜보다,29
말아먹다,29
두렵다,28
즐기다,27
팔아먹다,27
의하다,27
부리다,27
올라가다,27
가즈아다,27
지치다,26
누르다,26
속이다,26
바쁘다,25
들리다,25
짜르다,25
편하다,24
아름답다,24
틀리다,24
움직이다,24
잡히다,24
모시다,24
때리다,24
높이다,24
반갑다,24
가르다,23
찾아보다,23
구하다,23
숨기다,23
지우다,23
흘리다,23
맞추다,23
향하다,23
취하다,22
피하다,22
지나가다,22
정하다,22
역겹다,22
어울리다,22
알아보다,22
돌아오다,22
살리다,21
뒤집다,21
날리다,21
데리다,21
아쉽다,21
어이없다,21
바라보다,21
내세우다,21
싫어하다,21
줄이다,20
앉히다,20
다루다,20
누리다,20
그만두다,20
나누다,20
끝내다,20
일으키다,20
슬프다,19
즐겁다,19
나아가다,19
꿈꾸다,19
올바르다,19
넘기다,19
멋있다,18
바래다,18
떨리다,18
뭉치다,18
가르치다,18
살아오다,18
행하다,18
털리다,18
나타나다,18
책임지다,18
약하다,18
쪽팔리다,18
전하다,18
자르다,17
자빠지다,17
맡기다,17
뿌리다,17
바치다,17
치밀다,17
감싸다,17
이루어지다,17
가깝다,17
살아가다,17
놀라다,17
떠오르다,16
논하다,16
놀랍다,16
잘나다,16
착하다,16
거슬리다,16
견디다,16
애쓰다,15
드러내다,15
빠르다,15
풀리다,15
수많다,15
달라지다,15
올라오다,15
채우다,15
괴롭히다,15
귀엽다,15
어리석다,15
마시다,15
이쁘다,14
태어나다,14
합치다,14
물어보다,14
흐르다,14
벗어나다,14
힘차다,14
그리다,14
거르다,14
끼치다,14
까발리다,14
더불다,14
노리다,13
못되다,13
살아남다,13
푸르다,13
모자라다,13
거두다,13
속상하다,13
친하다,13
흔들리다,13
다물다,13
내놓다,13
넘치다,13
앞장서다,13
씌우다,12
치르다,12
비하다,12
처먹다,12
찌르다,12
따라가다,12
놓치다,12
지르다,12
아무렇다,12
지내다,12
지나치다,12
설치다,12
날아가다,12
부럽다,12
숙이다,12
이어지다,12
손잡다,12
받아들이다,12
멈추다,12
펼치다,12
감추다,12
먹이다,12
가져오다,12
