word,count
대통령,1352
국민,1122
조국,894
장관,856
검찰,617
나라,596
언론,573
정치,533
응원,532
개혁,531
대선,509
후보,471
하나님,422
지지,416
인간,409
도리도리,402
검사,401
가족,337
방송,325
정권,320
정신,305
의원,299
정부,296
감사,292
대표,281
인사,276
출마,267
공정,254
세상,245
기자,233
다음,219
국가,218
민주,218
수사,214
문재,204
최고,196
말씀,194
필요,189
수준,188
지사,186
대권,183
사랑,181
윤도리,178
마음,169
통령,163
지원금,163
정의,163
경제,163
진보,159
청년,158
이름,156
총장,154
남자,153
공감,153
도리,152
얘기,152
보수,150
정책,149
시민,148
자리,147
본인,146
이유,145
재난,142
이해,141
계시,139
머리,136
지지율,135
역사,134
모습,133
교수,133
사건,129
선거,127
경선,127
조사,127
지급,126
존경,124
뉴스,123
여성,123
시대,122
기대,120
수박,119
적폐,117
가능,117
장모,116
문통,116
권력,116
시작,114
지지자,113
변호사,113
조작,112
재명,112
이야기,112
영부인,111
판사,111
진실,109
부동산,108
쓰레기,108
목소리,103
공무원,103
세대,101
의사,100
지원,100
국전,99
세력,98
비판,98
행동,97
추미,96
기재,96
얼굴,95
폐간,95
고소,95
걱정,95
선별,93
차기,93
집단,93
총수,93
미래,93
사기,93
출신,93
세계,92
보도,91
정치인,91
국회의원,90
능력,90
작가,90
군대,89
희두,89
진영,89
자체,89
세금,88
상황,88
구독,88
처벌,88
촛불,87
책임,87
반대,87
사과,86
검증,85
선언,85
하느님,84
결과,84
무죄,83
건강,83
이용,83
중요,82
민주주의,82
범죄,81
내용,81
감사원장,81
기사,80
발언,80
다르크,80
인물,79
비리,78
징벌,78
가슴,78
부정,76
불안,76
자유,76
소송,76
손해,76
구속,76
주장,76
개인,75
극우,75
부탁,74
야당,73
시장,73
현실,73
준비,72
희망,72
새날,72
여당,71
상대,71
배상,71
카드,70
실망,70
친구,69
자격,69
엄마,68
의혹,67
파일,67
승리,67
결국,66
임명,66
남성,65
관심,65
정상,65
정보,65
무능,65
공개,65
이혼,64
낙엽,64
재미,64
나이,64
거짓말,63
과거,63
재산,63
추장,63
대통,63
보편,63
증거,63
고발,63
연기,63
운동,63
주자,62
댓글,62
원칙,62
다스,62
독재,62
하늘,62
인정,62
종교,61
거짓,60
국회,60
적극,60
처음,60
준석,60
프로,59
친일파,59
과정,59
관계,58
자랑,58
