word,count
민주당,1330
윤석열,874
추미애,832
이재명,569
쥴리,521
이낙연,422
홍남기,420
대한민국,357
화이팅,237
일본,226
최재형,224
줄리,216
이준석,207
황희두,195
한국,171
문재인,169
조선일보,166
김용민,150
미국,150
홍준표,139
청와대,138
윤석렬,133
임은정,132
박성민,131
박근혜,129
페미,125
조중동,124
윤봉길,121
김어준,111
김건희,110
노무현,110
최성해,109
조선,105
유튜브,92
이철희,86
북한,84
이동형,83
김성회,83
건희,74
이명박,73
서울,73
레기,60
튜버,60
임현정,59
코로나,57
푸나,55
송영길,55
정세균,52
전광훈,50
김경률,50
이광재,49
이선옥,49
예수,48
최민희,46
지희,44
한동훈,42
남불,40
최순,40
강남,39
박정희,38
유승민,37
파이팅,37
양재택,37
최강욱,37
배현진,36
부산,34
중국,34
이탄희,33
나견,33
박범계,31
전두환,31
이대남,31
준표,31
김명신,31
김대중,30
문정부,26
박진영,26
원희룡,26
박시영,26
뉴타운,25
서기호,25
오세훈,24
압수수색,24
황교안,24
양정철,23
유시민,23
안혜리,23
정치검찰,23
이재정,23
경기도,22
조응천,22
신유진,22
알리,22
남북,21
나경원,21
윤주경,20
안철수,20
최은순,20
줄리아,20
유인태,20
김경율,19
공소시효,18
유럽,18
서울대,18
쥴리아,18
영국,17
김성수,17
이명,17
모피아,17
윤석,16
최재영,16
네이버,16
주진우,16
삼성,15
동아일보,15
중앙일보,15
김재윤,15
강훈식,14
정세현,14
테타,14
아바타,14
포털,14
쿠팡,14
반기문,14
진중권,13
히틀러,13
미애,13
경남,13
대구,13
볼케이노,12
도지사,12
윤호중,12
손문선,12
장용진,12
윤근,12
캐쉬,11
정청래,11
최배근,11
김부겸,11
박지훈,11
쉴드,11
스가,11
페이스북,11
스페인,11
광주,11
황금어장,11
비젼,10
이승만,10
이동훈,10
박용진,10
박원순,10
제주도,10
심상정,10
독립운동,10
독도,10
김혁규,10
김태현,10
김정은,10
코스프레,10
파평,10
스펙,10
신천지,10
제주,9
문선,9
이대선,9
한반도,9
쥬리,9
엄성섭,9
아베,9
윤건영,9
강성범,9
삼풍,9
오창석,9
박지원,8
김부선,8
유트,8
런던,8
기본소득,8
이해찬,8
문부성,8
이정부,8
야수,8
이재용,8
박영훈,8
오윤혜,8
보유국,8
고일석,8
이동재,8
정신줄,8
하버드,8
케미,7
조국정,7
남영희,7
여의도,7
김인수,7
봉하,7
정필승,7
디스,7
김일성,7
독일,7
예기,7
쇼크,7
김구,7
싸이,7
이진동,7
황희,7
하태경,7
곽상도,7
스톤,7
전라도,7
팩션,7
손혜원,7
윤기중,7
테마주,7
전남,7
러시아,7
트위터,6
김오수,6
태영,6
평화통일,6
김포,6
곽상,6
안소현,6
김진애,6
구석,6
김학,6
떡검,6
이승규,6
민희,6
물류,6
박양,6
리미,6
레디,6
장성철,6
이스라엘,6
윤성열,6
김해영,6
줄리엣,6
음주운전,6
개콘,5
경기도지사,5
시사기획,5
박영선,5
후니,5
강철,5
윤봉,5
보호법,5
박형준,5
허경영,5
혜경궁,5
박주민,5
계란판,5
홍씨,5
아시아,5
홍가,5
오스트리아,5
윤미향,5
민아,5
내지,5
도이치,5
원내대표,5
김영삼,5
소송비용,5
조선일,5
김범수,5
최진봉,5
김남국,5
엑스파일,5
컨츄리꼬꼬,5
조남욱,5
김기화,5
코바,5
브라질,5
마사,5
권수진,5
김진표,5
윤모,5
구테,5
