,neg_words,count,documents
0,힘들다,143,"['이낙연전대표는 국무총리때이미지만잘간직했어도 지지율좋았을 텐데 지금의 이미지는본레이 전대표의민낯인지주위의초딩같은 의원들한테꼬득임당한건지짬한심합니다 대권은커녕차기 총선도힘들겠다', '현 정권서누릴권력다누리고 또 무슨권력을쥐어보겠다 고끝없는욕심에명예고뭐고욕심들이똥창까지 가득 차서국민들을힘들게 하는 수구꼴통편그놈들지들욕심때문에 배신때리는놈들부끄러운줄알아야지', '저도음악인으로서pd님말씀에공감합니다.n물론 가끔힘든작업할땐예민할때도 있긴 하지만항상예민한 사람은 같이 일하기도싫고같이 일해봐야다툼만생깁니다.n고민할 시간에행동하세요.후리덤']"
1,재난,142,"['rn상징성있는 재난지원금보다코로나로절재절명의 부도 위기로 몰린회사나생활고를겪고 있는 분들에게몰아주는 것이rn진정한 재난지원이고 효과가배가될 수 있습니다.', '지난재난지원금안받은토왜당원있나?rn지난재난지원금안받은태극할배있나?rn주면다받을놈들이뭔선별지원금이여?n어쨋든지국민을편가르기해서 재미보려는역적놈들.', '코19국가정책에 적극호응하며n개인의 희생보다국가의 대통령님의지지에호응한국민의희생과참여때문이란생각을 조금이라도 했다 면n재난지원아니재난손실소급입법']"
2,쓰레기,108,"['이거그냥넘어가면 대한민국과 국민을개돼지취급을용인하는 결과를 가져온다스스로폐간절차를 하지 않으면 시민들이 나서야 한다 저런쓰레기언론과한통속이던검찰전윤짜장과그추종자들을감옥보내야 한다', '조선일보와이승규니네는뭔소리를 해도 금융치료가자.기사내기전에 이모든 과정을걷혔어야.한가족을짓밟고도살려고발버둥치는 그것에더아침부터 분노한다.이쓰레기들아 n오늘도늦어버려나머지공부하는중', '쓰레기투척심하다 고 말만 하지 말고 제가몇번을말했는데n일회용컵빨때플라스티사용으로 엄청난환경오염심각한데n개인컵이나텀블러사용하세요말로만개념있는척하지 말고 행동으로 실천하세요ㅜㅜ']"
3,망하다,99,"['새날께너무싫망했습니다.n제가 무었을잘못했는지는 모르겠지만 더 이상새날을볼 수 없다는 메시지가떠서n너무기분나쁘고싫망했습니다.n해명을 부탁드립니다', '어떻게 해도폭망한다.빨리그만둬도망하고질질 끌면더크게망한다.둘다일본 국과깊이연루되어 있다.', '윤십원n토론좀한번시켜보자n볼만하겠다.nn윤십원n컴활자격증도따야겠네.nnn윤도리도리를n국민의짐에서 받아준대?n nn국민의짐너무n손해보는장사.n국민의짐이미지.n더.망하겠다.']"
4,비판,98,"['그리고 대통령의 인사권을 비판할거면과연박성민이비서관으로 적합한자질이 있는가를 비판해되도읺는공정타령하지 말고 아무대나공정공정', '정의 이절실합니다.공작정치의덧씌우기마녀사냥악마근성을 비판하는 목소리가 높아야.검언유착정치깡패행패가막아지고 정의 사회구현이 정착될것입니다.조국가족고통을 외면하는 방관자가 되면유시민', '홍준표 의원윤석열비판하면야당망한가뭉처야나라 국민살길이다 여당본밭없라야당홍의원지지율모리냐국민들똑똑한줄알라공직사람능력 있으면 대통령하지홍 의원프로모르냐혼자잘낫냐????여당심판하라']"
5,당하다,96,"['중앙일보la확보되었답니다.n조선중앙미국에서 소송당할 것입니다.n두회사나란이1억달러씩소송당할 것이고n폐간을하게 될겁니다.n채널a검언유착으로 빠른취소기대하겠습니다', '조극장관꼐서엄청난공격을 당할때낙연이는왜나몰라 라무관심이었나요남집불구경하듯했던신중엄중자신이 공격당하니곧바로꿈틀거리네', '이낙연은조국전장관님너무 무관심한걸로봐서최성해말이설득력이 있다고 봅니다 이나연너무너무실망스럽다나쁜 놈 이다고 생각한다 총리시절조국전장관님그토록수모를당해도 너무 무관심했다']"
6,걱정,95,"['도리도리그런 거가지고 장난치지 말고좀진지하게니들이 국민을 위해멀잘할껀지그런 거부터걱정좀하자머여쪽팔리게.어그로끌라고 그러는 거 아는데 그럼너무싸보이고쟈들이랑다를게없어 보이자너.응?', '시사타파tv에서엑스파일이 조선일보같은데서나중에여당이 박근혜때처럼 사찰했다는 식으로 몰고 가려는 거같다던데 정말그런 건지박시영tv는어떻게 보는 지말씀해주세요.걱정이좀되네요.', '윤십원대통령되면윤삽원보다n마누라가걱정됩니다 사기꾼n장모와마누라생각하기 싫습니다.영부인이청아대에서n정권을 등에 업고부패가만연.하면 큰일입니다n정신은 우리가챠려야합니다']"
7,떨어지다,86,"['나는한걸음 더나가윤도리는 중간에 떨어져 나가대선에서 신당으로 나온다.그래서 어쩔 수 없이더민당이어 부지리.대선먹고총선서대패.의그림을 그려본다.이재명은임기중대통령중임제로 개헌간다', '생각해보니 자꾸민주당을욕하게 되네.n진보유튜버들도 그렇고나도 그렇고n수박들이 원하는 게 그거같은데.지지자들이 민주당욕하고떨어져 나가는 거n일점사합시다.점사.콕찝어서죽입시다.', 'show를원하는 게 아니다n대선을 앞두고 정무감각이 이렇게 나떨어지는데 정권연장하겠는가?n박성민이가청년양극화문제를 해결한다 고??? 문재인과180석으로도 해결못하는 것을.']"
8,나쁘다,82,"['민주당 내수박들이 더나쁘다.일제강점기에도 일본놈들보다민족반역자들이 더나빴다.n윤도리도리사모펀드잘안다 며?알긴뭘아냐?입이 있으면뭐라고 말좀해라.마눌님이랑소통도안하시는 것 같던데.', '고개돌리는 거가뭐가그렇게n나쁜건가나라와 국민들만살기편하게 하면 되지.나쁜습관은고치면되지.너희들이 나잘해.n남이잘 되면배가아프나', '도곡동땅의혹이 있음에도 대통령이 된 이명박의나쁜 사례로 잘못된학습이된 것 같아불쌍해보이네요.대선에안나왔으면검증안받을텐데.그래도 사실저는나오기를 바랬어요.이런결과를 바래서요.']"
9,범죄,81,"['장모재판에윤석열을증인으로 불러서확인할 필요가 있어 보임.사위를증인으로 불러서장모범죄를 확실하게 입증해야.딸을증인석으로 부르는 것은패륜적으로 보이니.이것이 최소의공정아니겠는가?', '이제파렴치안한동훈핸드폰오픈할 수 있나요?징하게 오래 걸리네요한동훈핸드폰에엄청난공작비밀들이 가득할거같아요빨리오픈하세요 이걸또덮으면뎦는자는 또 다른범죄를 저지르는 겁니다', '공동체는 개무식하지만 가족과 개인치부경제는 대단하쟎아n가족범죄단이 공직으로 사기조작해서 모은 돈이 수십억이쟎아n정의당하면떠오르는 생각은류관종페미밖에 안떠오른다']"
