from,to,depth,documents
"youtuber
in youtube_02","youtuber
in youtube_02",0,"['지금분위기보면 국민들이 민주당에실망한거같으니국짐당대표만되면 대통령논스톱이라고 생각하는 가보다.국민들이 바보인가?촛불로세상을 바꾼국민이결코어리석지않다는 거', '홍남기는ㅡ제2의윤석열이다ㅡn민주당.지지율올라갈n건마다.항상테클걸며적극방해작업한다ㅡn지켜볼때.홍남기엔어려운국민따위.대통령따위.존재하지 않는다.n그는퇴임 후국민짐에분명직행할 것이다ㅡ', '총수가 있어서든든합니다n추장군님나오셔서더든든합니다n민주당 경선원칙잘했어요 n재난지원금도홍남기밟고전국민지원해라 n이재명추미애랜더덤으로 차기차차기 대통령 지지합니다']"
"youtuber
in youtube_02",대통령,1,"['그 누구가대통령앞에서 벌벌떨겠습니다.그러니대통령께서임명한 사람들이 대통령을 거슬리는 것이 아닐까요?대통령의적폐를아니손질하고 서야어찌검찰적폐', '명박이도닥그네도대통령으로 만들어졌다. n누가트럼프가 대통령이 될 거라고 생각했는가?? .교도소에갈범죄인이 대통령이돼세계를 4년 동안겁박했다.n윤써글이도똑같은 전략같다.n마누라', '추미애 대통령추미애 대통령대한민국개혁의 어머니추미애 대통령대한민국개혁의 어머니추미애 대통령대한민국개혁의 어머니']"
"youtuber
in youtube_02",민주당,1,"['이낙연과짝짝꿍되어서변질된것인가?n이낙연은민주당을말아먹을 것인가?n이제는 이낙연이김진태보다 더욱민주당 안의x맨같다.n이렇게까지 민주당을약화시키고 지지자들마음에 상처를 줄 수 있을까?', '민주당이답답한 면이 있어도n국짐은절대아닙니다.n민주당이잘하면칭찬해주고못하면 비판하면서 대안을 제시해주는 방향으로n당근과채찍을이용해서 민주당이 더욱 발전하도록 해야겠죠.', '민주당잘합니다 당내수박들적폐들없었으면 더잘했을겁니다n민주당에게 힘을 실어줍시다n힘내세요민주당민주시민여러분이제부터는 비난하지 말고정권재창출을 위해 함께 해요']"
"youtuber
in youtube_02",국민,1,"['국민검사임은정화이팅항상국민편에서 일잘하는 임은정검사힘내세요 당신뒤엔항상국민들이 있잖아요국민검사임은정을 사랑하고 지지합니다 u200d u200d u200d u200d u200d', '윤십원n토론좀한번시켜보자n볼만하겠다.nn윤십원n컴활자격증도따야겠네.nnn윤도리도리를n국민의짐에서 받아준대?n nn국민의짐너무n손해보는장사.n국민의짐이미지.n더.망하겠다.', '지금분위기보면 국민들이 민주당에실망한거같으니국짐당대표만되면 대통령논스톱이라고 생각하는 가보다.국민들이 바보인가?촛불로세상을 바꾼국민이결코어리석지않다는 거']"
"youtuber
in youtube_02",조국,1,"['도리도리윤짜장막가파차친일파어버지가문무성장학생유학파하던가?조국에철저한열등감조국정관님잘견디셨습니다n도리도윤삽원가족조국가족처수사하라도리도리대통령출마회견아무나하나.', '조국전화번호노출한게만행이냐?n그러면조국이자영업자사장좌표찍은건뭐냐n조국자서전에엉뚱한 정치인을 비리정치인으로 낙인찍은건뭐냐n대가리가깨져서내로남불은이해못하겠지?', '조국을멀리하고 외면했던 사람들이 바로 민주당이였습니다.이제라도 민주당은조국수호하시길 바랍니다.언제까지 조국수호를국민이하고 있어야 하나요?']"
"youtuber
in youtube_02",윤석열,1,"['김건희를윤석열부인이라고 하는데.부인이라는 단어는남의아내를 높여부르는 말입니다.윤석열이아내를 높여불러줄필요가 있을까요?n그냥윤석열아내나처로부르면 좋을 것 같습니다.', '전개인적으로 민주당에서 각성하지 않는다면윤석열이되는 게 낫다고 생각합니다.하지만윤석열이대통령이 되는 걸미국이바라지 않죠n윤석열', '윤석열말하는 거보면 일본극우랑뭐가다른 가싶을 정도다 일본믿고까불다가는 지금 일본처럼윤석열도폭망할거다저런사람이 대권 도전을 하다니.수준 높은 대한민국 국민을뭘로보는 건 지.']"
"youtuber
in youtube_02",장관,1,"['난장관부하가아니야헌법소원냈지?갛하처분나왔네윤씨검찰총장은법무부 장관의하위기간이야9수야.법무부 장관의 명령에 따라야 한다 고.총장이 그것도 몰랐어?넌뻘짓한거야', '추장관님이지사님둘다좋은데 이번엔추장관님이됐으면 좋겠습니다 추장관님이지사님조국장관님이런순으로 대통령이 됐으면', '조국전장관님추미애전법무부 장관님끝까지 지지합니다 추미애전법무부 장관님대선주자로 지지해서 적폐세력친일언론들모조리싹싹쓰레기통에쓸어버리세요']"
"youtuber
in youtube_02",추미애,1,"['전이번 대선에서 추미애님을적극 지지합니다.추미애님만이타협없이 개혁이 가능할 거라봅니다.추미애님말씀들으니너무 마음에듭니다.그저국민이바라는 게무엇인지 정확하게 알고 계신 분입니다.', '추미애 대통령추미애 대통령대한민국개혁의 어머니추미애 대통령대한민국개혁의 어머니추미애 대통령대한민국개혁의 어머니', '솔직히정치인추미애에게는관심이 없었습니다.n그런데법무부 장관이라는 독배를받고도 검찰개혁이라는 시대의 과제를굿굿하게헤쳐나가시는 모습을 보고반하게 되었습니다.n추미애후보응원합니다 화이팅']"
"youtuber
in youtube_02",검찰,1,"['표창장이 무죄가나온다면 결국윤석열은검찰개혁을 막으려고 검찰구테타를일으키는 최악의 가족몰살을일삼은여기에 가담한 검찰과징역 4년을 선고한 재판부까지처절하게밟아줘야합니다.', '조중동페간.n검찰은 전면 개조해야 한다.n검찰총장은 검찰청장으로.경찰청장과동급으로n검찰기소권전면폐지', '김성회의옳은소리좋아요부장검사든총장이던성역없이 하려면 검찰예산반으로 축소감찰청만들어검찰경찰판사재판까지 민원인이 요구하면감찰하여 마무리할 수 있도록입법해야 합니다 사법개혁완수한다.']"
"youtuber
in youtube_02",나라,1,"['서민모두에게 지급하는 것이 나라가할일이고 의무라고 봅니다n나라가할일의무를안한다면 어느국민이 나라의법을 지키고 말을 듣겠습니까?n나라가솔선수범해야국민이 따르는 것입니다', '우리나라남북전쟁을 원하는 나라몇몇이있어요울나라 인명피해따윈상관없이저들경제적 이득을 위하는.70년 넘은휴전을종전선언이드디어선언이코앞이라 생각합니다', '우리나라언론이 얼마나정상이 아닌지를 이번문대통령g7순방 때적나라하게 보여줬다.언론개혁없이는 나라발전도없다는 것을 넘절감하게 된 계기였다']"
