,pos_words,count,documents
0,지지,416,"['다스뵈이다 김어준총수님속이 뻥 뚫리는 것 같습니다 저는추미애 대통령님이되셔야문재인데통령님의뒤를 이어갈 것같습니다 문재인데통령님지지합니다 추미애장관님지지합니다', '이낙연아김홍걸의원복직시켜라n넌절대호남사람들표못얻는다n김대중대통령님우리한테어떤분인데n호남사람들이낙연지지철회합시다n난이재명.추미애지지합니다 u200d', '조국전장관님추미애전법무부 장관님끝까지 지지합니다 추미애전법무부 장관님대선주자로 지지해서 적폐세력친일언론들모조리싹싹쓰레기통에쓸어버리세요']"
1,감사,292,"['감사감사드립니다n새날에서 감탄하고 시형상자에서 즐겁고 편안했습니다 물론선언시인내천느낌을 받았습니다 동학본향경주와농민혁명의 활동본거지전주와본인생활반경이 가까웠으리라 생각해봅니다', '절대방심하면 안 됩니다.희두님넘감사하지만 박근혜도당선되었던 걸잊으면 안 됩니다.뿌리를뽑아야 하는데겨우이제손대기 시작했으니.단결해서 꼭이겨야겠습니다.항상감사합니다.', '추미애전대표님감사합니다.전봉준장군의대동세상을 만들분이오셨다.마치메시아께서오신기분이다.늘함께하며 그날을위해.끝으로 서성환변호사님께 감사드립니다.']"
2,최고,196,"['이동형작가님은정말최고 최고n똑똑해잼있어섹쉬해정시렵지n어려운 사람에게 인정도 있고n지n정말버릴데가없는 우리이작가님n건강정말정말 잘지키셔야하는n우리의보물보물입니다', '역대 최고의 대통령 진짜종교네 대깨문유튜버인건알겠는데 저런말은그냥걸러야지 너무오글거리잖아 역대 최고의 대통령', '우리 민주시민의 예술가정교사임현정.경제가 정교사최배근.정치가정교사총수.n최고중최고만이 가는 자리가 정교사.']"
3,사랑,181,"['자기가싫어하는 사람이 많으면 자기를 싫어하는 사람도 많다.n상대방을 사랑하면 사랑으로 돌아오고상대방을 비방하면 비난으로 돌아온다', '사랑스런세여자분사랑합니다.정감넘치는 두 남자분도더불어사랑합니다.화이팅', '정 교수님과따님과아드님사랑합니다.힘내시고홧팅하세요 조장관님은혼자가 아닙니다.우리깨시민들이 도움을 드리고 함께 할 수 있도록 기회를 주신다면감사하겠습니다 우리가 조국이고 내가조국이다']"
4,도리,152,"['공정하지 못한 정권에서 약탈당하고 있는 윤도리도리를 구해준정부를 향해 공정하지 못한 수사를 했기 때문에 공정하게 하라했더니공정이 싫어서 사퇴한윤도리도리가 공정을외친다?', '도리 도리대회에 나갈짜식이윤기념관을빌려서 단독도리도리플레이진짜재미업엇당연습많이해가지고 도전해야지 12월까지 도리도리할 수 있을까n독방으로 가는 것이 빠르것당', '부정의트리오n쥴리접대부말투로나는쥴리가 아니다n도리도리도리하면서 나는도리가 아니다n할매내가 우리검사사위있어서 이런 말하는 게 아니라.살고 싶으면도장찍어']"
5,존경,124,"['새날에한말씀올리오우리최민희의원님또정필승마차님광주에딸존경합니다 우리푸른님은담배끗어소한5달반되야소푸나님존경합니다', '노무현 대통넘존경하고 문재인엄청지지했다 근대이넘들이 내노후까지없어지게 했다.솔직하자나도문빠소리듣고 있었다 이젠너무나싫은정권이다.가만히 생각하면 박근혜 가국민에게 패끼친적없더라', '정세현의장님은과감하고 선제적인 북한에 대한 결단을 이번 정부 내내주장하셨다n문통존경하지만 그정도의 기량이나 마음은 없는듯.답답하다.미국눈치매국친일집단눈치그만보고강단을 내리길']"
6,기대,120,"['다스뵈이다 167회이후로추미애후보를 대통령 후보로 지지하겠습니다n이재명후보에게 기대하던점을다갖추시고도확실히실행하실 것 이믿어집니다n앞으로의 행보도관심을 가지고 지켜봐야겠습니다', '새날은왜방통위장을그냥두고비판하지 않는지요?n언론개혁을 위해 자리를줬더니수구적페언론의하수인역할에n기대 이하의반개혁적방통위장이n제3의최재형이되는 것을 보고 있지만 말고요.', '노무현 정신을 이어가려면이재명도지사와추미애전장과님이격돌해야함.그래야촛불혁명을 계승하는 동시에 제2의반민특위를 기대해볼 수 있음.혁명가로막는자.그대이름조선총독부떨많이.']"
7,진실,109,"['최성혜의진실성은제로.n하지만 이낙연의이중적인 모습.그것만은 진실이죠.n이낙연은최성혜를고소해야 하는 거 아닙니까?', '모든 게다진실로판정날때까지뭉개고수사하시게?당신들언론이야.의혹이 있으면 그 의혹이 합리적이고 증거의일부가 명확하면알려야 하는 게언론의할일이야.진실인지수사하는 게 당신들일이 아니고.', '윤짜장은 부정을긍정으로 거짓을진실이라말할 때도리질합니다.그건심리적양심이대갈통을어지럽게하거든요.그때보면눈촞점이풀려있고 그다음고개를꺄뚱하고 어깨를들썩이죠.아.쫄려.하면서.']"
8,고맙다,101,"['황희두님은100점입니다n이해도잘되구고맙습니다 경청해서들었습니다n흠을잡을데가없더군요 더욱열심히 하셔서 의발전에 더욱매진부탁드립니다.사랑스럽습니다 u200d u200d u200d', '김용민씨.나꼼수때부터 고마웠어요.요즘헷소리를 많이 하셔서탈퇴하고 난갑니다.그리고 여유를좀가지시라예전팟캐스트 김용민브리핑시절박근혜성 대모사하던여자분이 누군지참궁금해.팬인데.', '이낙연이조국을자신의 대권가도에장애물또는경쟁자로생각하고 최성해가대신제거해주니고마워서사람까지 보냈다는 것으로 예측해볼 수 있다.사실이라면참으로잔인하고 이기적인 비인간성이다']"
9,이기다,95,"['문재인세분의대통령과 함께해온 사람이 아니라고 생각합니다.nn내가 이기는 것이 아닌 우리가 이기는 것을 찾아보고 그것을 위해 우리 모두함께 합시다', '이번 대선에서 이재명이후보가 되고 이기면모두 이재명개인이 이긴것이고진다면 이낙엿과홍남근때문이라고 본다당의분열핵심에는 이낙엽이있다', '검찰개혁언론개혁.언론사들.가짜뉴스악이적인 보도허이보도징벌적손혜배상입법하고 농락하는 언론기레기들.모조리박멸국가기강을바로잡아주십시요검수완박검수분리우리가 조국이다 우리가 이긴다']"
