word,count
조 국전 장관,84
국민의 힘,46
하나님의 계시,44
국민의 짐,35
국민 재난 지원금,27
도리도리 잼 잼,19
유가족에게 입주,17
민주당 대선 후보,16
극 우유 튜버,15
추미 애전 장관,14
하나님의 이름,13
윤로 남불,13
하나님의 뜻,13
폐간이 답,13
박 지희 아나운서,13
최성해를 고소,13
윤석열이 대통령,12
대선 출마 선언,11
윤봉길 의사 기념관,11
추미애의 깃발,11
검찰 개혁 언론,11
개혁 언론 개혁,11
대선에 출마,10
대통령의 적폐,10
알리 미 황희두,10
계시로 출마,10
하나님의 계시다,9
민주당을 지지,9
구독과 좋다,9
공공 주택 공급,9
알리 미황 희두,9
중서 민용 요충지,9
손해 배상 법,8
시대 노숙 자양,8
추미애 대선 후보,8
부동산 전수 조사,8
정신 못 차리다,8
역사에 남다,8
경기도의 뉴타운,8
곳에서 살다,8
뉴타운에서 국가,8
공감을 고소,8
조국 장관 가족,8
좃 선 일보,8
국민 차별 경기도,8
국민을 개돼지,8
연립 주택 거짓,7
주택 거짓 조작,7
재난 지원금 선별,7
재난 지원금 지급,7
조국을 죽이다,7
집단으로 공격,7
차 차기 대통령,7
이철희 정무 수석,7
최성해를 고발,7
조국의 진실,7
지원금 선별 지급,7
언론 개혁 법,7
대한민국의 미래,7
하느님의 계시,7
국민을 속이다,7
눈에 피눈물,7
사모 펀드 무죄,7
픽션으로 언론,7
표현의 자유,7
대통령이 재명,7
대권에 도전,7
팩션 팩 트,7
민용 요충지 쾌,7
팩 트 픽션,7
인물이 없다,6
관심이 없다,6
진보 유 튜버,6
이재명이 대통령,6
나라의 미래,6
정의를 논하다,6
정치에 관심,6
자격이 없다,6
나라를 팔아먹다,6
하나님을 팔다,6
국민의 세금,6
혜를 고소,5
진심으로 응원,5
지지율이 높다,5
페이스북에서 정의,5
추미 애전 대표,5
가족을 도륙,5
역사에 길,5
지급을 주장,5
정치에 이용,5
개인 정보 유출,5
검찰 개혁 과언,5
검찰 총장 감사원장,5
국격에 맞다,5
국민을 우롱,5
국민이 바보,5
나라를 망치다,5
대선에 나오다,5
대통령으로 뽑다,5
대통령이 홍남기,5
마음에 드다,5
문통의 인사,5
뿌리를 뽑다,5
손해 배상 제도,5
야당 대선 후보,5
가족을 몰살,5
인간의 속성,5
인간이 대통령,5
재산 형성 과정,5
정권을 잡다,5
정신을 이다,5
후보로 나오다,5
