word,count
대통령,1352
민주당,1330
국민,1122
조국,894
윤석열,874
장관,856
추미애,832
검찰,617
나라,596
언론,573
이재명,569
정치,533
응원,532
개혁,531
쥴리,521
대선,509
후보,471
하나님,422
이낙연,422
홍남기,420
지지,416
인간,409
모르다,407
도리도리,402
검사,401
보이다,387
대한민국,357
가족,337
방송,325
정권,320
정신,305
의원,299
정부,296
감사,292
대표,281
인사,276
출마,267
공정,254
세상,245
화이팅,237
기자,233
일본,226
최재형,224
다음,219
민주,218
국가,218
줄리,216
수사,214
이준석,207
문재,204
최고,196
황희두,195
말씀,194
필요,189
수준,188
힘내다,187
지사,186
대권,183
바라다,182
사랑,181
윤도리,178
한국,171
마음,169
문재인,169
조선일보,166
지원금,163
통령,163
정의,163
경제,163
차리다,160
진보,159
청년,158
남기다,157
이름,156
총장,154
공감,153
열리다,153
남자,153
도리,152
얘기,152
미국,150
김용민,150
보수,150
정책,149
시민,148
자리,147
본인,146
나가다,146
이유,145
힘들다,143
재난,142
이해,141
계시,139
홍준표,139
청와대,138
머리,136
지지율,135
역사,134
모습,133
교수,133
윤석렬,133
임은정,132
박성민,131
보내다,130
사건,129
박근혜,129
선거,127
경선,127
조사,127
지급,126
페미,125
존경,124
조중동,124
뉴스,123
여성,123
시대,122
윤봉길,121
기대,120
수박,119
느끼다,118
가능,117
적폐,117
권력,116
문통,116
장모,116
지키다,115
시작,114
지지자,113
미치다,113
변호사,113
이야기,112
조작,112
재명,112
판사,111
영부인,111
김어준,111
김건희,110
노무현,110
진실,109
최성해,109
쓰레기,108
다르다,108
부동산,108
조선,105
웃기다,105
목소리,103
공무원,103
고맙다,101
세대,101
들어가다,100
의사,100
지원,100
국전,99
망하다,99
비판,98
세력,98
행동,97
당하다,96
추미,96
기재,96
폐간,95
이기다,95
걱정,95
고소,95
얼굴,95
출신,93
총수,93
사기,93
집단,93
선별,93
차기,93
미래,93
유튜브,92
세계,92
정치인,91
보도,91
작가,90
돌리다,90
올리다,90
국회의원,90
능력,90
희두,89
군대,89
자체,89
진영,89
부르다,88
상황,88
구독,88
세금,88
처벌,88
촛불,87
책임,87
좋아하다,87
반대,87
사과,86
바꾸다,86
떨어지다,86
멋지다,86
이철희,86
알리다,85
선언,85
검증,85
하느님,84
결과,84
북한,84
생기다,83
이용,83
무죄,83
김성회,83
건강,83
이동형,83
나쁘다,82
민주주의,82
중요,82
내용,81
범죄,81
다니다,81
감사원장,81
다르크,80
배우다,80
기사,80
발언,80
인물,79
징벌,78
가슴,78
비리,78
죽이다,78
어쩌다,78
구속,76
불안,76
자유,76
소송,76
주장,76
부정,76
손해,76
개인,75
극우,75
부탁,74
터지다,74
밝히다,74
건희,74
서울,73
현실,73
야당,73
이명박,73
시장,73
준비,72
희망,72
새날,72
상대,71
배상,71
여당,71
카드,70
실망,70
무섭다,69
자격,69
친구,69
계시다,69
엄마,68
파일,67
의혹,67
승리,67
아프다,67
임명,66
부끄럽다,66
결국,66
따르다,65
정보,65
관심,65
공개,65
무능,65
정상,65
남성,65
재미,64
이혼,64
나이,64
낙엽,64
재산,63
보편,63
추장,63
증거,63
대통,63
고발,63
운동,63
과거,63
거짓말,63
연기,63
다스,62
주자,62
하늘,62
독재,62
원칙,62
댓글,62
인정,62
종교,61
레기,60
적극,60
처음,60
기다리다,60
국회,60
거짓,60
준석,60
튜버,60
오르다,59
만나다,59
임현정,59
친일파,59
과정,59
어렵다,59
프로,59
빠지다,58
관계,58
자랑,58
판단,58
끝나다,58
친일,58
기념관,57
재판,57
코로나,57
짜증,57
투기,57
마누라,56
의심,56
떠나다,56
여론,56
선택,56
관련,56
흔들다,56
싸우다,56
송영길,55
기억,55
시절,55
푸나,55
공부,55
표창장,55
비서관,55
감옥,55
버리다,55
시키다,55
차별,54
결정,54
똑같다,54
한마디,54
기업,54
진심,54
분노,53
무식,53
바보,53
욕하다,53
자식,53
도전,53
돌아가다,53
기본,53
공격,52
유지,52
정세균,52
최성,52
기회,52
부인,51
나서다,51
우파,51
재밌다,51
조민,51
포기,51
추천,51
상식,51
깡패,51
조직,51
통과,50
눈물,50
처리,50
느낌,50
부분,50
전광훈,50
의견,50
의식,50
교회,50
김경률,50
노력,50
사퇴,50
욕심,49
광고,49
윤가,49
수고,49
기독교,49
