word,count
모르다,168
보이다,143
힘내다,85
차리다,75
바라다,70
힘들다,62
열리다,60
보내다,57
웃기다,55
나가다,51
알리다,51
지키다,48
고맙다,46
남기다,46
미치다,45
부르다,45
망하다,43
나쁘다,43
들어가다,42
당하다,42
돌리다,40
올리다,38
바꾸다,35
떨어지다,34
터지다,34
부끄럽다,33
배우다,33
이기다,33
느끼다,32
생기다,32
밝히다,32
죽이다,32
기다리다,30
오르다,30
무섭다,29
시키다,29
다니다,29
다르다,29
아프다,28
좋아하다,28
드러나다,25
어쩌다,24
떠나다,24
싸우다,24
따르다,23
돌아가다,23
욕하다,22
빠지다,22
키우다,21
재밌다,21
만나다,21
흔들다,21
어렵다,20
멋지다,20
모이다,20
안타깝다,20
나서다,20
걸리다,19
챙기다,19
이루다,19
외치다,19
고치다,19
버리다,19
버티다,19
지나다,18
세우다,18
가즈아다,18
바뀌다,18
끝나다,17
똑같다,17
속이다,16
던지다,16
들어오다,16
더럽다,16
어리다,16
내리다,16
아깝다,16
따지다,15
망치다,15
막히다,15
붙이다,15
무너지다,14
가리다,14
모으다,14
괜찮다,14
넘어가다,14
말아먹다,14
뿌리다,14
우습다,13
심하다,13
지켜보다,13
이끌다,13
모시다,13
새롭다,13
지나가다,13
사라지다,13
돌아오다,13
계시다,12
책임지다,12
역겹다,12
숨기다,12
해보다,12
변하다,12
견디다,11
틀리다,11
꿈꾸다,11
거두다,11
괴롭히다,11
피하다,11
흘리다,11
엄청나다,11
일어나다,11
도와주다,11
정하다,11
넘기다,11
저지르다,11
다루다,11
없애다,10
어지럽다,10
부리다,10
다물다,10
살리다,10
움직이다,10
앞장서다,10
원하다,10
데리다,10
뭉치다,10
생각나다,10
바르다,10
지르다,10
살아오다,9
잘나다,9
행하다,9
털리다,9
즐겁다,9
쪽팔리다,9
푸르다,9
힘쓰다,9
누르다,9
뒤집다,9
맛있다,9
마시다,9
떠들다,9
바라보다,9
바래다,9
내세우다,9
두렵다,9
강하다,9
높이다,9
감싸다,9
이루어지다,8
드러내다,8
누리다,8
놀라다,8
때리다,8
어리석다,8
논하다,8
잡히다,8
올라가다,8
일삼다,8
놀랍다,8
짜르다,8
슬프다,8
향하다,8
팔아먹다,8
바쁘다,8
치밀다,8
끼치다,8
아름답다,8
나아가다,8
지우다,8
나타나다,8
넘치다,7
의하다,7
가져가다,7
날리다,7
관하다,7
널리다,7
그리다,7
그만두다,7
노리다,7
끝내다,7
일으키다,7
자빠지다,7
내뱉다,7
전하다,7
나누다,7
줄이다,7
빠르다,7
속상하다,7
반갑다,7
알아보다,7
애쓰다,7
떨리다,7
어울리다,7
어이없다,7
들리다,7
바치다,7
모자라다,7
가로채다,7
친하다,6
합치다,6
씌우다,6
갔다오다,6
처먹다,6
흐르다,6
불리다,6
찌르다,6
가르치다,6
숙이다,6
대놓다,6
가르다,6
싫어하다,6
몰아내다,6
더불다,6
가깝다,6
멈추다,6
띄우다,6
두껍다,6
여기다,6
때려잡다,6
올라오다,6
돌아보다,6
잡아먹다,6
올바르다,6
눈감다,6
울리다,6
늘어놓다,6
비하다,6
휘두르다,5
봐주다,5
감추다,5
건방지다,5
흔들리다,5
놓치다,5
피우다,5
풀리다,5
거슬리다,5
퍼지다,5
뻔하다,5
바로잡다,5
고르다,5
물려주다,5
지겹다,5
아쉽다,5
맞서다,5
앉히다,5
무너뜨리다,5
지치다,5
저리다,5
수많다,5
내놓다,5
까불다,5
채우다,5
까발리다,5
손잡다,5
잃어버리다,5
치루다,5
치르다,5
시끄럽다,5
