word,count
대통령,547
조국,495
국민,494
장관,393
검찰,335
나라,250
언론,242
응원,231
대선,221
개혁,218
정치,215
인간,199
후보,196
가족,190
도리도리,180
지지,158
검사,149
의원,147
기자,142
수사,136
방송,130
감사,126
공정,126
출마,123
정신,121
대표,109
민주,106
윤도리,105
정권,104
정부,101
대권,96
사랑,90
세상,90
국가,88
총장,85
장모,84
정의,84
수준,81
도리,78
이름,76
의사,73
본인,73
최고,73
다음,73
지사,72
시민,71
교수,69
조작,68
필요,66
국전,66
마음,65
조사,64
말씀,63
지원금,63
보수,62
인사,60
범죄,60
사건,59
문재,59
처벌,59
역사,57
구속,56
존경,56
변호사,55
자리,55
머리,55
무죄,55
권력,55
사기,55
지지율,54
판사,53
이유,53
선언,52
적폐,52
폐간,51
진보,51
재난,50
진실,50
경제,50
모습,50
얘기,49
얼굴,49
영부인,49
표창장,49
지급,48
남자,48
뉴스,48
쓰레기,47
재산,47
희두,47
걱정,45
기대,45
수박,45
시작,44
지원,44
공무원,44
투기,44
이해,44
집단,43
공감,43
진영,43
작가,43
비리,43
소송,43
독재,43
재명,42
가능,42
발언,42
선거,42
기념관,41
시대,41
마누라,41
개인,41
기사,41
경선,41
반대,41
극우,41
사과,41
공개,40
자유,40
무식,40
이야기,40
선별,40
가슴,40
통령,40
조민,40
배상,39
부동산,39
군대,39
비판,39
민주주의,39
내용,39
감옥,39
손해,38
정책,38
의혹,38
청년,38
정보,38
친일파,38
재판,38
책임,38
행동,37
지지자,37
파일,37
구독,37
엄마,37
부정,36
출신,36
희망,36
징벌,36
원칙,35
친일,35
정치인,35
현실,34
검증,34
시장,34
결국,34
하늘,34
개검,33
자체,33
자식,33
부탁,33
회견,33
세금,32
세력,32
건강,32
깡패,32
결과,32
보도,31
이용,31
우파,31
추미,31
능력,31
다르크,31
펀드,31
질문,31
공부,30
거짓,30
태극기,30
주장,30
과정,30
새날,30
문통,30
자격,30
미래,29
망신,29
여당,29
야당,29
대통,29
여성,29
목소리,29
기소,29
광고,29
주자,29
제목,29
정경,29
기재,29
윤가,28
카드,28
친구,28
촛불,28
고개,28
국회의원,28
양심,28
양아치,28
아나운서,28
기억,27
인정,27
상황,27
상식,27
정상,27
다수결,27
청원,27
여론,26
꼼수,26
수고,26
교육,26
국회,26
유지,26
불안,26
전화,26
추장,26
멧돼지,26
판결,26
민족,26
인물,26
준비,26
죽창,25
결정,25
고소,25
사법부,25
사퇴,25
난리,25
증거,25
프로,25
과거,25
기본,25
조폭,25
실망,25
댓글,24
수처,24
악마,24
의견,24
옹호,24
세계,24
막말,24
관련,24
포기,24
영상,23
재미,23
고통,23
철학,23
거짓말,23
처음,23
운동,23
채널,23
차기,23
위조,23
짓거리,23
시절,23
의식,23
대변인,23
당장,23
중도,23
관계,23
짜증,23
부인,22
표현,22
무능,22
병역,22
논리,22
한마디,22
분노,22
현직,22
가정,22
돼지,22
아버지,22
공격,22
집안,22
진행,22
대가리,22
중요,22
관심,22
상대,22
도전,22
서민,22
토론,21
검새,21
진심,21
도시,21
이후,21
발정,21
조직,21
헌법,21
주택,21
용서,21
승리,21
부족,21
부분,21
고발,21
동네,21
판단,20
주제,20
사법,20
사진,20
바보,20
부대,20
사모,20
통과,20
기업,20
법치,20
의심,20
약탈,20
시청,19
선택,19
티비,19
사태,19
지역,19
아들,19
착각,19
후손,19
무시,19
전체,19
희생,19
관리,19
그네,19
만세,19
경찰,19
행위,18
짐승,18
순간,18
당선,18
욕심,18
미안,18
하루,18
임명,18
비난,18
처리,18
사이,18
낙엽,18
혼자,18
언론사,18
기분,18
차별,17
세대,17
보편,17
계속,17
배신자,17
느낌,17
파악,17
행복,17
손녀,17
적극,17
당시,17
웃음,17
비교,17
주가,17
르네상스,17
주변,16
탄핵,16
두목,16
가치,16
정의당,16
번호,16
깃발,16
거대,16
이미지,16
불법,16
삼촌,16
일보,16
일가,16
평생,16
투표,16
완전,16
법정,16
범죄자,16
아이,16
대상,16
추천,16
그동안,16
회복,16
언급,16
반성,16
확인,16
전쟁,16
명예,16
기득,16
청산,16
결혼,16
계획,15
준석,15
우유,15
미달,15
사장,15
스타일,15
눈물,15
입장,15
연설,15
대박,15
사용,15
토착,15
실력,15
개판,15
기회,15
카르텔,15
대관,15
법안,15
세월,15
독립,15
부패,14
외교,14
시험,14
뇌물,14
사죄,14
모양,14
신문,14
경심,14
저질,14
학교,14
유착,14
동의,14
나이,14
피해자,14
권리,14
발전,14
이념,14
지평선,14
선동,14
패널,14
도움,14
감정,14
그날,14
방법,14
수구,14
입당,14
사안,13
위선,13
피눈물,13
원전,13
논문,13
노력,13
청렴,13
중간,13
실패,13
눈치,13
왜구,13
도둑,13
공공,13
청장,13
앵커,13
치료,13
예전,13
취재,13
시기,13
목적,13
유리,13
학생,13
구조,13
확정,13
모두,13
자랑,13
매국노,13
자유민주주의,13
문화,13
인생,13
해명,13
비서관,13
마지막,13
회사,13
유출,13
입법,13
접대부,13
법무부,13
버릇,13
민국,13
천박,12
그림,12
감사원장,12
작자,12
보상,12
인식,12
공급,12
국제,12
개소리,12
인터뷰,12
허위,12
형성,12
자금,12
가짜,12
법원,12
취소,12
철저,12
소나,12
단어,12
구분,12
동양,12
기간,12
품격,12
흐름,12
평등,12
식구,12
근거,12
장소,12
초딩,12
해결,12
교활,12
당원,12
폐지,12
가족사,12
총선,12
조심,12
신고,12
장학생,11
모자,11
아웃,11
배신,11
모지리,11
절대,11
코메디,11
홍보,11
출연,11
수수,11
기단,11
정당,11
민심,11
명박,11
애기,11
장군,11
면접,11
정직,11
싸움,11
프레임,11
증명,11
비례,11
꼰대,11
존재,11
부부,11
제정신,11
연기,11
공직자,11
인격,11
운명,11
왜곡,11
감동,11
요구,11
포장,11
용기,11
지도자,11
비전,11
선생,11
집권,11
일반,11
인권,11
일제,11
영화,11
매국,11
주식,11
특혜,11
설명,11
교체,11
특검,11
심판,11
피해,11
전국,10
의미,10
월급,10
중앙,10
총리,10
윤서,10
아재,10
남편,10
고민,10
지도부,10
청문회,10
엉덩이,10
고생,10
자녀,10
노래,10
자료,10
어머니,10
정리,10
다수,10
이익,10
이윤,10
경험,10
공작,10
옛날,10
공장,10
조롱,10
기념,10
축하,10
동형,10
대법원,10
병원,10
발표,10
별명,10
친문,10
침묵,10
법조,10
사고,10
출정식,10
큰일,10
방해,10
개념,10
성공,10
성장,10
성형,10
하나님,10
부끄러움,10
폭력,10
사상,10
신청,10
사이다,10
사형,10
보호,10
꼬라지,9
현상,9
개그,9
영혼,9
방역,9
혁명,9
영웅,9
국정,9
봉사,9
개돼지,9
혐의,9
공유,9
직원,9
말투,9
동문서답,9
정치판,9
포인트,9
위원장,9
외면,9
공화국,9
포함,9
사면,9
감방,9
서진,9
동생,9
위험,9
지대,9
제거,9
제도,9
평가,9
구김,9
태도,9
존중,9
주문,9
측근,9
할아버지,9
후원,9
기관,9
모욕,9
목사,9
당내,9
악질,9
다행,9
횡설수설,9
꽃뱀,9
국모,9
금융,9
의도,9
합격,9
최종,9
합리,9
아내,9
실체,9
명신,9
부장,9
쿠데타,9
비용,9
이민,9
부모,9
확신,9
참여,9
부자,9
창출,9
탈당,9
소식,9
학살,9
이자,9
코미디,9
캠프,9
기도,9
박수,9
박사,9
바람,9
학위,9
잘못,9
제시,8
제발,8
만약,8
이슈,8
마차,8
만행,8
부동시,8
백성,8
기획,8
반복,8
흥행,8
무리,8
저급,8
재판부,8
전번,8
전수,8
재벌,8
민용,8
모금,8
젊은이,8
바닥,8
정무,8
명령,8
기록,8
기준,8
그간,8
귀신,8
화환,8
먹방,8
조언,8
임기,8
정체,8
허참,8
인증,8
보복,8
정확,8
인상,8
기술,8
나머지,8
최성,8
공약,8
천안,8
지옥,8
상태,8
서방,8
지인,8
천재,8
애전,8
대국민,8
지하,8
선고,8
패악,8
구입,8
갈등,8
스트레스,8
진정,8
거품,8
거리,8
세기,8
탕평,8
소문,8
수석,8
억불,8
탄압,8
언론인,8
요충지,8
남용,8
원인,8
분열,8
분위기,8
한자,8
뿌리,8
따님,8
경기,8
사과문,8
신분,8
검색,8
간짜장,8
신뢰,8
사유,8
중서,8
칭찬,8
악의,8
시선,8
사이트,8
운영,8
시사,8
가입,7
휴대폰,7
활동,7
철수,7
전형,7
가운데,7
절반,7
활용,7
적패,7
검판,7
극치,7
천하,7
충격,7
최악,7
해석,7
환영,7
창가,7
해외,7
구매,7
제외,7
구도,7
최소한,7
준용,7
중립,7
피곤,7
핵심,7
