word,count
윤석열,528
민주당,509
추미애,309
이재명,221
쥴리,201
대한민국,165
일본,140
홍준표,119
홍남기,113
황희두,106
화이팅,103
윤봉길,97
줄리,95
조선일보,88
박근혜,77
윤석렬,72
문재인,67
김건희,66
김용민,63
이준석,63
이낙연,63
조선,57
미국,56
한국,55
청와대,54
조중동,54
이동형,53
최재형,44
유튜브,42
건희,41
김성회,39
페미,35
박성민,35
김경률,34
튜버,34
이탄희,33
배현진,32
노무현,32
남불,31
이명박,28
코로나,28
서울,26
레기,26
김어준,26
유승민,25
원희룡,25
준표,24
한동훈,24
임은정,23
송영길,23
푸나,22
조응천,21
지희,21
최순,21
안혜리,21
북한,20
최강욱,20
박시영,19
압수수색,18
황교안,18
강남,17
박정희,17
알리,16
윤주경,16
양재택,16
정치검찰,16
전두환,16
주진우,15
최은순,15
김성수,15
유인태,15
이선옥,14
부산,14
양정철,14
줄리아,13
파이팅,13
최민희,13
신유진,13
이철희,13
서울대,13
문정부,12
최성해,12
윤근,12
유시민,11
아바타,11
김명신,11
네이버,11
김경율,11
포털,11
안철수,11
강훈식,11
박지훈,10
테타,10
심상정,10
엄성섭,9
나경원,9
김대중,9
장용진,9
이동훈,9
경기도,9
김태현,8
중앙일보,8
고일석,8
공소시효,8
페이스북,8
대구,8
독도,8
히틀러,8
중국,8
정세균,8
오세훈,8
오윤혜,8
반기문,8
피디,7
윤석,7
손혜원,7
전광훈,7
디스,7
제주,7
제주도,7
진중권,7
모피아,7
테마주,6
박범계,6
독립운동,6
볼케이노,6
파평,6
황희,6
동아일보,6
야수,6
태영,6
윤기중,6
광주,6
곽상도,6
김오수,5
곽상,5
쥴리아,5
안소현,5
김기화,5
최진봉,5
김정은,5
이명,5
팩션,5
보호법,5
