from,to,depth,documents
"윤석열 출마
in youtubeissue_02","윤석열 출마
in youtubeissue_02",0,"['오늘윤석열을보니 어떻게든막아야 합니다.그속내를 보니대통령되면민주당다파멸시키겠다는 거네요n생각만해도무섭습니다n우리 민주당똘똘 뭉쳐야합니다', '홍남기는ㅡ제2의윤석열이다ㅡn민주당.지지율올라갈n건마다.항상테클걸며적극방해작업한다ㅡn지켜볼때.홍남기엔어려운국민따위.대통령따위.존재하지 않는다.n그는퇴임 후국민짐에분명직행할 것이다ㅡ', '민주당은윤석열에게칭찬을해줘야해.대통령감이아니라는 걸자기입으로 발표했잖아.']"
"윤석열 출마
in youtubeissue_02",대통령,1,"['명박이도닥그네도대통령으로 만들어졌다. n누가트럼프가 대통령이 될 거라고 생각했는가?? .교도소에갈범죄인이 대통령이돼세계를 4년 동안겁박했다.n윤써글이도똑같은 전략같다.n마누라', '대통령.가정에가장뽑났고요.대통령대지도안고요 지지하는 자들은 소수이고 그걸떠들고조작한거는언론다알잔아요아무나대통령하면 아무나하게요', '이나견이 나윤십원도대통령을 하려고조국교수님이문대통령에게 신임받아서 대통령되는 것을 막을려고 그짓거리한 것임을열린 공간tv에서']"
"윤석열 출마
in youtubeissue_02",윤석열,1,"['김건희를윤석열부인이라고 하는데.부인이라는 단어는남의아내를 높여부르는 말입니다.윤석열이아내를 높여불러줄필요가 있을까요?n그냥윤석열아내나처로부르면 좋을 것 같습니다.', '전개인적으로 민주당에서 각성하지 않는다면윤석열이되는 게 낫다고 생각합니다.하지만윤석열이대통령이 되는 걸미국이바라지 않죠n윤석열', '윤석열말하는 거보면 일본극우랑뭐가다른 가싶을 정도다 일본믿고까불다가는 지금 일본처럼윤석열도폭망할거다저런사람이 대권 도전을 하다니.수준 높은 대한민국 국민을뭘로보는 건 지.']"
"윤석열 출마
in youtubeissue_02",민주당,1,"['이낙연과짝짝꿍되어서변질된것인가?n이낙연은민주당을말아먹을 것인가?n이제는 이낙연이김진태보다 더욱민주당 안의x맨같다.n이렇게까지 민주당을약화시키고 지지자들마음에 상처를 줄 수 있을까?', '열린 민주당도대선후보를 내야만합니다 민주당하는짓거리보면열불나죽겠네요.n최강욱대표님꼭나오셔서 민주당과경선하십시요.시작은미약하나나중에는창대하리라', '100만부가머야.적어도 300만부는팔려야그억울함이 아주약간은위로받지그리고 그래야만민주당 내수박새퀴들이 벌벌떨지.n난민주당 내권력싸움으로 눈뻘개져조국에게덮어쒸우는개스키들이 더화난다']"
"윤석열 출마
in youtubeissue_02",조국,1,"['도리도리윤짜장막가파차친일파어버지가문무성장학생유학파하던가?조국에철저한열등감조국정관님잘견디셨습니다n도리도윤삽원가족조국가족처수사하라도리도리대통령출마회견아무나하나.', '조국전화번호노출한게만행이냐?n그러면조국이자영업자사장좌표찍은건뭐냐n조국자서전에엉뚱한 정치인을 비리정치인으로 낙인찍은건뭐냐n대가리가깨져서내로남불은이해못하겠지?', '정 교수님과따님과아드님사랑합니다.힘내시고홧팅하세요 조장관님은혼자가 아닙니다.우리깨시민들이 도움을 드리고 함께 할 수 있도록 기회를 주신다면감사하겠습니다 우리가 조국이고 내가조국이다']"
"윤석열 출마
in youtubeissue_02",국민,1,"['윤십원n토론좀한번시켜보자n볼만하겠다.nn윤십원n컴활자격증도따야겠네.nnn윤도리도리를n국민의짐에서 받아준대?n nn국민의짐너무n손해보는장사.n국민의짐이미지.n더.망하겠다.', '홍남기는ㅡ제2의윤석열이다ㅡn민주당.지지율올라갈n건마다.항상테클걸며적극방해작업한다ㅡn지켜볼때.홍남기엔어려운국민따위.대통령따위.존재하지 않는다.n그는퇴임 후국민짐에분명직행할 것이다ㅡ', '홍준표 의원윤석열비판하면야당망한가뭉처야나라 국민살길이다 여당본밭없라야당홍의원지지율모리냐국민들똑똑한줄알라공직사람능력 있으면 대통령하지홍 의원프로모르냐혼자잘낫냐????여당심판하라']"
"윤석열 출마
in youtubeissue_02",장관,1,"['난장관부하가아니야헌법소원냈지?갛하처분나왔네윤씨검찰총장은법무부 장관의하위기간이야9수야.법무부 장관의 명령에 따라야 한다 고.총장이 그것도 몰랐어?넌뻘짓한거야', '추장관님이지사님둘다좋은데 이번엔추장관님이됐으면 좋겠습니다 추장관님이지사님조국장관님이런순으로 대통령이 됐으면', '여기댓글쓰신분들과 같은 마음입니다 조극장관님존경합니다 인간이 어떻게 완뱍할수 있나요조국장관님가족은또따님은다우리 사회의 모범가적입니다믿어요빨리검찰에서 해방되기를 바랍니다.']"
"윤석열 출마
in youtubeissue_02",검찰,1,"['표창장이 무죄가나온다면 결국윤석열은검찰개혁을 막으려고 검찰구테타를일으키는 최악의 가족몰살을일삼은여기에 가담한 검찰과징역 4년을 선고한 재판부까지처절하게밟아줘야합니다.', '윤석열은검찰입니다.검찰이 나쁜 것은뭐아닙니다 만조국진행 사건과 비리를 보면 그는 좋은 사람이 아닙니다.우리에게 필요한 것은 선택적정의가 아닌행정가의민생안정입니다', '독재정권안봐도알겠다n일본으로 가거라n공정같은 소리하네n민주주의파괴자들물러가라n정치검찰일뿐입니다 검찰개혁반드시 이룹시다징벌적손해배상입법통과꼭이뤄져야 합니다']"
"윤석열 출마
in youtubeissue_02",추미애,1,"['추미애 대통령추미애 대통령대한민국개혁의 어머니추미애 대통령대한민국개혁의 어머니추미애 대통령대한민국개혁의 어머니', '솔직히정치인추미애에게는관심이 없었습니다.n그런데법무부 장관이라는 독배를받고도 검찰개혁이라는 시대의 과제를굿굿하게헤쳐나가시는 모습을 보고반하게 되었습니다.n추미애후보응원합니다 화이팅', '의원 100명과도안바꾼다추미애추미애가민주당이다 gogo2022추미애 대통령 사랑해요추미애']"
"윤석열 출마
in youtubeissue_02",나라,1,"['참개나소나다 대통령한다고n찍어줄국민들은 없는데n니들이 나라를 위해뭘했다고n병역의무도않은 인간들 이n참우리나라좋은나라야', '우리나라가망해가고 있다?우리나라를 배우자고 하는 다른 나라 사람들이 알면배부른소리한다 고놀랄듯.', '설상가상으로 대권을 내어준다 해도홍준표한테줘도윤짜장은 안된다 나라를박근혜보다 더한나라를망칩니다 최순실이보다 줄리는 더했음더하지절대못하지는 않다']"
