,pos_words,count,documents
0,지지,158,"['나는윤석열걱정안한다n내가걱정하는 것은 이재명이최종후보되면 이낙연지지했던 사람들이 이재명지지할까?반대의 경우도 마찬가지분열하면필패한다', '추미애.어떻게 당신같은 사람을 지지안할 수가 있겠습니까.누가되던단일후보가 나오면지지하겠지만.경선에선당신입니다.', '민주당이나견이정신차려라n민주당실망스러워도지금까지 지지하는 건n문통조국장관추장관님이재명지사계셔서지지하는 거다.']"
1,감사,126,"['감사감사드립니다n새날에서 감탄하고 시형상자에서 즐겁고 편안했습니다 물론선언시인내천느낌을 받았습니다 동학본향경주와농민혁명의 활동본거지전주와본인생활반경이 가까웠으리라 생각해봅니다', '절대방심하면 안 됩니다.희두님넘감사하지만 박근혜도당선되었던 걸잊으면 안 됩니다.뿌리를뽑아야 하는데겨우이제손대기 시작했으니.단결해서 꼭이겨야겠습니다.항상감사합니다.', '추미애전대표님감사합니다.전봉준장군의대동세상을 만들분이오셨다.마치메시아께서오신기분이다.늘함께하며 그날을위해.끝으로 서성환변호사님께 감사드립니다.']"
2,사랑,90,"['자기가싫어하는 사람이 많으면 자기를 싫어하는 사람도 많다.n상대방을 사랑하면 사랑으로 돌아오고상대방을 비방하면 비난으로 돌아온다', '정 교수님과따님과아드님사랑합니다.힘내시고홧팅하세요 조장관님은혼자가 아닙니다.우리깨시민들이 도움을 드리고 함께 할 수 있도록 기회를 주신다면감사하겠습니다 우리가 조국이고 내가조국이다', '임은정검사님n존경하고 사랑합니다.굴하지 않는올곧은모습항상 보여주시며걸어오신길.n감사합니다.n님이계시기에 이나라앞길이희망이 있습니다.n더욱분발하시며힘내시기를삼가당부드립니다.']"
3,도리,78,"['공정하지 못한 정권에서 약탈당하고 있는 윤도리도리를 구해준정부를 향해 공정하지 못한 수사를 했기 때문에 공정하게 하라했더니공정이 싫어서 사퇴한윤도리도리가 공정을외친다?', '윤도리도리국회오면서낵타이도정치색못구별하는 도리도리n쥴리가 고른넉타이쎈스빵점n윤도리도리볼케이노쥴리너그들삼풍백화점가서한글공부하고멍멍밥이나줘라', '윤도리도리는 사람에도리라는 걸몰라저러고있는 거같네요n윤봉길의사기념관을무슨윤씨종친회회관정도로 생각하는 거 아닐까요']"
4,최고,73,"['이동형작가님은정말최고 최고n똑똑해잼있어섹쉬해정시렵지n어려운 사람에게 인정도 있고n지n정말버릴데가없는 우리이작가님n건강정말정말 잘지키셔야하는n우리의보물보물입니다', '역쉬9수다워요도리도리어버버윤봉길기념관가서우리나라가 일본에잘못했다는 소리를 하다니윤도리도리씨공정은you가족조직국짐부터 해라 똑부러지는 문작가님최고 희두님응원합니다', '대통령께서 경제발전에 모든 것을 이루고 발전하는 최고의 리더대한민국 정치를 비판하는 대권주자가 더 큰 비전을 발표를 못한윤짜장님']"
5,존경,56,"['임은정검사님n존경하고 사랑합니다.굴하지 않는올곧은모습항상 보여주시며걸어오신길.n감사합니다.n님이계시기에 이나라앞길이희망이 있습니다.n더욱분발하시며힘내시기를삼가당부드립니다.', '대한민국에윤씨같은 사람이 대통령으로 추대받아야 합니까?n이정부가죽도록싫어하는 사람들은 아무나상관없다고 생각하는 모양인데 그사람하나하나따저서생각해보십시오그집안참존경스럽죠?', '여기댓글쓰신분들과 같은 마음입니다 조극장관님존경합니다 인간이 어떻게 완뱍할수 있나요조국장관님가족은또따님은다우리 사회의 모범가적입니다믿어요빨리검찰에서 해방되기를 바랍니다.']"
6,진실,50,"['윤십원꼭감방에가기를염원합니다.십원이꼭응분의댓가를 치르기를 정말 기도 합니다.윤십원그악마의집안구석도강력한 진실의빛에불타없어지기를 바랍니다.', '나는한국현실을 바라보면서 실망에실망을하고 있었다 거짓말을 거짓말로진실을 진실로말할줄 아는 언론과 검찰이 없는 나라가실망스럽고한심할뿐이다', '악의적보도로 인한징벌적손해배상 미국의 반이라도 적용해야 합니다.n진보보수떠나언론개혁좀제발강하게 합시다.진실보도하면됩니다.뭐가두렵습니까?']"
7,고맙다,46,"['조국장관님비롯가족분들잘견뎌주셔서 너무 감사합니다 저같으면 이미견디지 못했을 것 같습니다n존경합니다 가족모두 사랑합니다n고맙습니다 다음은 대선입니다', '참쓰레기들살기 좋은 세상이다 n그럼에도 정의는꼭승리하리라믿어의심치 않습니다.조국장관님존경하고 끝까지 함께 합니다. n오늘도황희두님고마워요', '여름이라에어컨같은 방송이라고 해야 하는데n마음이 따듯해서 보일러같은 방송이라고 하고 싶네요n추미애 대표님n이탄희의원님n고맙고함께갑시다']"
8,기대,45,"['중앙일보la확보되었답니다.n조선중앙미국에서 소송당할 것입니다.n두회사나란이1억달러씩소송당할 것이고n폐간을하게 될겁니다.n채널a검언유착으로 빠른취소기대하겠습니다', 'ytn사장으로 김용민님을선택하여개혁적언론사로거듭날 것을 기대합니다.ytn은조선고구마사를 방송하며 전성기를 구가할 예정입니다.', '이렇게솔직담백하면서품위있는출마 선언을 기대하지 못했습니다 이지사의 연설은늘훌륭했지만뜨거웠는데 그럼에도 점점뜨거워지는 내가슴']"
9,희망,36,"['임은정검사님n존경하고 사랑합니다.굴하지 않는올곧은모습항상 보여주시며걸어오신길.n감사합니다.n님이계시기에 이나라앞길이희망이 있습니다.n더욱분발하시며힘내시기를삼가당부드립니다.', '이맥박이는 현대사장서울시장이라는 경제를잘살릴것 같다 라는 희망이라도 있었지윤썩렬은비리말곤아무것도 없는 대도지지률높다는 게 정말 이해불가저러놈대통령뽑아주는머저리들은설마없겠지', '간 만에 배우동사리불어터지는 사이다 영상.감사.nn문준용님국회 보내서배우동사리탈탈털어버리는 상상을 하게 되었음.nn하나하나.따박따박.희망의 나라로.']"
