word,count
대통령,547
윤석열,528
민주당,509
조국,495
국민,494
장관,393
검찰,335
추미애,309
나라,250
언론,242
응원,231
대선,221
이재명,221
개혁,218
정치,215
쥴리,201
인간,199
후보,196
가족,190
도리도리,180
모르다,168
대한민국,165
지지,158
검사,149
의원,147
보이다,143
기자,142
일본,140
수사,136
방송,130
공정,126
감사,126
출마,123
정신,121
홍준표,119
홍남기,113
대표,109
황희두,106
민주,106
윤도리,105
정권,104
화이팅,103
정부,101
윤봉길,97
대권,96
줄리,95
사랑,90
세상,90
조선일보,88
국가,88
힘내다,85
총장,85
장모,84
정의,84
수준,81
도리,78
박근혜,77
이름,76
차리다,75
의사,73
본인,73
다음,73
최고,73
윤석렬,72
지사,72
시민,71
바라다,70
교수,69
조작,68
문재인,67
필요,66
김건희,66
국전,66
마음,65
조사,64
이준석,63
이낙연,63
말씀,63
지원금,63
김용민,63
힘들다,62
보수,62
범죄,60
인사,60
열리다,60
문재,59
사건,59
처벌,59
역사,57
조선,57
보내다,57
미국,56
존경,56
구속,56
권력,55
한국,55
자리,55
웃기다,55
무죄,55
사기,55
변호사,55
머리,55
지지율,54
조중동,54
청와대,54
판사,53
이유,53
이동형,53
적폐,52
선언,52
알리다,51
폐간,51
나가다,51
진보,51
모습,50
진실,50
경제,50
재난,50
영부인,49
얼굴,49
표창장,49
얘기,49
지급,48
지키다,48
남자,48
뉴스,48
쓰레기,47
재산,47
희두,47
고맙다,46
남기다,46
걱정,45
부르다,45
수박,45
기대,45
미치다,45
최재형,44
투기,44
시작,44
공무원,44
지원,44
이해,44
진영,43
집단,43
작가,43
망하다,43
소송,43
독재,43
나쁘다,43
공감,43
비리,43
당하다,42
발언,42
유튜브,42
재명,42
선거,42
들어가다,42
가능,42
사과,41
시대,41
기사,41
개인,41
건희,41
반대,41
극우,41
경선,41
기념관,41
마누라,41
통령,40
무식,40
자유,40
이야기,40
선별,40
조민,40
돌리다,40
가슴,40
공개,40
군대,39
김성회,39
민주주의,39
배상,39
감옥,39
부동산,39
내용,39
비판,39
친일파,38
정보,38
손해,38
정책,38
의혹,38
재판,38
청년,38
책임,38
올리다,38
파일,37
구독,37
지지자,37
엄마,37
행동,37
징벌,36
부정,36
출신,36
희망,36
페미,35
친일,35
박성민,35
정치인,35
바꾸다,35
원칙,35
현실,34
터지다,34
하늘,34
떨어지다,34
튜버,34
검증,34
시장,34
결국,34
김경률,34
자식,33
자체,33
부탁,33
이기다,33
회견,33
개검,33
배우다,33
이탄희,33
부끄럽다,33
배현진,32
깡패,32
결과,32
죽이다,32
밝히다,32
건강,32
느끼다,32
세력,32
생기다,32
세금,32
노무현,32
남불,31
다르크,31
능력,31
보도,31
우파,31
추미,31
질문,31
펀드,31
이용,31
새날,30
과정,30
기다리다,30
문통,30
거짓,30
자격,30
오르다,30
공부,30
주장,30
태극기,30
야당,29
광고,29
망신,29
목소리,29
무섭다,29
시키다,29
다니다,29
미래,29
여당,29
다르다,29
기재,29
기소,29
정경,29
주자,29
여성,29
제목,29
대통,29
양아치,28
아프다,28
코로나,28
친구,28
국회의원,28
양심,28
좋아하다,28
고개,28
아나운서,28
윤가,28
촛불,28
이명박,28
카드,28
다수결,27
기억,27
상식,27
정상,27
청원,27
상황,27
인정,27
국회,26
레기,26
멧돼지,26
유지,26
여론,26
김어준,26
준비,26
판결,26
인물,26
서울,26
불안,26
추장,26
수고,26
전화,26
꼼수,26
민족,26
교육,26
고소,25
프로,25
드러나다,25
실망,25
사법부,25
기본,25
과거,25
원희룡,25
증거,25
유승민,25
사퇴,25
조폭,25
난리,25
죽창,25
결정,25
관련,24
한동훈,24
의견,24
옹호,24
수처,24
악마,24
댓글,24
싸우다,24
어쩌다,24
떠나다,24
세계,24
포기,24
막말,24
준표,24
시절,23
중도,23
임은정,23
짓거리,23
짜증,23
송영길,23
철학,23
위조,23
당장,23
거짓말,23
대변인,23
관계,23
영상,23
처음,23
운동,23
재미,23
의식,23
차기,23
돌아가다,23
채널,23
고통,23
따르다,23
부인,22
가정,22
관심,22
현직,22
집안,22
논리,22
욕하다,22
분노,22
무능,22
서민,22
중요,22
돼지,22
도전,22
상대,22
표현,22
공격,22
빠지다,22
한마디,22
푸나,22
아버지,22
진행,22
대가리,22
병역,22
부분,21
지희,21
용서,21
조응천,21
만나다,21
검새,21
부족,21
키우다,21
조직,21
이후,21
헌법,21
토론,21
최순,21
재밌다,21
동네,21
안혜리,21
도시,21
주택,21
고발,21
진심,21
승리,21
발정,21
흔들다,21
나서다,20
주제,20
바보,20
판단,20
의심,20
안타깝다,20
멋지다,20
사모,20
사법,20
약탈,20
모이다,20
기업,20
북한,20
사진,20
법치,20
최강욱,20
어렵다,20
통과,20
부대,20
관리,19
만세,19
버티다,19
사태,19
고치다,19
경찰,19
티비,19
무시,19
박시영,19
이루다,19
그네,19
아들,19
선택,19
지역,19
희생,19
전체,19
시청,19
챙기다,19
후손,19
버리다,19
착각,19
외치다,19
걸리다,19
압수수색,18
지나다,18
바뀌다,18
언론사,18
사이,18
짐승,18
처리,18
혼자,18
황교안,18
임명,18
욕심,18
기분,18
미안,18
세우다,18
낙엽,18
순간,18
하루,18
당선,18
행위,18
비난,18
가즈아다,18
르네상스,17
박정희,17
계속,17
웃음,17
적극,17
보편,17
똑같다,17
차별,17
파악,17
느낌,17
끝나다,17
행복,17
당시,17
비교,17
강남,17
손녀,17
배신자,17
주가,17
세대,17
청산,16
언급,16
깃발,16
어리다,16
아깝다,16
추천,16
완전,16
탄핵,16
아이,16
투표,16
평생,16
회복,16
정치검찰,16
번호,16
가치,16
확인,16
두목,16
법정,16
전두환,16
명예,16
범죄자,16
정의당,16
이미지,16
던지다,16
주변,16
일가,16
일보,16
거대,16
내리다,16
반성,16
전쟁,16
기득,16
삼촌,16
알리,16
그동안,16
속이다,16
결혼,16
들어오다,16
양재택,16
윤주경,16
더럽다,16
대상,16
불법,16
개판,15
김성수,15
스타일,15
미달,15
따지다,15
최은순,15
준석,15
유인태,15
연설,15
독립,15
토착,15
붙이다,15
실력,15
계획,15
대관,15
입장,15
대박,15
눈물,15
주진우,15
세월,15
법안,15
사용,15
망치다,15
우유,15
사장,15
막히다,15
기회,15
카르텔,15
부패,14
선동,14
신문,14
이념,14
피해자,14
말아먹다,14
도움,14
모으다,14
유착,14
학교,14
동의,14
그날,14
양정철,14
사죄,14
나이,14
괜찮다,14
이선옥,14
경심,14
입당,14
뿌리다,14
발전,14
패널,14
뇌물,14
수구,14
방법,14
가리다,14
지평선,14
시험,14
넘어가다,14
모양,14
감정,14
무너지다,14
권리,14
저질,14
부산,14
외교,14
원전,13
예전,13
접대부,13
인생,13
위선,13
유리,13
청장,13
유출,13
새롭다,13
왜구,13
심하다,13
사라지다,13
치료,13
입법,13
자랑,13
돌아오다,13
자유민주주의,13
청렴,13
중간,13
취재,13
줄리아,13
비서관,13
앵커,13
민국,13
지나가다,13
마지막,13
파이팅,13
매국노,13
모두,13
목적,13
구조,13
시기,13
문화,13
공공,13
신유진,13
버릇,13
회사,13
법무부,13
확정,13
해명,13
사안,13
이끌다,13
학생,13
우습다,13
서울대,13
피눈물,13
눈치,13
실패,13
모시다,13
지켜보다,13
도둑,13
논문,13
최민희,13
노력,13
이철희,13
형성,12
가짜,12
법원,12
변하다,12
보상,12
동양,12
허위,12
인식,12
책임지다,12
가족사,12
천박,12
철저,12
조심,12
숨기다,12
해결,12
교활,12
인터뷰,12
흐름,12
그림,12
감사원장,12
문정부,12
장소,12
품격,12
근거,12
작자,12
개소리,12
윤근,12
기간,12
최성해,12
당원,12
구분,12
자금,12
단어,12
국제,12
계시다,12
총선,12
취소,12
식구,12
평등,12
신고,12
소나,12
역겹다,12
공급,12
초딩,12
해보다,12
폐지,12
부부,11
절대,11
유시민,11
김명신,11
일어나다,11
연기,11
